stage,manifest_entries,cell_count,block_row_count,unique_seed_count,censored_count,maximum_affine_drift_residual,original_slope_precision_gate_pass,original_maximum_slope_ci_halfwidth
formal,45,40,1600,40,0,1.1763593571467723e-16,True,0.02586164557507939
replication,45,40,1600,40,0,1.1763593571467723e-16,False,0.03220446368481414
