cell_id,topology,regime,scale,repetitions,seed,correlated_mean,proxy_mean,normalized_correlated_mean,normalized_proxy_mean,mean_difference,paired_sd,paired_standard_error,simultaneous_multiplier,half_width,ci_low,ci_high,point_sign,resolved_sign,paired_standardized_effect,relative_mean_difference,q10_difference,q50_difference,q90_difference,nonidentical_fraction
chain-balanced-N10,chain,balanced,10,30000,20260718000,92.1416,82.07366666666667,0.9214160000000001,0.8207366666666667,0.10067933333333334,0.6527887174345739,0.003768877417348018,3.1969502291312546,0.012048913522958357,0.08863041981037499,0.1127282468562917,positive,positive,0.1542295855372592,0.12266947173474238,0.020000000000000018,0.08999999999999997,0.20000000000000018,0.9905333333333334
chain-balanced-N20,chain,balanced,20,30000,20260718001,370.619,327.13196666666664,0.9265475000000001,0.8178299166666666,0.10871758333333333,0.6617372886882436,0.0038205420175697054,3.1969502291312546,0.012214082678475055,0.09650350065485827,0.12093166601180838,positive,positive,0.16429115480078704,0.13293422155115994,0.020000000000000018,0.08250000000000002,0.23275000000000556,0.9969333333333333
chain-balanced-N40,chain,balanced,40,30000,20260718002,1466.2845333333332,1306.2866,0.9164278333333333,0.816429125,0.09999870833333332,0.655659635019559,0.003785452667753142,3.1969502291312546,0.012101903773538926,0.0878968045597944,0.11210061210687225,positive,positive,0.152516188266417,0.12248302427149856,0.016874999999999973,0.08531250000000001,0.1918124999999986,0.9991
chain-balanced-N80,chain,balanced,80,30000,20260718003,5899.503,5228.072133333333,0.92179734375,0.8168862708333334,0.10491107291666665,0.6644100734849996,0.0038359733477886355,3.1969502291312546,0.012263415873154264,0.09264765704351238,0.11717448878982092,positive,positive,0.15790108714996062,0.12842800358199594,0.015640624999999964,0.08687500000000004,0.2142187499999999,0.9997
chain-positive-N10,chain,positive,10,30000,20260718010,92.20246666666667,81.3955,0.9220246666666666,0.8139549999999999,0.10806966666666667,0.6570174778589196,0.0037932921770413622,3.1969502291312546,0.012126966294554179,0.0959427003721125,0.12019663296122085,positive,positive,0.1644852234659613,0.13277105818708246,0.020000000000000018,0.08000000000000007,0.2200000000000002,0.9904666666666667
chain-positive-N20,chain,positive,20,30000,20260718011,369.3526,327.2287666666667,0.9233815,0.8180719166666666,0.10530958333333335,0.6593186563816075,0.0038065780374366347,3.1969502291312546,0.01216944052898905,0.0931401428043443,0.1174790238623224,positive,positive,0.15972486492537705,0.1287290043672811,0.02250000000000002,0.08999999999999997,0.20999999999999996,0.9975
chain-positive-N40,chain,positive,40,30000,20260718012,1475.0411333333334,1306.1152,0.9219007083333334,0.8163220000000001,0.10557870833333333,0.6600342700346783,0.0038107096347889968,3.1969502291312546,0.012182649040091363,0.09339605929324196,0.11776135737342469,positive,positive,0.15995943411814997,0.12933463551556043,0.017500000000000016,0.08750000000000002,0.21562499999999996,0.9991666666666666
chain-positive-N80,chain,positive,80,30000,20260718013,5909.816233333333,5207.3035,0.9234087864583334,0.8136411718750001,0.10976761458333333,0.6597271307048413,0.0038089363650413957,3.1969502291312546,0.012176979984965457,0.09759063459836786,0.12194459456829879,positive,positive,0.16638335680701724,0.13490912011050119,0.01781250000000001,0.08921875000000001,0.23123437499999966,0.9997666666666667
chain-negative-N10,chain,negative,10,30000,20260718020,92.59456666666667,81.6644,0.9259456666666667,0.816644,0.10930166666666666,0.654312978000331,0.003777677739827568,3.1969502291312546,0.012077047715925783,0.09722461895074087,0.12137871438259244,positive,positive,0.16704798825893283,0.13384249032218035,0.020000000000000018,0.08999999999999997,0.2200000000000002,0.9902333333333333
chain-negative-N20,chain,negative,20,30000,20260718021,369.17113333333333,326.48496666666665,0.9229278333333333,0.8162124166666666,0.10671541666666666,0.6619674825867656,0.0038218710426624804,3.1969502291312546,0.012218331505549924,0.09449708516111674,0.11893374817221658,positive,positive,0.1612094543521316,0.13074466215851288,0.015000000000000013,0.08499999999999996,0.22999999999999998,0.9969666666666667
