cell_id,block_index,normalized_mean_difference
2020-10-14-primary-lambda0.5-N40,18,0.35218750000000004
2020-10-14-primary-lambda0.5-N40,19,0.09593750000000001
2020-10-14-primary-lambda0.5-N40,20,-0.105
2020-10-14-primary-lambda0.5-N40,21,-0.0890625
2020-10-14-primary-lambda0.5-N40,22,-0.37093750000000003
2020-10-14-primary-lambda0.5-N40,23,-0.210625
2020-10-14-primary-lambda0.5-N40,24,0.1403125
2020-10-14-primary-lambda0.5-N40,25,1.2109375
2020-10-14-primary-lambda0.5-N40,26,0.12874999999999998
2020-10-14-primary-lambda0.5-N40,27,-0.6325000000000001
2020-10-14-primary-lambda0.5-N40,28,0.15312500000000007
2020-10-14-primary-lambda0.5-N40,29,0.6240625
2020-10-14-primary-lambda0.5-N40,30,-0.26
2020-10-14-primary-lambda0.5-N40,31,-0.09687499999999999
2020-10-14-primary-lambda0.5-N40,32,0.7709375
2020-10-14-primary-lambda0.5-N40,33,-0.10062499999999999
2020-10-14-primary-lambda0.5-N40,34,1.014375
2020-10-14-primary-lambda0.5-N40,35,-0.20875
2020-10-14-primary-lambda0.5-N40,36,0.389375
2020-10-14-primary-lambda0.5-N40,37,0.181875
2020-10-14-primary-lambda0.5-N40,38,1.2596875
2020-10-14-primary-lambda0.5-N40,39,-0.3578125
2020-10-14-primary-lambda0.75-N40,0,0.010937499999999989
2020-10-14-primary-lambda0.75-N40,1,-0.015625
2020-10-14-primary-lambda0.75-N40,2,-0.0421875
2020-10-14-primary-lambda0.75-N40,3,-0.03218749999999998
2020-10-14-primary-lambda0.75-N40,4,0.305
2020-10-14-primary-lambda0.75-N40,5,0.5375
2020-10-14-primary-lambda0.75-N40,6,-0.229375
2020-10-14-primary-lambda0.75-N40,7,0.3415625
2020-10-14-primary-lambda0.75-N40,8,0.4975
2020-10-14-primary-lambda0.75-N40,9,-0.02906249999999999
2020-10-14-primary-lambda0.75-N40,10,-0.40375
2020-10-14-primary-lambda0.75-N40,11,0.3465625
2020-10-14-primary-lambda0.75-N40,12,-0.46
2020-10-14-primary-lambda0.75-N40,13,-0.08812499999999998
2020-10-14-primary-lambda0.75-N40,14,-0.6303125
2020-10-14-primary-lambda0.75-N40,15,0.2871875
2020-10-14-primary-lambda0.75-N40,16,0.1778125
2020-10-14-primary-lambda0.75-N40,17,-0.4390625
2020-10-14-primary-lambda0.75-N40,18,0.034374999999999996
2020-10-14-primary-lambda0.75-N40,19,0.060937500000000006
2020-10-14-primary-lambda0.75-N40,20,-0.31906249999999997
2020-10-14-primary-lambda0.75-N40,21,-0.1365625
2020-10-14-primary-lambda0.75-N40,22,-0.11156249999999998
2020-10-14-primary-lambda0.75-N40,23,0.18937500000000002
2020-10-14-primary-lambda0.75-N40,24,-1.115625
2020-10-14-primary-lambda0.75-N40,25,-0.034999999999999976
2020-10-14-primary-lambda0.75-N40,26,-0.04250000000000004
2020-10-14-primary-lambda0.75-N40,27,0.79625
2020-10-14-primary-lambda0.75-N40,28,1.06875
2020-10-14-primary-lambda0.75-N40,29,-0.49906249999999996
2020-10-14-primary-lambda0.75-N40,30,-0.1121875
2020-10-14-primary-lambda0.75-N40,31,0.27781249999999996
2020-10-14-primary-lambda0.75-N40,32,-0.14250000000000002
2020-10-14-primary-lambda0.75-N40,33,-0.2690625
2020-10-14-primary-lambda0.75-N40,34,-0.3415625
2020-10-14-primary-lambda0.75-N40,35,0.6218750000000001
2020-10-14-primary-lambda0.75-N40,36,0.075
2020-10-14-primary-lambda0.75-N40,37,-0.6303124999999999
2020-10-14-primary-lambda0.75-N40,38,-0.2675
2020-10-14-primary-lambda0.75-N40,39,-0.06468749999999998
2020-10-14-primary-lambda1-N40,0,0.20468750000000002
2020-10-14-primary-lambda1-N40,1,-0.11781250000000001
2020-10-14-primary-lambda1-N40,2,0.09718750000000001
2020-10-14-primary-lambda1-N40,3,-0.7978125
2020-10-14-primary-lambda1-N40,4,-0.303125
2020-10-14-primary-lambda1-N40,5,-0.171875
2020-10-14-primary-lambda1-N40,6,0.2453125
2020-10-14-primary-lambda1-N40,7,-0.390625
2020-10-14-primary-lambda1-N40,8,-0.295625
2020-10-14-primary-lambda1-N40,9,1.0787499999999999
2020-10-14-primary-lambda1-N40,10,0.4615625
2020-10-14-primary-lambda1-N40,11,0.020625000000000004
2020-10-14-primary-lambda1-N40,12,0.2290625
2020-10-14-primary-lambda1-N40,13,-0.2425
2020-10-14-primary-lambda1-N40,14,0.123125
2020-10-14-primary-lambda1-N40,15,-0.24062499999999998
2020-10-14-primary-lambda1-N40,16,0.49124999999999996
2020-10-14-primary-lambda1-N40,17,0.03343750000000001
2020-10-14-primary-lambda1-N40,18,0.2325
2020-10-14-primary-lambda1-N40,19,-0.30937499999999996
2020-10-14-primary-lambda1-N40,20,0.34
2020-10-14-primary-lambda1-N40,21,0.6103125
2020-10-14-primary-lambda1-N40,22,0.00437499999999999
2020-10-14-primary-lambda1-N40,23,-0.7421875
2020-10-14-primary-lambda1-N40,24,0.3815625
2020-10-14-primary-lambda1-N40,25,-0.23093749999999996
2020-10-14-primary-lambda1-N40,26,-0.1196875
2020-10-14-primary-lambda1-N40,27,-0.7515625
2020-10-14-primary-lambda1-N40,28,0.17156249999999998
2020-10-14-primary-lambda1-N40,29,-1.0265625
2020-10-14-primary-lambda1-N40,30,-0.22531249999999997
2020-10-14-primary-lambda1-N40,31,0.4296875
2020-10-14-primary-lambda1-N40,32,0.151875
2020-10-14-primary-lambda1-N40,33,0.08625
2020-10-14-primary-lambda1-N40,34,0.359375
2020-10-14-primary-lambda1-N40,35,0.536875
2020-10-14-primary-lambda1-N40,36,0.3325
2020-10-14-primary-lambda1-N40,37,0.4340625
2020-10-14-primary-lambda1-N40,38,-0.7115625000000001
2020-10-14-primary-lambda1-N40,39,-0.7625
2020-10-14-hub-lambda0-N40,0,-0.801875
2020-10-14-hub-lambda0-N40,1,0.2059375
2020-10-14-hub-lambda0-N40,2,1.195625
2020-10-14-hub-lambda0-N40,3,0.8965625
2020-10-14-hub-lambda0-N40,4,2.186875
2020-10-14-hub-lambda0-N40,5,2.6059375
2020-10-14-hub-lambda0-N40,6,0.005937500000000012
2020-10-14-hub-lambda0-N40,7,-0.221875
2020-10-14-hub-lambda0-N40,8,0.6959375
2020-10-14-hub-lambda0-N40,9,0.6015625
2020-10-14-hub-lambda0-N40,10,-1.0396874999999999
2020-10-14-hub-lambda0-N40,11,0.1690625
2020-10-14-hub-lambda0-N40,12,0.061562500000000075
2020-10-14-hub-lambda0-N40,13,-0.285625
2020-10-14-hub-lambda0-N40,14,-1.0459375
2020-10-14-hub-lambda0-N40,15,0.1084375
2020-10-14-hub-lambda0-N40,16,0.2265625
2020-10-14-hub-lambda0-N40,17,-0.950625
2020-10-14-hub-lambda0-N40,18,0.12437500000000001
2020-10-14-hub-lambda0-N40,19,0.25750000000000006
2020-10-14-hub-lambda0-N40,20,-1.24875
2020-10-14-hub-lambda0-N40,21,0.4084375
2020-10-14-hub-lambda0-N40,22,0.5775
2020-10-14-hub-lambda0-N40,23,-1.1359375
2020-10-14-hub-lambda0-N40,24,0.24031249999999993
2020-10-14-hub-lambda0-N40,25,-1.091875
2020-10-14-hub-lambda0-N40,26,1.3365624999999999
2020-10-14-hub-lambda0-N40,27,-0.2515625
2020-10-14-hub-lambda0-N40,28,-0.04906250000000001
2020-10-14-hub-lambda0-N40,29,0.6046875
2020-10-14-hub-lambda0-N40,30,-0.1153125
2020-10-14-hub-lambda0-N40,31,-0.828125
2020-10-14-hub-lambda0-N40,32,-0.9753125
2020-10-14-hub-lambda0-N40,33,-0.35531250000000003
2020-10-14-hub-lambda0-N40,34,-0.6171875
2020-10-14-hub-lambda0-N40,35,-1.0440625
2020-10-14-hub-lambda0-N40,36,-0.7428125
2020-10-14-hub-lambda0-N40,37,-0.0765625
2020-10-14-hub-lambda0-N40,38,0.37000000000000005
2020-10-14-hub-lambda0-N40,39,-0.02875000000000001
2020-10-14-hub-lambda0.25-N40,0,-0.4278125
2020-10-14-hub-lambda0.25-N40,1,-0.2215625
2020-10-14-hub-lambda0.25-N40,2,-0.3890625
2020-10-14-hub-lambda0.25-N40,3,0.296875
2020-10-14-hub-lambda0.25-N40,4,-0.14718749999999992
2020-10-14-hub-lambda0.25-N40,5,0.0765625
2020-10-14-hub-lambda0.25-N40,6,0.29531250000000003
2020-10-14-hub-lambda0.25-N40,7,0.12875000000000003
2020-10-14-hub-lambda0.25-N40,8,1.868125
2020-10-14-hub-lambda0.25-N40,9,0.27625
2020-10-14-hub-lambda0.25-N40,10,-0.5081250000000002
2020-10-14-hub-lambda0.25-N40,11,-1.323125
2020-10-14-hub-lambda0.25-N40,12,1.6971875
2020-10-14-hub-lambda0.25-N40,13,0.006562499999999971
2020-10-14-hub-lambda0.25-N40,14,0.10468750000000002
2020-10-14-hub-lambda0.25-N40,15,-0.11250000000000004
