anchor_id,block_index,slope
2020-10-14-primary,0,0.006335065645514219
2020-10-14-primary,1,-0.01732494529540482
2020-10-14-primary,2,-0.017363512035010943
2020-10-14-primary,3,0.002300054704595187
2020-10-14-primary,4,0.039972647702407
2020-10-14-primary,5,-0.02140919037199126
2020-10-14-primary,6,0.04697839168490154
2020-10-14-primary,7,-0.025582330415754924
2020-10-14-primary,8,-0.0031452407002188166
2020-10-14-primary,9,0.00955798687089715
2020-10-14-primary,10,-0.018679157549234122
2020-10-14-primary,11,0.0019433807439824934
2020-10-14-primary,12,0.09377133479212253
2020-10-14-primary,13,0.050313457330415756
2020-10-14-primary,14,0.06420568927789935
2020-10-14-primary,15,0.013372538293216624
2020-10-14-primary,16,-0.017310722100656453
2020-10-14-primary,17,-0.04213457330415756
2020-10-14-primary,18,0.023392505470459533
2020-10-14-primary,19,0.03354157549234137
2020-10-14-primary,20,0.028742614879649884
2020-10-14-primary,21,-0.026057439824945287
2020-10-14-primary,22,-0.04170076586433262
2020-10-14-primary,23,0.020893052516411364
2020-10-14-primary,24,-0.015377188183807435
2020-10-14-primary,25,0.04608424507658644
2020-10-14-primary,26,-0.006893052516411377
2020-10-14-primary,27,-0.046914660831509844
2020-10-14-primary,28,0.00016630196936542017
2020-10-14-primary,29,0.027474562363238503
2020-10-14-primary,30,-0.03097811816192561
2020-10-14-primary,31,-0.023391958424507656
2020-10-14-primary,32,-0.08799480306345733
2020-10-14-primary,33,0.03915289934354486
2020-10-14-primary,34,0.003465809628008751
2020-10-14-primary,35,0.010935995623632386
2020-10-14-primary,36,0.010584245076586434
2020-10-14-primary,37,0.01300875273522976
2020-10-14-primary,38,0.0462902078774617
2020-10-14-primary,39,0.010810722100656443
2020-10-14-hub,0,-0.03788539387308534
2020-10-14-hub,1,-0.014584518599562358
2020-10-14-hub,2,-0.0614269693654267
2020-10-14-hub,3,-0.09669584245076589
2020-10-14-hub,4,0.013948304157549236
2020-10-14-hub,5,-0.0953823851203501
2020-10-14-hub,6,-0.0023339715536105157
2020-10-14-hub,7,-0.055704048140043774
2020-10-14-hub,8,-0.0603933260393873
2020-10-14-hub,9,0.08453610503282276
2020-10-14-hub,10,-0.07931044857768055
2020-10-14-hub,11,-0.09637390590809629
2020-10-14-hub,12,-0.01647319474835886
2020-10-14-hub,13,0.020811542669584248
2020-10-14-hub,14,-0.0064332603938730745
2020-10-14-hub,15,-0.030281181619256005
2020-10-14-hub,16,-0.026757385120350106
2020-10-14-hub,17,-0.03892560175054704
2020-10-14-hub,18,-0.010768873085339163
2020-10-14-hub,19,-0.08914496717724289
2020-10-14-hub,20,-0.04516329321663019
2020-10-14-hub,21,-0.08011788840262582
2020-10-14-hub,22,-0.02071854485776806
2020-10-14-hub,23,-0.031201859956236325
2020-10-14-hub,24,-0.04340344638949673
2020-10-14-hub,25,-0.046103665207877474
2020-10-14-hub,26,-0.07466985776805253
2020-10-14-hub,27,-0.035679431072210076
2020-10-14-hub,28,-0.0191531728665208
2020-10-14-hub,29,-0.01169721006564552
2020-10-14-hub,30,-0.038333150984682714
2020-10-14-hub,31,-0.03170869803063457
2020-10-14-hub,32,-0.04623960612691466
2020-10-14-hub,33,-0.007891684901531727
2020-10-14-hub,34,-0.12363101750547045
2020-10-14-hub,35,-0.021844638949671782
2020-10-14-hub,36,-0.04181509846827134
2020-10-14-hub,37,-0.09216931072210063
2020-10-14-hub,38,0.019300328227571127
2020-10-14-hub,39,0.05288047045951859
2022-05-31-primary,0,-0.02549726477024071
2022-05-31-primary,1,-0.09639250547045954
2022-05-31-primary,2,-0.05167095185995625
2022-05-31-primary,3,-0.1043684354485777
2022-05-31-primary,4,-0.02822456236323851
2022-05-31-primary,5,-0.029708971553610505
2022-05-31-primary,6,-0.0009264223194748317
2022-05-31-primary,7,-0.03807986870897156
2022-05-31-primary,8,-0.002400437636761477
2022-05-31-primary,9,0.03783150984682713
2022-05-31-primary,10,-0.06777680525164115
2022-05-31-primary,11,-0.06530470459518598
2022-05-31-primary,12,-0.12830935448577682
2022-05-31-primary,13,-0.0242152625820569
2022-05-31-primary,14,-0.0450191466083151
