k,N,p_bias,source,repetitions,mc_mean,mc_sd,formula_mean,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper,formula_sha256
3,10,0.3,boundary_confirmation,8000,21.452125,6.640630258541265,21.420989042189635,0.07424450335770136,-0.0014514160163789547,0.0014514160163789547,21.13814566696485,21.76610433303515,0.01585562972431953,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,10,0.975,boundary_confirmation,8000,99.001125,69.58946551345385,99.02822021965838,0.7780338770298005,0.0002736859773904367,0.0002736859773904367,95.71082677264673,102.29142322735328,0.03466058709211506,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,10,1.025,boundary_confirmation,8000,98.14525,68.24761438721644,99.04047020074165,0.763031525360043,0.009121380818140942,0.009121380818140942,94.918396582137,101.372103417863,0.04342755216095151,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,10,1.9,boundary_confirmation,8000,23.173875,5.923134974434204,23.200727519398285,0.06622266221370679,0.0011587410132438375,0.0011587410132438375,22.893819960591955,23.453930039408043,0.013405694608179086,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.325,blind2,6000,31.065666666666665,8.500552793114123,31.11034674473987,0.1097416646709598,0.0014382462334583575,0.0014382462334583575,30.601570159568393,31.529763173764938,0.016625832678471175,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.525,blind2,6000,44.42316666666667,16.234480477211143,44.179067076507046,0.209586241741894,-0.0054948714482973456,0.0054948714482973456,43.536828346395076,45.30950498693826,0.024949244330899067,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.725,blind2,6000,75.60966666666667,36.54895271020668,75.0346579051575,0.471844950559843,-0.007604963582820106,0.007604963582820106,73.6142386393686,77.60509469396474,0.033122010854361394,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.94,blind2,6000,175.299,118.36586647083229,176.69865229366297,1.5280967653364812,0.007984371238073048,0.007984371238073048,168.83669260355958,181.76130739644043,0.04656546849424381,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.0,fresh_precision_confirmation,60000,196.29201666666665,138.37535379747135,196.0,0.5649150163014989,-0.001487664509364855,0.001487664509364855,193.9029961733201,198.6810371600132,0.01349417739275216,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.06,blind2,6000,178.753,121.81114611104417,177.49091703750327,1.5725751342350414,-0.007060485488337091,0.007060485488337091,172.1025939838681,185.40340601613187,0.04267715005160233,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.275,blind2,6000,87.78183333333334,39.525796868314174,87.04397271236591,0.5102758433885269,-0.008405618713447822,0.008405618713447822,85.62388140793388,89.9397852587328,0.03219723660709661,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.675,blind2,6000,43.61033333333334,12.055097709503913,43.72836366048411,0.15563064221937278,0.002706476152076574,0.002706476152076574,42.952172755324675,44.268493911342,0.01807105101716222,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.875,blind2,6000,35.237833333333334,7.887583341390661,35.2816211192346,0.1018282630767636,0.0012426355924626238,0.0012426355924626238,34.80720252998709,35.66846413667958,0.013629897112208189,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,0.325,blind2,6000,62.120333333333335,11.90802894749832,62.222222167966684,0.15373199266605608,0.0016401849308602617,0.0016401849308602617,61.47020212710922,62.77046453955745,0.012233895689856888,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,0.525,blind2,6000,88.468,22.475189988685404,88.4210016524393,0.2901534550967541,-0.0005312468639587457,0.0005312468639587457,87.24094366331467,89.69505633668534,0.014204291030975646,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,0.725,blind2,6000,151.98983333333334,53.65966787664326,152.68593852901336,0.6927433334975348,0.004579945779355981,0.004579945779355981,149.0602280429837,154.91943862368296,0.02432379537876539,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,0.94,blind2,6000,557.2275,346.30118321387897,557.2873599911105,4.470729051197589,0.00010742468939626386,0.00010742468939626386,538.3208272876384,576.1341727123615,0.035232767788376584,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,1.0,fresh_precision_confirmation,60000,781.64285,548.3298873138623,784.0,2.238547391061269,0.003015635593673053,0.003015635593673053,772.1760533345727,791.1096466654272,0.015312501099155718,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,1.06,blind2,6000,574.9588333333334,348.29073948619543,573.7452577311194,4.4964141122276695,-0.002110717379848268,0.002110717379848268,555.9435387302395,593.9741279364272,0.03405682041335112,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,1.275,blind2,6000,207.3035,70.50562077955382,206.3495891118246,0.9102236503107585,-0.004601518489438985,0.004601518489438985,203.45417241731712,211.1528275826829,0.022747687188690136,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,1.675,blind2,6000,97.7985,19.556890765475362,97.44608002543488,0.2524783741276123,-0.003603531491435176,0.003603531491435176,96.73077123989962,98.86622876010038,0.014364346172356823,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,1.875,blind2,6000,77.55,13.045875432908614,77.55742102544234,0.16842152762783846,9.569342930161933e-05,9.569342930161933e-05,76.83774688331368,78.26225311668631,0.0093661536330778,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,0.325,blind2,6000,124.36066666666666,16.922006735044135,124.44444444444439,0.21846216756411893,0.0006736678085063838,0.0006736678085063838,123.43679213639034,125.28454119694298,0.00816330601771198,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,0.525,blind2,6000,176.6865,31.219486336867497,176.8421052630671,0.4030418355327927,0.0008806856385016178,0.0008806856385016178,174.98203972371311,178.39096027628688,0.010630036901449591,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,0.725,blind2,6000,303.617,75.45519791338891,305.4545195733905,0.9741224163444664,0.006052097126941067,0.006052097126941067,299.4974451138308,307.73655488616924,0.019890234647228944,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,0.94,blind2,6000,1353.4276666666667,685.2936706286749,1356.1976540893577,8.84710324535403,0.0020466460756732776,0.0020466460756732776,1316.0133470787746,1390.8419862545588,0.03053487800848087,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,1.0,fresh_precision_confirmation,60000,3150.8703333333333,2253.8987956168094,3136.0,9.201503301891222,-0.004719436777838406,0.004719436777838406,3111.957259112481,3189.7834075541855,0.016861147194763504,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,1.06,blind2,6000,1519.8533333333332,732.14925179914,1531.4801486948281,9.452006197187632,0.0076499587864804226,0.0076499587864804226,1479.8808846344864,1559.82578203218,0.03486717383547133,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,1.275,blind2,6000,466.56766666666664,111.89619094267748,465.287607361744,1.4445736134167837,-0.0027435662528178728,0.0027435662528178728,460.4585779240893,472.676755409244,0.015632560651522742,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,1.675,blind2,6000,209.91066666666666,30.72105114390001,210.04542440504434,0.39660706486103686,0.0006419766108964761,0.0006419766108964761,208.2334189773375,211.58791435599582,0.008701799339442484,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,56,1.875,blind2,6000,165.2705,19.946419219748396,165.56826415508849,0.2575071648485236,0.00180167758364915,0.00180167758364915,164.18150452943462,166.35949547056538,0.008446503335613142,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,0.325,blind2,6000,248.6365,24.041818482025313,248.88888888888866,0.31037854197808573,0.0010150918665949933,0.0010150918665949933,247.32391195386296,249.94908804613706,0.006327641038273768,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,0.525,blind2,6000,353.1445,44.67372729097433,353.6842105263165,0.5767353393698512,0.0015282993967526773,0.0015282993967526773,350.7054914673318,355.5835085326682,0.008493505609284746,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,0.725,blind2,6000,611.8348333333333,107.00921322604937,610.9090909090601,1.3814830023841589,-0.0015130593647794382,0.0015130593647794382,605.9925542140538,617.6771124526128,0.010957216006723947,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,0.94,blind2,6000,2795.81,1091.2106964425668,2797.686238464736,14.08746951508486,0.000671089403334333,0.000671089403334333,2736.2342188652133,2855.3857811347866,0.022458610880543795,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.0,blind2,6000,12698.407166666666,8939.011087675539,12544.0,115.40213691376937,-0.012159569672012482,0.012159569672012482,12210.372573661905,13186.441759671427,0.048719872379539786,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.06,blind2,6000,3661.142,1325.3550489725283,3675.646227445387,17.110260108275057,0.003961667546734649,0.003961667546734649,3588.7828647927618,3733.501135207238,0.024204128788282375,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.275,blind2,6000,1013.2563333333334,177.119616416822,1011.4996687913815,2.2866044155633247,-0.0017336822718619707,0.0017336822718619707,1003.5863039460423,1022.9263627206244,0.011170592865406226,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.675,blind2,6000,442.9021666666667,46.55669142266154,442.34917183823023,0.6010443017816194,-0.0012485710616372847,0.0012485710616372847,440.36035575187395,445.4439775814594,0.006947687922581047,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,112,1.875,blind2,6000,346.58933333333334,29.72072071404364,346.3612009696395,0.38369285454257607,-0.0006582209599463058,0.0006582209599463058,344.9666997226105,348.2119669440562,0.005315055627350129,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,128,0.3,boundary_confirmation,8000,274.289375,23.627117200216663,274.285714285712,0.26415920086019484,-1.3346176052218443e-05,1.3346176052218443e-05,273.17224812932,275.40650187068,0.004076058838395902,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,128,0.975,boundary_confirmation,8000,7406.104875,3853.2794247454826,7392.616995051632,43.08097365016092,-0.0018211840334447955,0.0018211840334447955,7223.915827172269,7588.293922827731,0.025786682720268295,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,128,1.025,boundary_confirmation,8000,8256.709375,4044.92924826752,8270.625688834052,45.22368381651649,0.001685455210060828,0.001685455210060828,8065.458825263116,8447.959924736884,0.025437717557778683,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,128,1.9,boundary_confirmation,8000,387.783,30.590670712520023,388.0531417329754,0.34201409595253346,0.0006966311905766613,0.0006966311905766613,386.33662548230103,389.229374517699,0.004443058559440161,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,10,0.3,boundary_confirmation,8000,28.395875,9.201928733745312,28.34856627312355,0.1028806908638154,-0.0016660422288959787,0.0016660422288959787,27.960793489063263,28.830956510936737,0.016731676509941562,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,10,0.975,boundary_confirmation,8000,105.052875,66.20010676729589,105.58725888517138,0.7401396942470873,0.005086808763409662,0.005086808763409662,101.92283092881914,108.18291907118086,0.03595296483583166,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,10,1.025,boundary_confirmation,8000,105.079625,65.76276779122684,104.65509843777068,0.7352500958485845,-0.004040046414605282,0.004040046414605282,101.97025899621188,108.1889910037881,0.032664068064870766,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
4,10,1.9,boundary_confirmation,8000,35.756625,10.363183297393803,35.353487423173966,0.11586391158131482,-0.011274486247682304,0.011274486247682304,35.266637566103704,36.246612433896296,0.024640233962584523,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
