k,N,repetitions,mc_mean,mc_sd,ci_low,ci_high,normalized_mean,normalized_ci_low,normalized_ci_high,lower_bound,upper_bound,lower_normalized,upper_normalized,potential_rhs,martingale_rel_gap
2,5,20000,25.0815,19.848416957853,24.806420030308242,25.356579969691754,1.00326,0.9922568012123297,1.0142631987876702,25.0,25.0,1.0,1.0,25.0,0.00324940693339706
2,10,20000,100.4758,82.04724859439283,99.33870404395662,101.61289595604339,1.004758,0.9933870404395663,1.016128959560434,100.0,100.0,1.0,1.0,100.0,0.004735468640209947
2,20,20000,397.1259,324.3916584109282,392.6301436002116,401.6216563997884,0.99281475,0.9815753590005291,1.004054140999471,400.0,400.0,1.0,1.0,400.0,0.007237251461060582
2,40,20000,1593.8731,1288.2704947874017,1576.018909944773,1611.727290055227,0.9961706875,0.9850118187154832,1.0073295562845168,1600.0,1600.0,1.0,1.0,1600.0,0.0038440325017091875
3,5,20000,25.1143,17.532190519020144,24.87132070110463,25.35727929889537,1.004572,0.9948528280441852,1.0142911719558148,18.75,75.0,0.75,3.0,25.0258,0.0035238887804955664
3,10,20000,100.1875,70.49199528896874,99.21054874142979,101.16445125857021,1.001875,0.9921054874142979,1.011644512585702,75.0,300.0,0.75,3.0,100.0428,0.0014442919525888985
3,20,20000,399.9413,283.14446082096447,396.017190089048,403.86540991095205,0.99985325,0.99004297522262,1.0096635247773802,300.0,1200.0,0.75,3.0,399.358,0.0014584640295963642
3,40,20000,1601.31165,1138.2680268413606,1585.5363498846561,1617.086950115344,1.0008197812500002,0.9909602186779101,1.01067934382209,1200.0,4800.0,0.75,3.0,1596.89615,0.00275742701303651
4,5,20000,26.77535,16.770493279857405,26.54292709227215,27.007772907727848,1.071014,1.061717083690886,1.0803109163091138,16.666666666666668,150.0,0.6666666666666667,6.0,26.4799,0.011034402911633233
4,10,20000,106.4889,66.7631593228042,105.56362682168859,107.41417317831142,1.064889,1.0556362682168858,1.0741417317831141,66.66666666666667,600.0,0.6666666666666667,6.0,106.0851,0.0037919445125266945
4,20,20000,424.7049,270.5211368826196,420.9557372182696,428.45406278173044,1.0617622500000001,1.0523893430456739,1.0711351569543262,266.6666666666667,2400.0,0.6666666666666667,6.0,423.61385,0.0025689602356836374
4,40,20000,1697.5845,1080.5835129670334,1682.6086517684978,1712.560348231502,1.0609903125,1.051630407355311,1.0703502176446889,1066.6666666666667,9600.0,0.6666666666666667,6.0,1697.414,0.00010043682656147442
5,5,20000,28.33575,16.744501809684955,28.103687309051278,28.567812690948724,1.13343,1.1241474923620511,1.142712507637949,15.625,250.0,0.625,10.0,28.4407,0.003703801734557891
5,10,20000,113.5419,67.26096524926113,112.60972771031598,114.47407228968402,1.135419,1.1260972771031599,1.1447407228968403,62.5,1000.0,0.625,10.0,113.8995,0.0031494981147929093
