k,N,p_bias,repetitions,mc_mean,mc_sd,ci_low,ci_high,leading_asymptotic,leading_relative_error,refined_asymptotic,refined_relative_error,peclet_center,peclet_peripheral
3,20,0.5,10000,59.8868,17.129837386644667,59.55106135661149,60.22253864338851,60.0,0.0018902329060827942,60.0,0.0018902329060827942,10.0,5.0
3,20,1.5,10000,85.2327,24.00637793021123,84.76218363857528,85.70321636142471,120.0,0.407910344269277,82.91767660577379,0.027161211532970353,10.0,5.0
3,40,0.5,10000,119.9282,24.214559241248327,119.45360335985642,120.40279664014359,120.0,0.0005986915504443166,120.0,0.0005986915504443166,20.0,10.0
3,40,1.5,10000,189.5341,39.42150482533955,188.7614527032596,190.30674729674038,240.0,0.26626290466992486,187.55767533158019,0.010427805172894006,20.0,10.0
3,80,0.5,10000,239.9678,34.84469799636447,239.28485646874952,240.6507435312505,240.0,0.0001341846697764821,240.0,0.0001341846697764821,40.0,20.0
3,80,1.5,10000,406.619,60.80906193324577,405.42716428677176,407.8108357132283,480.0,0.1804662349767226,405.8353532115476,0.0019272261956583814,40.0,20.0
3,160,0.5,10000,479.5464,49.24964365129942,478.5811247219202,480.5116752780798,480.0,0.0009458938697068614,480.0,0.0009458938697068614,80.0,40.0
3,160,1.5,10000,854.6915,91.08497557241536,852.9062672834535,856.4767327165465,960.0,0.12321229355855297,855.1153506631604,0.0004959107036402624,80.0,40.0
3,320,0.5,10000,960.4665,70.36621929755658,959.0873474444854,961.8456525555146,960.0,0.0004857014794373321,960.0,0.0004857014794373321,160.0,80.0
3,320,1.5,10000,1772.0015,133.14512480814315,1769.3919035065896,1774.6110964934105,1920.0,0.08352052749391009,1771.6707064230952,0.00018667793278101213,160.0,80.0
5,20,0.5,10000,100.3016,29.88950611330956,99.71577644502223,100.88742355497776,100.0,0.0030069310958149567,100.0,0.0030069310958149567,10.0,2.5
5,20,1.5,10000,181.3213,56.945285519209456,180.20519291293,182.43740708707003,400.0,1.2060287456575702,108.84867734498602,0.3996917221253873,10.0,2.5
5,40,0.5,10000,200.6456,43.2182158592671,199.79853853439758,201.49266146560242,200.0,0.0032176135434816497,200.0,0.0032176135434816497,20.0,5.0
5,40,1.5,10000,458.9626,108.63052545369572,456.83348082489096,461.09171917510906,800.0,0.7430614172048006,388.2498507984143,0.15407083104720454,20.0,5.0
5,80,0.5,10000,400.2584,60.67436993786368,399.0692042013713,401.4475957986287,400.0,0.0006455829534120824,400.0,0.0006455829534120824,40.0,10.0
5,80,1.5,10000,1083.9392,190.20262092584503,1080.2112971322022,1087.667102867798,1600.0,0.4760975523350387,1017.697354689972,0.06111214107768037,40.0,10.0
5,160,0.5,10000,800.2557,84.7836042136942,798.5939718926167,801.9174281073834,800.0,0.00031952287250193543,800.0,0.00031952287250193543,80.0,20.0
5,160,1.5,10000,2444.5102,310.9554994339589,2438.415584203148,2450.6048157968526,3200.0,0.30905569549270023,2376.4997015968283,0.027821728214990397,80.0,20.0
5,320,0.5,10000,1599.2397,119.61211205243791,1596.8953456826246,1601.5840543173756,1600.0,0.00047541341050995393,1600.0,0.00047541341050995393,160.0,40.0
5,320,1.5,10000,5305.0417,482.59266895542765,5295.583057496443,5314.500342503557,6400.0,0.2063995651532768,5235.394709379944,0.013128452999729574,160.0,40.0
