k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,batch_means_json,run_id,formula_sha256,validator_sha256,grid_sha256,formula_mean,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
4,10,1.025,8000,105.079625,65.76276779122684,0.7352500958485845,"[100.625,104.615,106.04,110.555,102.075,106.185,107.38,104.155,111.105,103.04,108.085,101.26,101.73,105.065,107.925,109.135,109.04,108.705,102.65,113.59,101.45,104.37,104.09,107.52,107.5,100.035,98.045,106.18,105.335,96.965,104.395,104.385,106.27,108.82,103.255,104.735,111.365,95.92,107.13,102.46]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,104.65509843777068,-0.004040046414605282,0.004040046414605282,102.26651091359413,107.89273908640585,0.030007956754553367
4,10,1.9,8000,35.756625,10.363183297393803,0.11586391158131482,"[36.115,35.76,35.085,34.315,35.965,35.9,35.96,36.705,35.81,35.765,35.05,36.18,34.985,35.94,36.18,36.255,36.345,36.08,35.215,36.14,35.115,36.13,36.22,36.58,36.385,34.045,36.43,34.16,35.01,35.26,35.205,35.46,36.52,36.855,34.115,36.37,37.48,35.315,35.585,36.275]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,35.353487423173966,-0.011274486247682304,0.011274486247682304,35.31332223320566,36.19992776679434,0.023382376591281506
4,128,0.3,8000,365.565,33.75509888650313,0.37739347848724225,"[363.495,362.16,365.055,367.16,364.985,362.96,366.48,369.18,367.135,363.545,364.145,364.835,369.075,368.975,365.35,367.09,368.995,360.74,366.135,367.15,363.91,365.765,367.625,369.22,362.485,366.175,366.5,362.705,362.155,363.59,363.195,365.44,364.095,363.7,366.98,365.475,370.1,364.67,366.005,368.165]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,365.7142857142857,0.00040836982283786653,0.00040836982283786653,364.121068314109,367.008931685891,0.004375515560122389
4,128,0.975,8000,9450.281375,4703.788851542775,52.58995811927655,"[9769.84,9861.735,9191.075,9523.195,9274.215,9460.405,9432.665,9207.31,9472.385,9189.305,9746.61,8984.475,8946.16,9213.095,9774.31,9038.975,9582.87,9254.67,9457.575,9503.17,9539.81,9066.15,9818.155,9872.79,9834.235,9489.6,9211.19,9349.31,9445.82,9485.53,8647.25,9755.465,9363.36,10252.61,9745.52,9444.825,9556.085,9548.85,9292.07,9408.59]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,9445.443959019638,-0.0005118806296243738,0.0005118806296243738,9249.068817770634,9651.493932229367,0.021349023752857854
4,128,1.025,8000,10916.912875,5336.183739986621,59.66034791519573,"[11326.02,11341.61,10489.32,10588.225,11023.625,10750.98,11290.61,10621.845,10421.685,10287.62,10960.89,10758.765,11242.395,10560.175,11217.485,11168.585,11073.22,10349.59,10690.19,10679.84,11004.96,11147.125,10825.355,11377.355,10668.635,11851.865,10903.63,10929.575,10878.77,10795.945,10639.49,10814.26,11236.89,10822.54,10923.11,11044.625,11283.24,11064.48,10583.515,11038.475]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,10763.983466685615,-0.014008484822169565,0.014008484822169565,10688.648552332474,11145.177197667526,0.034202572486841
4,128,1.9,8000,723.71075,67.95921491084864,0.7598071211908743,"[729.43,726.405,732.265,720.93,720.95,723.345,719.895,726.145,721.315,725.91,719.61,722.545,727.51,731.87,730.235,720.57,724.195,717.855,727.205,719.55,720.6,727.365,722.25,719.975,722.38,718.29,718.03,729.365,726.515,725.54,719.165,723.155,724.3,720.955,723.41,727.01,723.31,717.655,718.255,733.17]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,714.6205798830458,-0.012560501715573717,0.012560501715573717,720.803679157518,726.6178208424819,0.016511074481390775
5,10,0.3,8000,35.384625,11.795903167024377,0.1318822066873578,"[36.855,36.675,35.375,36.62,35.98,33.97,36.085,35.3,34.885,35.675,36.025,35.735,34.205,34.185,34.56,34.62,34.905,33.77,35.59,35.485,34.88,33.5,35.125,35.65,36.13,34.385,36.715,34.835,35.195,35.505,35.295,35.895,35.65,35.635,35.415,36.13,36.015,36.505,34.895,35.53]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,35.55311154114847,0.004761574868985271,0.004761574868985271,34.88003520739303,35.88921479260697,0.019296893760381684
5,10,0.975,8000,114.479625,68.56780605986206,0.7666113770893679,"[113.195,110.055,112.01,109.98,111.43,116.72,118.985,113.035,128.055,117.02,116.075,120.37,118.365,119.14,120.12,103.64,115.76,110.325,111.74,110.675,118.86,118.675,125.67,116.0,116.975,111.645,107.38,114.685,114.935,115.395,112.03,110.705,107.735,117.15,108.635,119.155,114.695,105.685,116.155,110.325]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,113.88678389521101,-0.0051785730848523314,0.0051785730848523314,111.54652063746319,117.41272936253681,0.030030350937833017
5,10,1.025,8000,114.2875,68.54515043718305,0.7663580795274536,"[115.565,110.445,115.62,114.3,109.205,117.045,115.665,116.31,109.825,107.52,112.765,115.94,112.035,110.92,117.975,114.75,109.765,116.38,123.84,118.1,109.19,112.61,121.83,130.46,114.26,117.19,106.96,112.845,108.78,115.4,112.12,106.075,111.545,109.185,122.315,115.24,116.9,111.3,118.44,114.885]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,113.02455312248112,-0.011050612512469617,0.011050612512469617,111.3553647702025,117.21963522979749,0.03578822011425242
5,10,1.9,8000,48.498125,15.256288564948296,0.1705704915778855,"[46.945,46.01,48.06,48.015,48.64,49.28,48.96,47.81,48.49,48.7,48.225,50.58,50.265,50.355,48.7,49.57,49.505,49.14,47.38,46.59,47.89,47.355,49.505,48.97,48.74,48.365,47.71,51.265,47.025,49.14,51.075,49.3,48.02,48.015,49.035,46.755,47.315,48.79,47.8,46.635]",boundary-v1-9e4cfdbcfe51,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,7bd17439943bee509526fbdfe1d93ff9932f73ad9df6491b8f1f8ec4403671a0,9e4cfdbcfe51b861989860b1103b492b54c14c8516d71574938533c2ca8332df,48.081442046751526,-0.008591733252542763,0.008591733252542763,47.84551134473876,49.15073865526124,0.02175545348381569
