cell_id,date,mode,source,source_sha256,claim_boundary,hotspot_weight,scale,seed,repetitions,node_count,channel_count,route_count,increment_sha256,maximum_absolute_drift,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2022-05-31-primary-lambda0-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.0,40,202607301000,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,1.214306433183765e-17,3851.0421772428886,3831.675464989059,19.36671225382932,0.005054371757417253,0.012104195158643326,9.324335152039575,3.2274703551710684,-0.006704564394411201,0.030912954711697853,0.018808759553054527,2332.0,3714.0,5543.0,2343.0,3701.0,5491.0,12220,914,40,0.012104195158643322,0.006403232358606133,3.479924403318366,-0.010178569386187976,0.03438695970347462,0.022282764544831298,0,73.35999690000062,raw/11-2022-05-31-primary-lambda0-N40.npz,62f113f78895b3a1c1cd0e4f3a8ca3862ec64b898925d62252ed7f950cf310c9
2022-05-31-primary-lambda0.25-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.25,40,202607301001,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0007676198144952885,3768.873331509847,3772.246799781182,-3.3734682713347923,-0.0008942862040549623,-0.0021084176695842453,8.872876916273874,3.2274703551710684,-0.0200065096773065,0.015789674338138014,0.017898092007722258,2329.0,3649.0,5372.0999999999985,2325.0,3658.0,5365.0999999999985,12239,914,40,-0.0021084176695842453,0.005943489919595644,3.479924403318366,-0.02279131328166184,0.018574477942493346,0.020682895612077593,0,71.89504119999947,raw/12-2022-05-31-primary-lambda0.25-N40.npz,3fffdf83bb5064e127b2852c02d2c14d2e6495535b317922e275b4023a739e84
2022-05-31-primary-lambda0.5-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.5,40,202607301002,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0015352396289906082,3532.5863238512034,3568.8500273522977,-36.26370350109409,-0.010161173269586184,-0.022664814688183807,7.805879822669453,3.2274703551710684,-0.03841059326549234,-0.006919036110875274,0.015745778577308533,2265.0,3457.0,4897.0999999999985,2264.0,3462.0,5004.0,9820,914,40,-0.022664814688183807,0.004448936038800004,3.479924403318366,-0.038146775778406486,-0.00718285359796113,0.015481961090222677,0,67.54495430000134,raw/13-2022-05-31-primary-lambda0.5-N40.npz,0641ea2ce315c61cf4fb46e201bc27f53ac6c638beb65cc388cd0ba378a4ee40
2022-05-31-primary-lambda0.75-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.75,40,202607301003,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0023028594434859224,3254.817396061269,3300.572100656455,-45.754704595186,-0.013862658714859095,-0.028596690371991248,6.708455182702474,3.2274703551710684,-0.04212877801646997,-0.01506460272751253,0.013532087644478719,2165.0,3205.0,4413.0,2161.0,3220.0,4545.0,8053,914,40,-0.028596690371991244,0.00314604757314713,3.479924403318366,-0.039544698095786465,-0.017648682648196024,0.010948007723795219,0,62.028027599999405,raw/14-2022-05-31-primary-lambda0.75-N40.npz,8f494ec93962a34f3f567929d285439998ad7fa9f9290e63e5dc8db9a8c46510
2022-05-31-primary-lambda1-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,1.0,40,202607301004,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0030704792579812094,2997.6788019693654,3052.74261487965,-55.06381291028446,-0.018037489515785883,-0.03441488306892779,5.7190548364912,3.2274703551710684,-0.04595118303416096,-0.02287858310369462,0.011536299965233168,2053.9,2969.0,3982.0,2063.0,3000.0,4109.0,6943,914,40,-0.03441488306892779,0.003474822108899294,3.479924403318366,-0.04650700132287663,-0.022322764814978947,0.012092118253948842,0,56.704217399999834,raw/15-2022-05-31-primary-lambda1-N40.npz,394bbce25c34e6bc21706d2c0cdbfcf7dd2ff00d74b62ac38695091e13dfea6f
2022-05-31-hub-lambda0-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.0,40,202607301100,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,1.214306433183765e-17,4115.305661925602,4096.770733041575,18.534928884026257,0.004524277801180572,0.011584330552516411,9.609209035381696,3.2274703551710684,-0.007799067758943842,0.030967728863976664,0.019383398311460253,2582.9,3962.0,5853.0,2575.0,3946.0,5800.0999999999985,11663,914,40,0.011584330552516413,0.004718871655291159,3.479924403318366,-0.004836986076858623,0.028005647181891448,0.016421316629375036,0,90.26788299999862,raw/16-2022-05-31-hub-lambda0-N40.npz,9bebbf7dfe626e6d61e65ebbddbc5160ca815d49037ac824ff4b34b1e8693ff6
2022-05-31-hub-lambda0.25-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.25,40,202607301101,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.0015956435128182116,3988.573605032823,3992.2973468271334,-3.723741794310722,-0.0009327315755351126,-0.002327338621444201,8.985824115155049,3.2274703551710684,-0.020453264214221837,0.015798586971333437,0.018125925592777637,2540.0,3854.0,5601.0999999999985,2544.0,3855.0,5633.0,11585,914,40,-0.002327338621444201,0.004919593597174155,3.479924403318366,-0.01944715243465932,0.01479247519177092,0.01711981381321512,0,87.71098900000106,raw/17-2022-05-31-hub-lambda0.25-N40.npz,3db59f2116ef98cae3298b326ab0dec890cb839683317d4a0a384e5dd3bcdd58
2022-05-31-hub-lambda0.5-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.5,40,202607301102,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.0031912870256364,3643.899863238512,3676.467997811816,-32.56813457330416,-0.008858538845622557,-0.0203550841083151,7.595732156730633,3.2274703551710684,-0.035676959334357425,-0.005033208882272773,0.015321875226042326,2406.0,3557.0,4979.0,2420.0,3569.0,5061.0999999999985,9648,914,40,-0.0203550841083151,0.0033682701213797704,3.479924403318366,-0.03207640950067268,-0.008633758715957522,0.011721325392357576,0,79.64984650000042,raw/18-2022-05-31-hub-lambda0.5-N40.npz,dc1f12a5d12d9229ba8b267187a6b742621631a7e684affb91f00484fd5dc157
2022-05-31-hub-lambda0.75-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.75,40,202607301103,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.004786930538454602,3278.0096280087528,3318.5442560175056,-40.53462800875273,-0.012214581117986123,-0.025334142505470458,6.28033093664226,3.2274703551710684,-0.03800263120464336,-0.012665653806297555,0.012668488699172902,2244.9,3228.0,4377.0999999999985,2248.0,3257.0,4468.0,8020,914,40,-0.025334142505470458,0.004029489759732527,3.479924403318366,-0.03935646225328514,-0.01131182275765578,0.014022319747814678,0,71.27421519999916,raw/19-2022-05-31-hub-lambda0.75-N40.npz,28f8b1d740cf833cf01eab8c5a81f7801a3152537adf5f11c7bef16cbb7ad064
2022-05-31-hub-lambda1-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,1.0,40,202607301104,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.006382574051272814,2964.5127188183806,2986.204567833698,-21.69184901531729,-0.007264019769098856,-0.013557405634573305,5.230038943317389,3.2274703551710684,-0.02410727791329024,-0.003007533355856372,0.010549872278716933,2088.9,2935.0,3879.0,2089.9,2934.0,3944.0,6865,914,40,-0.013557405634573305,0.002755712825349402,3.479924403318366,-0.02314707794404409,-0.003967733325102519,0.009589672309470786,0,63.756366999999955,raw/20-2022-05-31-hub-lambda1-N40.npz,a28baef8927cda6d8a976bdd23cec776e4863f23f8cd30b28f724055dc65a10b
