anchor_id,date,mode,block_count,slope,slope_standard_error,slope_simultaneous_critical,slope_ci_low,slope_ci_high,slope_ci_halfwidth,affine_drift_residual
2020-10-14-primary,2020-10-14,primary,40,-0.0077430046498905905,0.0065233472328958516,2.890780195196854,-0.02660056763713812,0.011114558337356938,0.018857562987247528,1.8214596497756474e-17
2020-10-14-hub,2020-10-14,hub,40,-0.02151082467177243,0.00632727986059184,2.890780195196854,-0.039801599982239234,-0.003220049361305627,0.018290775310466804,1.1720225484568303e-16
2022-05-31-primary,2022-05-31,primary,40,-0.04781057166301969,0.006362169799720739,2.890780195196854,-0.06620220611853195,-0.02941893720750744,0.01839163445551225,7.762887554996212e-17
2022-05-31-hub,2022-05-31,hub,40,-0.029316110503282276,0.00431079190275515,2.890780195196854,-0.04177766236138183,-0.016854558645182725,0.01246155185809955,2.0166160408230382e-17
2023-07-16-primary,2023-07-16,primary,40,-0.051663881291028446,0.006289387681451467,2.890780195196854,-0.0698451186404834,-0.033482643941573485,0.01818123734945496,2.4936649967166602e-17
2023-07-16-hub,2023-07-16,hub,40,-0.05657468544857769,0.007302107106326092,2.890780195196854,-0.07768347205475137,-0.03546589884240401,0.021108786606173678,1.1362438767648086e-16
2026-07-22-primary,2026-07-22,primary,40,-0.056860202407002194,0.011140405534230216,2.890780195196854,-0.08906466609181633,-0.024655738722188056,0.03220446368481414,1.984089975648473e-17
2026-07-22-hub,2026-07-22,hub,40,-0.036377249726477025,0.00698455780630902,2.890780195196854,-0.05656807110516272,-0.016186428347791323,0.020190821378685702,1.1763593571467723e-16
