anchor_id,block_index,slope
2020-10-14-primary,0,0.006179157549234142
2020-10-14-primary,1,-0.019265864332603945
2020-10-14-primary,2,-0.013349562363238525
2020-10-14-primary,3,-0.02353172866520788
2020-10-14-primary,4,0.029325218818380745
2020-10-14-primary,5,-0.021512855579868727
2020-10-14-primary,6,0.003318927789934348
2020-10-14-primary,7,-0.04634381838074397
2020-10-14-primary,8,0.01436323851203501
2020-10-14-primary,9,-0.032193380743982494
2020-10-14-primary,10,-0.05008205689277899
2020-10-14-primary,11,-0.09044365426695845
2020-10-14-primary,12,0.029847374179431077
2020-10-14-primary,13,0.05345815098468271
2020-10-14-primary,14,0.0002902078774617029
2020-10-14-primary,15,-0.002531728665207866
2020-10-14-primary,16,-0.04322018599562363
2020-10-14-primary,17,-0.04980278993435448
2020-10-14-primary,18,0.03718982494529541
2020-10-14-primary,19,-0.0002352297592997684
2020-10-14-primary,20,0.037265317286652076
2020-10-14-primary,21,-0.06005361050328227
2020-10-14-primary,22,-0.02480908096280088
2020-10-14-primary,23,-0.06877215536105033
2020-10-14-primary,24,-0.04021608315098468
2020-10-14-primary,25,-0.018120897155361047
2020-10-14-primary,26,0.019187910284463896
2020-10-14-primary,27,-0.027425328227571114
2020-10-14-primary,28,0.0027021334792122625
2020-10-14-primary,29,-0.0729370897155361
2020-10-14-primary,30,0.026843544857768055
2020-10-14-primary,31,-0.032240426695842435
2020-10-14-primary,32,0.09325847921225383
2020-10-14-primary,33,0.04403719912472648
2020-10-14-primary,34,-0.016559901531728663
2020-10-14-primary,35,0.003457603938730857
2020-10-14-primary,36,0.0583941466083151
2020-10-14-primary,37,0.04199781181619255
2020-10-14-primary,38,-0.07611870897155361
2020-10-14-primary,39,0.01892970459518599
2020-10-14-hub,0,-0.02640344638949671
2020-10-14-hub,1,0.021519420131291024
2020-10-14-hub,2,-0.05268353391684902
2020-10-14-hub,3,-0.016331509846827137
2020-10-14-hub,4,-0.03063867614879649
2020-10-14-hub,5,-0.06657248358862144
2020-10-14-hub,6,0.01762363238512035
2020-10-14-hub,7,-0.062224835886214455
2020-10-14-hub,8,-0.040782822757111606
2020-10-14-hub,9,0.030512582056892765
2020-10-14-hub,10,-0.024093818380743984
2020-10-14-hub,11,0.05459710065645515
2020-10-14-hub,12,-0.024732221006564546
2020-10-14-hub,13,0.03599972647702406
2020-10-14-hub,14,0.015880196936542676
2020-10-14-hub,15,-0.07430415754923414
2020-10-14-hub,16,-0.01627707877461708
2020-10-14-hub,17,-0.09854485776805251
2020-10-14-hub,18,-0.024454321663019703
2020-10-14-hub,19,-0.07447018599562363
2020-10-14-hub,20,-0.04395131291028448
2020-10-14-hub,21,-0.03580032822757111
2020-10-14-hub,22,-0.050324671772428886
2020-10-14-hub,23,-0.03932084245076587
2020-10-14-hub,24,0.0076342997811816235
2020-10-14-hub,25,-0.018028719912472648
2020-10-14-hub,26,-0.05914715536105034
2020-10-14-hub,27,-0.028703774617067832
2020-10-14-hub,28,0.022644967177242882
2020-10-14-hub,29,0.007672319474835888
2020-10-14-hub,30,-0.023757385120350125
2020-10-14-hub,31,-0.03267341356673961
2020-10-14-hub,32,-0.07998741794310721
2020-10-14-hub,33,-0.007969091903719912
2020-10-14-hub,34,-0.0555191466083151
2020-10-14-hub,35,0.06761187089715538
2020-10-14-hub,36,0.034536105032822756
2020-10-14-hub,37,-0.06485147702407003
2020-10-14-hub,38,-0.044051422319474835
2020-10-14-hub,39,0.03993490153172866
2022-05-31-primary,0,-0.08701012035010941
2022-05-31-primary,1,-0.022283643326039396
2022-05-31-primary,2,-0.04056564551422319
2022-05-31-primary,3,-0.00796881838074396
2022-05-31-primary,4,-0.06810448577680525
2022-05-31-primary,5,-0.0804625273522976
2022-05-31-primary,6,0.014474288840262584
2022-05-31-primary,7,-0.08667040481400437
2022-05-31-primary,8,-0.12027598468271333
2022-05-31-primary,9,-0.057689004376367606
2022-05-31-primary,10,-0.036480306345733036
2022-05-31-primary,11,-0.0009171225382932106
2022-05-31-primary,12,0.0005248905908096357
2022-05-31-primary,13,-0.04069201312910285
2022-05-31-primary,14,-0.10607330415754923
2022-05-31-primary,15,-0.024420678336980306
2022-05-31-primary,16,-0.10034956236323851
2022-05-31-primary,17,-0.07717286652078775
2022-05-31-primary,18,-0.0665229759299781
2022-05-31-primary,19,-0.03346745076586431
2022-05-31-primary,20,-0.015036925601750533
2022-05-31-primary,21,-0.06074398249452954
2022-05-31-primary,22,-0.07002543763676149
2022-05-31-primary,23,-0.03918271334792123
2022-05-31-primary,24,-0.011985776805251643
2022-05-31-primary,25,-0.08543079868708972
2022-05-31-primary,26,-0.05559436542669585
2022-05-31-primary,27,0.029802242888402636
2022-05-31-primary,28,0.02268107221006565
2022-05-31-primary,29,-0.14698550328227572
2022-05-31-primary,30,0.004565645514223206
2022-05-31-primary,31,-0.06254786652078775
