anchor_id,date,mode,formal_slope,formal_slope_ci_low,formal_slope_ci_high,formal_slope_ci_halfwidth,replication_slope,replication_slope_ci_low,replication_slope_ci_high,replication_slope_ci_halfwidth,formal_mean,replication_mean,difference_replication_minus_formal,welch_standard_error,welch_degrees_of_freedom,simultaneous_critical,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_halfwidth,contains_zero,pooled_slope,pooled_standard_error,pooled_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,pooled_precision_gate_pass
2020-10-14-primary,2020-10-14,primary,0.0050259094638949,-0.0108211931541818,0.0208730120819718,0.0158471026180768,-0.0077430046498905,-0.0266005676371381,0.0111145583373569,0.0188575629872475,0.005025909463894967,-0.0077430046498905905,-0.012768914113785557,0.008520903559954841,75.75382675059495,2.8128983457480716,-0.036737349641861386,0.01119952141429027,0.023968435528075826,True,-0.0013585475929978122,0.0042939084652582555,2.809589721530288,-0.0134226686821793,0.010705573496183675,0.012064121089181487,True
2020-10-14-hub,2020-10-14,hub,-0.0359735024617067,-0.0551724520307926,-0.0167745528926208,0.0191989495690858,-0.0215108246717724,-0.0398015999822392,-0.0032200493613056,0.0182907753104668,-0.03597350246170679,-0.02151082467177243,0.014462677789934358,0.009172961620067848,77.81755084660267,2.810762139518189,-0.01132033543900578,0.0402456910188745,0.025783013228940138,True,-0.028742163566739608,0.004629412226459606,2.809589721530288,-0.04174891257492716,-0.015735414558552055,0.013006749008187553,True
2022-05-31-primary,2022-05-31,primary,-0.0533353391684901,-0.0700061826198074,-0.0366644957171729,0.0166708434513172,-0.0478105716630196,-0.0662022061185319,-0.0294189372075074,0.0183916344555122,-0.05333533916849016,-0.04781057166301969,0.005524767505470471,0.008586870950069088,77.25921576317886,2.8113285330683078,-0.018615747806234123,0.029665282817175065,0.024140515311704594,True,-0.050572955415754926,0.00427748098399048,2.809589721530288,-0.06259092202241584,-0.03855498880909401,0.012017966606660916,True
2022-05-31-hub,2022-05-31,hub,-0.0277837390590809,-0.0418233826391252,-0.0137440954790367,0.0140396435800442,-0.0293161105032822,-0.0417776623613818,-0.0168545586451827,0.0124615518580995,-0.02778373905908097,-0.029316110503282276,-0.0015323714442013053,0.006493876565042584,76.91672235128165,2.8116801441249795,-0.019791075240530063,0.016726332352127452,0.018258703796328758,True,-0.028549924781181624,0.0032274739916588915,2.809589721530288,-0.03761780253465277,-0.01948204702771047,0.009067877753471152,True
2023-07-16-primary,2023-07-16,primary,-0.0429514565098468,-0.0613299030318801,-0.0245730099878134,0.0183784465220333,-0.0516638812910284,-0.0698451186404834,-0.0334826439415734,0.0181812373494549,-0.04295145650984683,-0.051663881291028446,-0.008712424781181616,0.008942906322238974,77.99092329672091,2.810587956944507,-0.03384724959054937,0.016422400028186138,0.025134824809367753,True,-0.04730766890043764,0.00447001298303923,2.809589721530288,-0.0598665714326916,-0.03474876636818368,0.01255890253225396,True
2023-07-16-hub,2023-07-16,hub,-0.0397141821663019,-0.0578938823412419,-0.021534481991362,0.0181797001749399,-0.0565746854485776,-0.0776834720547513,-0.035465898842404,0.0211087866061736,-0.03971418216630197,-0.05657468544857769,-0.016860503282275716,0.009636932972137562,76.32185962806734,2.812298538979955,-0.04396243580006594,0.010241429235514507,0.027101932517790223,True,-0.04814443380743983,0.004880915361297203,2.809589721530288,-0.06185780343819974,-0.03443106417667992,0.013713369630759913,True
2026-07-22-primary,2026-07-22,primary,-0.0662788088074398,-0.0921404543825192,-0.0404171632323604,0.0258616455750793,-0.0568602024070021,-0.0890646660918163,-0.024655738722188,0.0322044636848141,-0.06627880880743983,-0.056860202407002194,0.009418606400437637,0.014287898539289069,74.52634961615759,2.8142265454951634,-0.030790776948171228,0.0496279897490465,0.040209383348608865,True,-0.061569505607221006,0.007118336464458084,2.809589721530288,-0.08156911057215668,-0.04156990064228532,0.019999604964935684,True
2026-07-22-hub,2026-07-22,hub,-0.0528503966083151,-0.071691277803648,-0.0340095154129821,0.0188408811953329,-0.036377249726477,-0.0565680711051627,-0.0161864283477913,0.0201908213786857,-0.0528503966083151,-0.036377249726477025,0.016473146881838076,0.009553159255568013,77.62945392339546,2.8109520178728427,-0.010380325404661453,0.043326619168337605,0.02685347228649953,True,-0.04461382316739606,0.0048358716981695546,2.809589721530288,-0.05820063858521246,-0.03102700774957966,0.013586815417816398,True
