cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-hub-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,40,202607230102,31,33,936,870,20,4313.8,3805.4,508.4,0.13359962159037156,0.31775,388.7204813636386,3.865530558367775,-0.62138181210911,1.25688181210911,0.93913181210911,2703.3,3825.5,6149.000000000001,2560.3,3685.5,4994.000000000001,8885,5,4,0.31775,0.2633863557510778,12.746788173124813,-3.039580084450283,3.6750800844502836,3.3573300844502834,0,0.08643089999986842,raw/11-2020-10-14-hub-uniform-N40.npz,21e7da57a137055c1b43c49eee501e885ca1a7a94c4b3ceae92119849acae6dd
2020-10-14-hub-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,80,202607230103,31,33,936,870,20,14719.1,14914.45,-195.35,-0.013098035797498398,-0.0305234375,1285.2889400216998,3.865530558367775,-0.8068240115603135,0.7457771365603135,0.7763005740603135,10520.6,14077.5,19593.9,10079.8,14105.0,20503.2,25327,5,4,-0.030523437499999993,0.16544074822822946,12.746788173124813,-2.139361610368515,2.078314735368515,2.108838172868515,0,0.20574660000011136,raw/12-2020-10-14-hub-uniform-N80.npz,ca23ffaa2f3b3268dc4bf8b9cfbffbc83ba72f2b1c87ee1ab7a659d650ee6e5c
2020-10-14-hub-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,10,202607230110,31,33,936,870,20,252.2,243.65,8.55,0.03509131951569875,0.0855,26.092394031897292,3.865530558367775,-0.9231094647127193,1.0941094647127192,1.0086094647127193,151.5,233.5,418.8,143.9,250.5,345.7,484,5,4,0.08550000000000002,0.3904265829405916,12.746788173124813,-4.891184949900667,5.062184949900667,4.976684949900667,0,0.044343900000058056,raw/13-2020-10-14-hub-hotspot-N10.npz,5e2f5c466e2dd97cab18ac1a608a4f217a8c56371b0ea3fb974f36bd62ad66a8
2020-10-14-hub-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,20,202607230111,31,33,936,870,20,895.25,817.65,77.6,0.0949061334311747,0.19399999999999998,85.08498537839743,3.865530558367775,-0.6282465275961765,1.0162465275961765,0.8222465275961764,626.3,895.0,1165.2,544.6,810.0,1067.1000000000001,1352,5,4,0.194,0.3084151017703251,12.746788173124813,-3.7373019716590656,4.1253019716590655,3.9313019716590656,0,0.051479500000368716,raw/14-2020-10-14-hub-hotspot-N20.npz,34b14b8f045610253a311b54b18379164235794f3a32163c98727e700ddba8c8
2020-10-14-hub-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,40,202607230112,31,33,936,870,20,3014.05,3205.75,-191.7,-0.0597987990329876,-0.11981249999999999,262.8044810560845,3.865530558367775,-0.7547367202489248,0.5151117202489248,0.6349242202489248,2407.9,2923.0,3707.9000000000005,1899.3,3389.0,4083.0,4382,5,4,-0.11981250000000003,0.1704541841852232,12.746788173124813,-2.2925558790318417,2.0529308790318415,2.1727433790318416,0,0.07584390000010899,raw/15-2020-10-14-hub-hotspot-N40.npz,26f8e18b37c7b1e17a16b8843c1c6b7cf4df7371d712c797b9c4717e73073ec6
2020-10-14-hub-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,80,202607230113,31,33,936,870,20,9039.8,8739.15,300.65,0.034402659297528934,0.0469765625,394.8280790086797,3.865530558367775,-0.19149531323589025,0.2854484382358902,0.23847187573589024,7498.7,9395.0,10227.300000000001,7478.7,8645.5,10370.1,11591,5,4,0.046976562500000006,0.02700777031502828,12.746788173124813,-0.2972857647340739,0.3912388897340739,0.3442623272340739,0,0.1358592999999928,raw/16-2020-10-14-hub-hotspot-N80.npz,d4ff98a5b6732c2da29b97ee75359778fa59badeb778986c182dfa395e395ab0
2022-05-31-primary-uniform-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,10,202607231000,31,30,930,870,20,216.2,226.8,-10.6,-0.04673721340388007,-0.106,24.762067765031258,3.865530558367775,-1.0631852963410195,0.8511852963410196,0.9571852963410196,143.5,193.0,320.0,138.8,219.5,356.6,384,5,4,-0.10600000000000002,0.185321342537766,12.746788173124813,-2.468251897288008,2.256251897288008,2.362251897288008,0,0.04060399999980291,raw/17-2022-05-31-primary-uniform-N10.npz,e4672a63b11e469f7373bd07146ce79fc932816392652da13ec36ef82d19be5d
2022-05-31-primary-uniform-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,20,202607231001,31,30,930,870,20,950.65,951.6,-0.95,-0.0009983186212694408,-0.002375,91.53263654364808,3.865530558367775,-0.8869305091186064,0.8821805091186063,0.8845555091186064,648.4,887.0,1317.9,526.2,905.5,1299.9,2076,5,4,-0.0023750000000000073,0.2518484477319644,12.746788173124813,-3.2126338149696463,3.2078838149696467,3.2102588149696465,0,0.04671409999991738,raw/18-2022-05-31-primary-uniform-N20.npz,6aefce5c4eeaae243498edf35ab1016e902a7f468c571fe230fe2971c540bb96
2022-05-31-primary-uniform-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,40,202607231002,31,30,930,870,20,3867.4,3541.05,326.35,0.0921619293712317,0.20396875,290.98978346146,3.865530558367775,-0.4990499375894345,0.9069874375894346,0.7030186875894345,2745.8,3727.0,5046.6,2267.6,3596.0,4786.300000000001,5625,5,4,0.20396874999999998,0.14945908873577804,12.746788173124813,-1.7011545946632274,2.1090920946632274,1.9051233446632274,0,0.075278199999957,raw/19-2022-05-31-primary-uniform-N40.npz,0e37f0fd0bcc62f6256cba3b933148cc14d689dc21300a604ceff1a9f332f8f4
2022-05-31-primary-uniform-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,80,202607231003,31,30,930,870,20,14837.2,13625.3,1211.9,0.08894483057253787,0.18935937500000002,1648.2294885246122,3.865530558367775,-0.8061533523585588,1.1848721023585589,0.9955127273585588,8744.4,14454.0,20875.100000000002,7721.3,13717.5,20365.0,27616,5,4,0.189359375,0.11665754719287257,12.746788173124813,-1.2976496678638578,1.6763684178638578,1.4870090428638578,0,0.1878513000001476,raw/20-2022-05-31-primary-uniform-N80.npz,90a51be73361e7648ba778dacb861d3ab96379a23b636426ba9239254e03db65
