scale,state_count,correlated_matrix_nnz,proxy_matrix_nnz,correlated_exact_mean,proxy_exact_mean,normalized_correlated_mean,normalized_proxy_mean,normalized_difference,correlated_residual_max_abs,proxy_residual_max_abs
1,1,1,1,1.0,1.125,1.0,1.125,-0.125,0.0,0.0
2,9,41,49,3.767441860465116,3.7285714285714286,0.941860465116279,0.9321428571428572,0.009717607973421805,4.440892098500626e-16,4.440892098500626e-16
4,49,289,361,14.94740077844731,14.322873874270043,0.9342125486529569,0.8951796171418777,0.03903293151107923,2.886579864025407e-15,3.3306690738754696e-15
8,225,1457,1849,59.734644536642826,56.75466709147693,0.9333538208850441,0.8867916733043271,0.046562147580717084,2.1316282072803006e-14,1.865174681370263e-14
16,961,6481,8281,238.9121538410325,226.49277520701906,0.9332506009415332,0.8847374031524182,0.048513197789115,1.4210854715202004e-13,9.237055564881302e-14
32,3969,27281,34969,955.6356228314852,905.4477963600455,0.9332379129213723,0.8842263636328569,0.049011549288515366,7.105427357601002e-13,5.258016244624741e-13
64,16129,111889,143641,3822.5360483088316,3621.268521163315,0.9332363399191483,0.8840987600496375,0.04913757986951084,3.410605131648481e-12,3.581135388230905e-12
128,65025,453137,582169,15290.140984949376,14484.551580003146,0.933236144100914,0.8840668688966764,0.04916927520423764,1.5916157281026244e-11,1.8189894035458565e-11
256,261121,1823761,2343961,61160.56233888738,57937.683855188734,0.9332361196729642,0.8840588967161367,0.04917722295682747,8.731149137020111e-11,1.0550138540565968e-10
