cell_id,date,mode,source,source_sha256,claim_boundary,hotspot_weight,scale,seed,repetitions,node_count,channel_count,route_count,increment_sha256,maximum_absolute_drift,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2022-05-31-primary-lambda0-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.0,40,202607291000,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,1.214306433183765e-17,3856.246580962801,3823.1372538293217,33.10932713347921,0.008660250714335805,0.020693329458424507,9.30630782230102,3.2274703551710684,0.001920934075566278,0.03946572484128273,0.01877239538285823,2349.0,3717.0,5559.0,2335.0,3682.0,5489.0,11928,914,40,0.020693329458424507,0.005685285459337625,3.479924403318366,0.0009089658486444406,0.040477693068204576,0.019784363609780066,0,77.59943420000036,raw/11-2022-05-31-primary-lambda0-N40.npz,c89a69f9a239074503c7f5da2988f91986988135eaed5a5cd9b7373b5b5787a5
2022-05-31-primary-lambda0.25-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.25,40,202607291001,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0007676198144952885,3776.0742888402624,3769.059272428884,7.015016411378555,0.0018612114865622393,0.004384385257111597,8.875190550903225,3.2274703551710684,-0.013518373742597494,0.022287144256820688,0.01790275899970909,2326.0,3665.5,5380.0,2329.0,3650.0,5360.0,12141,914,40,0.004384385257111598,0.006510121037755032,3.479924403318366,-0.018270343810728423,0.027039114324951617,0.02265472906784002,0,76.88407050000023,raw/12-2022-05-31-primary-lambda0.25-N40.npz,12a332e9a71af266d0ca7971e5d72b965f11593217961d0ee1c89fea7a4e4093
2022-05-31-primary-lambda0.5-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.5,40,202607291002,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0015352396289906082,3525.797237417943,3559.8652899343547,-34.06805251641138,-0.009570039802556576,-0.021292532822757112,7.808277650063395,3.2274703551710684,-0.037043148223084875,-0.005541917422429349,0.015750615400327763,2248.0,3448.0,4897.0999999999985,2255.0,3456.0,4992.0,9745,914,40,-0.02129253282275711,0.004937285374872045,3.479924403318366,-0.0384739126849212,-0.004111152960593011,0.017181379862164097,0,72.2158801000005,raw/13-2022-05-31-primary-lambda0.5-N40.npz,573a39c8a3cb67e41bdfcd75502d426f9c888269f2cfa8a05c93fb8b017eed96
2022-05-31-primary-lambda0.75-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.75,40,202607291003,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0023028594434859224,3253.557822757112,3293.615672866521,-40.05785010940919,-0.012162272131327872,-0.025036156318380742,6.705783243668657,3.2274703551710684,-0.038562854210345415,-0.011509458426416068,0.013526697891964675,2145.0,3204.0,4415.0,2155.0,3224.5,4518.0,8402,914,40,-0.025036156318380742,0.00439300614926844,3.479924403318366,-0.04032348562114763,-0.009748827015613854,0.015287329302766888,0,65.72946990000037,raw/14-2022-05-31-primary-lambda0.75-N40.npz,4aa53ed6425001e67a3c7f759bc5cd3ac310a31ac5778ef441bb545706f1c0ac
2022-05-31-primary-lambda1-N40,2022-05-31,primary,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,1.0,40,202607291004,36560,31,30,930,3d6e6e0f6ae5c14487992695d362adcda9b5f11abc02f307a642a535675be1e2,0.0030704792579812094,3004.016712253829,3054.0416301969367,-50.02491794310722,-0.016379907021726293,-0.03126557371444201,5.7444638530984005,3.2274703551710684,-0.0428531279595838,-0.01967801946930022,0.011587554245141787,2060.0,2982.0,3975.0,2055.0,3005.0,4110.0,7287,914,40,-0.03126557371444201,0.0038313190350838214,3.479924403318366,-0.044598274321528374,-0.017932873107355647,0.013332700607086365,0,60.946108100000856,raw/15-2022-05-31-primary-lambda1-N40.npz,af4e3f9e27706bcb98cb05f51b03143e058da51f3c4e09fb156071e4f2d2570d
2022-05-31-hub-lambda0-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.0,40,202607291100,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,1.214306433183765e-17,4114.888211159738,4097.319584245077,17.568626914660832,0.0042878341690053496,0.01098039182166302,9.635497092369178,3.2274703551710684,-0.008456033942686072,0.030416817586012113,0.01943642576434909,2579.0,3967.0,5842.0,2560.0,3941.0,5838.0999999999985,13571,914,40,0.010980391821663021,0.0045893678002599785,3.479924403318366,-0.004990261182265206,0.02695104482559125,0.015970653003928227,0,98.26444919999994,raw/16-2022-05-31-hub-lambda0-N40.npz,1b9504bf2c3de019b004659c59260506bc891d1580e57b64351c43914d3cb86a
2022-05-31-hub-lambda0.25-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.25,40,202607291101,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.0015956435128182116,3994.6426969365425,3985.4033916849016,9.239305251641138,0.002318286091419984,0.005774565782275711,8.993753507667513,3.2274703551710684,-0.012367354735044734,0.023916486299596158,0.018141920517320446,2549.0,3870.0,5608.0999999999985,2533.0,3849.5,5605.0,12083,914,40,0.005774565782275712,0.005119154580563777,3.479924403318366,-0.012039705166987168,0.023588836731538592,0.01781427094926288,0,94.9616974999999,raw/17-2022-05-31-hub-lambda0.25-N40.npz,c4ef22d4eb6dcf7d1f2a489f455124c443350454702c8403668e2cc4e8bfde3d
2022-05-31-hub-lambda0.5-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.5,40,202607291102,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.0031912870256364,3641.9807713347923,3675.6129376367617,-33.63216630196936,-0.009150083774488288,-0.021020103938730852,7.6567055862998075,3.2274703551710684,-0.03646497287501544,-0.0055752350024462615,0.01544486893628459,2403.0,3553.0,4992.0999999999985,2401.0,3581.0,5078.0,10278,914,40,-0.021020103938730855,0.005056795095430446,3.479924403318366,-0.03861736859389989,-0.0034228392835618238,0.01759726465516903,0,83.6945399999995,raw/18-2022-05-31-hub-lambda0.5-N40.npz,68a124ef7563318d88baf97f83b85282985ce35bb1879b157ea0d26fe6e15acd
2022-05-31-hub-lambda0.75-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,0.75,40,202607291103,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.004786930538454602,3281.3282549234136,3307.4936542669584,-26.16539934354486,-0.007910944684591968,-0.016353374589715537,6.31429077664216,3.2274703551710684,-0.029090366024429708,-0.0036163831550013667,0.01273699143471417,2240.0,3229.0,4392.0,2233.0,3241.0,4461.0,7826,914,40,-0.016353374589715537,0.0037602164016434262,3.479924403318366,-0.02943864340755247,-0.0032681057718786048,0.013085268817836932,0,73.2164358,raw/19-2022-05-31-hub-lambda0.75-N40.npz,c2d87aec86c3599a04da3c61caa5db1a6da8a7503046d1ca255eb5917cf0fdee
2022-05-31-hub-lambda1-N40,2022-05-31,hub,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,historical public topology; synthetic interpolated demand,1.0,40,202607291104,36560,31,36,948,90a10d6941b34736e0e4dee6e418daddfcf173a550fa45aed3de146b53a187f1,0.006382574051272814,2965.5488238512035,2985.8453227571117,-20.296498905908095,-0.006797572115077424,-0.01268531181619256,5.2985367437957045,3.2274703551710684,-0.023373355732683357,-0.0019972678997017598,0.0106880439164908,2081.0,2921.0,3896.0,2083.0,2939.0,3950.0,7007,914,40,-0.01268531181619256,0.0029214427734067395,3.479924403318366,-0.022851711816268758,-0.002518911816116359,0.0101664000000762,0,64.66039319999982,raw/20-2022-05-31-hub-lambda1-N40.npz,612cd4dbe336a8aa62049ce543caf241861d9a542b6e0212537dfa5f43088bac
2023-07-16-primary-lambda0-N40,2023-07-16,primary,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.0,40,202607292000,36560,31,30,930,c79226c33537daecac07d7ad1b1b2da3a21f2c98145c9ee7394b9ad09e0c89ce,1.214306433183765e-17,4026.327133479212,4021.2885667396063,5.038566739606127,0.0012529731840884308,0.0031491042122538293,9.376687821274944,3.2274703551710684,-0.015765259520782716,0.022063467945290374,0.018914363733036545,2516.0,3872.0,5731.0999999999985,2543.0,3866.0,5701.0,11567,914,40,0.0031491042122538298,0.006297048728578999,3.479924403318366,-0.01876414932721312,0.025062357751720776,0.021913253539466947,0,77.6073879000005,raw/21-2023-07-16-primary-lambda0-N40.npz,165cc7272edefebde8fd995f6a7ba6267d4ed8981f8b6b95a059fa9b9b81456b
2023-07-16-primary-lambda0.25-N40,2023-07-16,primary,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.25,40,202607292001,36560,31,30,930,c79226c33537daecac07d7ad1b1b2da3a21f2c98145c9ee7394b9ad09e0c89ce,0.0007663568434481392,3931.2937910284463,3953.256126914661,-21.962335886214444,-0.005555505431760391,-0.013726459928884027,8.935461725498154,3.2274703551710684,-0.031750796071890915,0.004297876214122859,0.018024336143006886,2510.0,3809.0,5528.0999999999985,2505.0,3822.0,5564.0,12559,914,40,-0.013726459928884025,0.004236444796936397,3.479924403318366,-0.02846896756105411,0.0010160477032860622,0.014742507632170087,0,75.84577890000037,raw/22-2023-07-16-primary-lambda0.25-N40.npz,03b9f7c141279f87cd2097214246c0aee5d772994034004515838cb89a10ac6f
2023-07-16-primary-lambda0.5-N40,2023-07-16,primary,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.5,40,202607292002,36560,31,30,930,c79226c33537daecac07d7ad1b1b2da3a21f2c98145c9ee7394b9ad09e0c89ce,0.00153271368689631,3656.911980306346,3712.82658643326,-55.91460612691466,-0.01505984856153199,-0.03494662882932167,7.7845934072853185,3.2274703551710684,-0.05064946910999261,-0.019243788548650727,0.01570284028067094,2403.0,3569.0,5015.0,2408.0,3602.0,5174.0999999999985,10424,914,40,-0.03494662882932166,0.004710728213770758,3.479924403318366,-0.051339606897822854,-0.018553650760820464,0.016392978068501197,0,69.79379750000044,raw/23-2023-07-16-primary-lambda0.5-N40.npz,a4a549f71ca4120475b84f4ac79966c1fda93330dcae27a2b11b18afaef0f1e5
2023-07-16-primary-lambda0.75-N40,2023-07-16,primary,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.75,40,202607292003,36560,31,30,930,c79226c33537daecac07d7ad1b1b2da3a21f2c98145c9ee7394b9ad09e0c89ce,0.0022990705303444756,3355.5905087527353,3416.9158916849015,-61.3253829321663,-0.017947583398643854,-0.038328364332603934,6.580145884366674,3.2274703551710684,-0.0516016304416629,-0.025055098223544965,0.013273266109058969,2279.0,3308.0,4497.0,2288.0,3337.0,4648.0999999999985,8295,914,40,-0.038328364332603934,0.0038316565083413127,3.479924403318366,-0.05166223932111451,-0.02499448934409336,0.013333874988510576,0,64.34176709999974,raw/24-2023-07-16-primary-lambda0.75-N40.npz,195b2af5f9bdf62d449d500fc52d5b9b2e2a35acf2f5d79a02ede9274c27ddae
2023-07-16-primary-lambda1-N40,2023-07-16,primary,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,1.0,40,202607292004,36560,31,30,930,c79226c33537daecac07d7ad1b1b2da3a21f2c98145c9ee7394b9ad09e0c89ce,0.0030654273737926144,3085.551422319475,3146.7342450765864,-61.182822757111595,-0.019443276105326937,-0.03823926422319475,5.643200077354367,3.2274703551710684,-0.049622552321919935,-0.026855976124469563,0.011383288098725186,2158.0,3055.0,4052.0,2175.0,3090.0,4193.0,7015,914,40,-0.03823926422319475,0.0031112273365002077,3.479924403318366,-0.04906610015575302,-0.027412428290636476,0.010826835932558274,0,58.33930229999987,raw/25-2023-07-16-primary-lambda1-N40.npz,3952b435f73e088942f5d01a55ccff84dab32814bfab74cbfafbd0817ad82aae
2023-07-16-hub-lambda0-N40,2023-07-16,hub,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.0,40,202607292100,36560,31,31,930,9380e778804a286b7f6a99482762a7e71da10fc936015d91f1a5acffdb1b11f0,1.214306433183765e-17,4029.437828227571,4026.7346553610505,2.703172866520788,0.0006713064301174849,0.0016894830415754925,9.446796358171804,3.2274703551710684,-0.017366301456760453,0.020745267539911436,0.019055784498335945,2524.0,3873.5,5743.0999999999985,2522.0,3878.0,5725.0,11951,914,40,0.001689483041575493,0.005100802551941025,3.479924403318366,-0.016060924235432678,0.01943989031858366,0.01775040727700817,0,79.81120009999995,raw/26-2023-07-16-hub-lambda0-N40.npz,b27cb36e10371a9bf93a07c7a0a751b22551754d3820b432ecf93cf578437e5f
2023-07-16-hub-lambda0.25-N40,2023-07-16,hub,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.25,40,202607292101,36560,31,31,930,9380e778804a286b7f6a99482762a7e71da10fc936015d91f1a5acffdb1b11f0,0.0007948285739467664,3935.6955142231946,3968.039332603939,-32.34381838074398,-0.008151083109228924,-0.02021488648796499,8.9059496313077,3.2274703551710684,-0.03817969175027268,-0.0022500812256572994,0.01796480526230769,2519.0,3802.0,5533.0,2515.0,3831.0,5595.0,11823,914,40,-0.020214886487964993,0.005805460249272556,3.479924403318366,-0.04041744928190329,-1.2323694026702275e-05,0.02020256279393829,0,77.1253299,raw/27-2023-07-16-hub-lambda0.25-N40.npz,8c623f27c1c11ba09b9729386334c1a0336ab1ff28742c0398510b37088e47c8
2023-07-16-hub-lambda0.5-N40,2023-07-16,hub,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.5,40,202607292102,36560,31,31,930,9380e778804a286b7f6a99482762a7e71da10fc936015d91f1a5acffdb1b11f0,0.0015896571478935307,3665.1500547045953,3710.11829868709,-44.96824398249453,-0.012120434002982483,-0.02810515248905908,7.73709564933228,3.2274703551710684,-0.04371218176614844,-0.012498123211969716,0.015607029277089363,2424.0,3581.0,5029.0,2411.9,3605.5,5143.0,12123,914,40,-0.028105152489059083,0.005473360264464266,3.479924403318366,-0.047152032441521344,-0.009058272536596822,0.01904687995246226,0,71.56090160000076,raw/28-2023-07-16-hub-lambda0.5-N40.npz,4705cc1410df01a455f0698e5f6fa937e264f12af762eba6bc71728e91a2de0e
2023-07-16-hub-lambda0.75-N40,2023-07-16,hub,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,0.75,40,202607292103,36560,31,31,930,9380e778804a286b7f6a99482762a7e71da10fc936015d91f1a5acffdb1b11f0,0.002384485721840284,3366.0755196936543,3422.3941192560173,-56.31859956236324,-0.01645590706385568,-0.03519912472647702,6.571148378655684,3.2274703551710684,-0.04845424134619056,-0.02194400810676349,0.013255116619713531,2291.0,3312.0,4499.0,2289.9,3344.0,4648.0,9472,914,40,-0.03519912472647702,0.0032209790057678737,3.479924403318366,-0.04640788817122477,-0.023990361281729274,0.01120876344474775,0,65.4376157000006,raw/29-2023-07-16-hub-lambda0.75-N40.npz,dc5186a4e5ce278783c1a08467eb30c3a10b47a7f15c96d3bd9f8cad258e057a
2023-07-16-hub-lambda1-N40,2023-07-16,hub,20230716.gml.geo,ee1b054a6ba2cb0ea3184f9f68f5cca7d8e70d17ff2d9e44e5e8871be8a8b855,historical public topology; synthetic interpolated demand,1.0,40,202607292104,36560,31,31,930,9380e778804a286b7f6a99482762a7e71da10fc936015d91f1a5acffdb1b11f0,0.0031793142957870627,3082.437554704595,3147.1753555798687,-64.73780087527352,-0.02057012830902317,-0.04046112554704595,5.586762232400194,3.2274703551710684,-0.05173056897608405,-0.029191682118007847,0.011269443429038104,2153.0,3055.0,4046.0,2172.0,3094.0,4192.0,7386,914,40,-0.04046112554704595,0.004249583757823348,3.479924403318366,-0.05524935576984078,-0.02567289532425112,0.014788230222794832,0,59.70287199999984,raw/30-2023-07-16-hub-lambda1-N40.npz,79e8a17bb8629d924a5427cc8c1edd5e197cbe7a8540e7832439246cccbdb8e0
