cell_id,source,source_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2026-07-22-primary-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,10,202607260000,31,109,1850,1632,55200,372.6513043478261,369.23141304347826,3.4198913043478263,0.009262189465838115,0.03419891304347826,0.8194405962669898,2.9552971208758003,0.00998200869471242,0.0584158173922441,0.02421690434876584,210.0,355.0,558.0,208.0,353.0,550.0,1293,1380,40,0.03419891304347826,0.008511846196962483,3.150628855799589,0.007381244799200267,0.06101658128775625,0.026817668244277993,0,31.510678999999072,raw/01-2026-07-22-primary-uniform-N10.npz,6fffb921d0487e272f7f288589dc76f407464ade4a0ecc23d6972f4b00b2d718
2026-07-22-primary-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,20,202607260001,31,109,1850,1632,55200,1516.526195652174,1501.1104528985506,15.415742753623189,0.01026955926118318,0.03853935688405797,3.256483471130143,2.9552971208758003,0.014479666318031607,0.06259904745008434,0.024059690566026363,867.0,1448.0,2255.0,863.0,1435.0,2226.0,5228,1380,40,0.03853935688405797,0.010575873159396482,3.150628855799589,0.005218705732787043,0.0718600080353289,0.033320651151270926,0,127.34048930000063,raw/02-2026-07-22-primary-uniform-N20.npz,db57568ac9fb4cfd2dbea2df9654c5a671bf469a6a0b8df0468a1d7c01f72c86
2026-07-22-primary-uniform-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,40,202607260002,31,109,1850,1632,55200,6082.830289855073,6045.697246376812,37.133043478260866,0.006142061364471188,0.023208152173913043,12.926534497891232,2.9552971208758003,-0.0006679416914117491,0.04708424603923783,0.023876093865324792,3503.9000000000005,5804.0,9006.0,3493.0,5776.5,8929.099999999999,22043,1380,40,0.02320815217391304,0.007300443959935328,3.150628855799589,0.00020716277359297472,0.0462091415742331,0.023000989400320065,0,510.151550999999,raw/03-2026-07-22-primary-uniform-N40.npz,10c526f20b42b311b9d3a3f271d0e2a8ca15ef2f662514cdf94760e099808941
2026-07-22-primary-uniform-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,80,202607260003,31,109,1850,1632,55200,24372.67320652174,24140.18668478261,232.48652173913044,0.009630684500285341,0.03632601902173913,51.768868491584925,2.9552971208758003,0.012420958396086184,0.06023107964739208,0.02390506062565295,13987.800000000001,23258.0,36212.1,13988.0,23053.5,35667.1,83848,1380,40,0.03632601902173913,0.006542068054463015,3.150628855799589,0.01571439063274328,0.05693764741073498,0.020611628388995853,0,2043.0885175000003,raw/04-2026-07-22-primary-uniform-N80.npz,862878a0a0f03f1f7634e0e837b8471e39a19d2e229a3dd56f751a06db22f58c
2026-07-22-primary-hotspot-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,10,202607260010,31,109,1850,1632,55200,371.6161775362319,369.63753623188404,1.9786413043478261,0.005352923094657164,0.019786413043478262,0.7798084040424748,2.9552971208758003,-0.003259242269536524,0.042832068356493044,0.023045655313014786,213.0,356.0,549.0,214.0,354.0,544.0,1269,1380,40,0.019786413043478262,0.006622063933658529,3.150628855799589,-0.0010772526708560347,0.040650078757812555,0.020863665714334297,0,31.448967500000435,raw/05-2026-07-22-primary-hotspot-N10.npz,8f5b9bab3eac414c57a169638795a0c47dc16fa5475bb9eda4dae5ee32edb82b
2026-07-22-primary-hotspot-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,20,202607260011,31,109,1850,1632,55200,1319.7777173913043,1319.9692391304347,-0.19152173913043477,-0.00014509560787689634,-0.00047880434782608693,2.5450963964140563,2.9552971208758003,-0.019282594479510674,0.0183249857838585,0.018803790131684588,798.0,1275.0,1893.0,800.0,1273.0,1901.0,3866,1380,40,-0.00047880434782608813,0.006765879072220792,3.150628855799589,-0.021795578187615464,0.02083796949196329,0.021316773839789378,0,110.98854249999931,raw/06-2026-07-22-primary-hotspot-N20.npz,5b49721ab002144441520fe9f045c7040b969ce33df01cded7030d9c81d9935a
2026-07-22-primary-hotspot-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,40,202607260012,31,109,1850,1632,55200,3920.4814130434784,3932.9955072463767,-12.514094202898551,-0.0031818226539648635,-0.007821308876811595,6.4685009465007575,2.9552971208758003,-0.019769022766546643,0.004126405012923454,0.011947713889735048,2566.0,3827.0,5380.0999999999985,2546.9000000000005,3835.0,5432.0,10336,1380,40,-0.007821308876811593,0.004127111250036656,3.150628855799589,-0.02082430467227219,0.005181686918649007,0.0130029957954606,0,323.059623000001,raw/07-2026-07-22-primary-hotspot-N40.npz,c4748e59761ffa3f4b0c743619876d46bc194190a1e235a7c06b9a1709cecd67
2026-07-22-primary-hotspot-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,80,202607260013,31,109,1850,1632,55200,9924.204420289854,9977.78981884058,-53.58539855072464,-0.005370467761261308,-0.008372718523550725,13.18026422418348,2.9552971208758003,-0.014458905541380686,-0.0022865315057207635,0.006086187017829961,7095.0,9780.0,12939.0,7092.0,9809.0,13073.099999999999,23056,1380,40,-0.008372718523550727,0.002309213262258508,3.150628855799589,-0.015648192461817485,-0.001097244585283967,0.00727547393826676,0,804.3306527000022,raw/08-2026-07-22-primary-hotspot-N80.npz,97106c7027b2ec278ec50ce48465fd8fc7b02a422434aa6dcd758e597dc36ff1
2026-07-22-hub-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,10,202607260100,31,34,934,866,55200,248.2208876811594,248.64692028985507,-0.4260326086956522,-0.0017134039231172192,-0.004260326086956522,0.49253120872679357,2.9552971208758003,-0.01881608671787423,0.010295434543961188,0.01455576063091771,151.0,239.0,356.0,151.0,240.0,356.0,940,1380,40,-0.004260326086956521,0.005425104502952818,3.150628855799589,-0.021352816879687958,0.012832164705774918,0.017092490792731438,0,8.201384299998608,raw/09-2026-07-22-hub-uniform-N10.npz,9126ffb9406623da5a10ae192403b3f92eb53cefce82a8df54669d4838950843
2026-07-22-hub-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,20,202607260101,31,34,934,866,55200,1012.6033514492754,1010.1678079710144,2.4355434782608696,0.0024110286024188513,0.006088858695652174,1.9427751736901675,2.9552971208758003,-0.008264835997636662,0.02044255338894101,0.014353694693288836,631.0,975.0,1441.0,629.0,974.0,1438.0,3248,1380,40,0.0060888586956521756,0.0055901151858904425,3.150628855799589,-0.011523519516257736,0.02370123690756209,0.01761237821190991,0,32.617120999999315,raw/10-2026-07-22-hub-uniform-N20.npz,862dc10a3c69a7745974271d3f57b480d06467795f4e70700f83f8e29991165a
