cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass,edge_count,route_count,mean_route_length,second_moment_route_length,multi_channel_probability,maximum_absolute_drift,drift_l1,drift_l2,cross_covariance_frobenius,cross_covariance_spectral,positive_cross_covariance_mass,negative_cross_covariance_mass,maximum_absolute_cross_covariance
2020-10-14-hub-hotspot-N10,2020-10-14,hub,hotspot,10,202607230110,202607240110,20000,20000,40000,500,80,-0.0101242499999999,0.0058538070452705,3.405199776924186,-0.0300576324447126,0.0098091324447126,0.0199333824447126,0.03,True,33,936,1.8453264828303866,3.5359794484911573,0.8453264828303851,0.005212163255867717,0.09417172505491925,0.0180321915130681,0.05766218229487387,0.05636840113181562,0.00010737892267345065,1.697254103133218,0.0022038699677240756
2020-10-14-hub-hotspot-N20,2020-10-14,hub,hotspot,20,202607230111,202607240111,20000,20000,40000,500,80,-0.0190173125,0.0051681660166659,3.405199776924186,-0.036615950267058,-0.0014186747329419,0.017598637767058,0.03,True,33,936,1.8453264828303866,3.5359794484911573,0.8453264828303851,0.005212163255867717,0.09417172505491925,0.0180321915130681,0.05766218229487387,0.05636840113181562,0.00010737892267345065,1.697254103133218,0.0022038699677240756
2020-10-14-hub-hotspot-N40,2020-10-14,hub,hotspot,40,202607230112,202607240112,20000,20000,40000,500,80,-0.0279291875,0.0032884993930453,3.405199776924186,-0.0391271848996133,-0.0167311901003866,0.0111979973996133,0.03,True,33,936,1.8453264828303866,3.5359794484911573,0.8453264828303851,0.005212163255867717,0.09417172505491925,0.0180321915130681,0.05766218229487387,0.05636840113181562,0.00010737892267345065,1.697254103133218,0.0022038699677240756
2020-10-14-hub-hotspot-N80,2020-10-14,hub,hotspot,80,202607230113,202607240113,20000,20000,40000,500,80,-0.0108646875,0.0019762856687252,3.405199776924186,-0.0175943350182817,-0.0041350399817182,0.0067296475182817,0.03,True,33,936,1.8453264828303866,3.5359794484911573,0.8453264828303851,0.005212163255867717,0.09417172505491925,0.0180321915130681,0.05766218229487387,0.05636840113181562,0.00010737892267345065,1.697254103133218,0.0022038699677240756
2020-10-14-hub-uniform-N10,2020-10-14,hub,uniform,10,202607230100,202607240100,20000,20000,40000,500,80,0.0005297499999999,0.0056280130719863,3.405199776924186,-0.0186347588572543,0.0196942588572543,0.0191645088572543,0.03,True,33,936,1.9290322580645158,3.787096774193549,0.9290322580645164,1.214306433183765e-17,2.229119666630197e-16,4.2856579579719236e-17,0.06310279892955359,0.061761818597844305,5.702558194709081e-34,1.8580645161290326,0.002150537634408603
2020-10-14-hub-uniform-N20,2020-10-14,hub,uniform,20,202607230101,202607240101,20000,20000,40000,500,80,0.0046538125,0.0062591810593378,3.405199776924186,-0.0166599494469854,0.0259675744469854,0.0213137619469854,0.03,True,33,936,1.9290322580645158,3.787096774193549,0.9290322580645164,1.214306433183765e-17,2.229119666630197e-16,4.2856579579719236e-17,0.06310279892955359,0.061761818597844305,5.702558194709081e-34,1.8580645161290326,0.002150537634408603
2020-10-14-hub-uniform-N40,2020-10-14,hub,uniform,40,202607230102,202607240102,20000,20000,40000,500,80,0.010980765625,0.0061217752381642,3.405199776924186,-0.0098651020503769,0.0318266333003769,0.0208458676753769,0.03,True,33,936,1.9290322580645158,3.787096774193549,0.9290322580645164,1.214306433183765e-17,2.229119666630197e-16,4.2856579579719236e-17,0.06310279892955359,0.061761818597844305,5.702558194709081e-34,1.8580645161290326,0.002150537634408603
2020-10-14-hub-uniform-N80,2020-10-14,hub,uniform,80,202607230103,202607240103,20000,20000,40000,500,80,0.0112438281249999,0.0060737602700344,3.405199776924186,-0.0094385389916124,0.0319261952416124,0.0206823671166124,0.03,True,33,936,1.9290322580645158,3.787096774193549,0.9290322580645164,1.214306433183765e-17,2.229119666630197e-16,4.2856579579719236e-17,0.06310279892955359,0.061761818597844305,5.702558194709081e-34,1.8580645161290326,0.002150537634408603
2020-10-14-primary-hotspot-N10,2020-10-14,primary,hotspot,10,202607230010,202607240010,20000,20000,40000,500,80,-0.0126795,0.0060203509189007,3.405199776924186,-0.033179997606046,0.007820997606046,0.020500497606046,0.03,True,42,978,1.8413752446438683,3.524125733931604,0.8413752446438677,0.008507191148805993,0.12035558412791603,0.02251509871794589,0.05733561327501475,0.055054188059610244,0.8343837060165284,0.8526295684634875,0.0023138375569454746
2020-10-14-primary-hotspot-N20,2020-10-14,primary,hotspot,20,202607230011,202607240011,20000,20000,40000,500,80,-0.0115225625,0.0050502595253793,3.405199776924186,-0.0287197051092309,0.0056745801092309,0.0171971426092309,0.03,True,42,978,1.8413752446438683,3.524125733931604,0.8413752446438677,0.008507191148805993,0.12035558412791603,0.02251509871794589,0.05733561327501475,0.055054188059610244,0.8343837060165284,0.8526295684634875,0.0023138375569454746
