cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-hub-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,40,202607240102,31,33,936,870,20000,4070.5212,4044.31565,26.20555,0.006479600572225365,0.01637846875,12.823990474947529,3.2795060748047757,-0.009906752916143124,0.042663690416143124,0.026285221666143124,2542.0,3925.0,5789.100000000002,2548.0,3899.0,5716.200000000004,11357,500,40,0.016378468750000003,0.008145189968095353,3.5438667634871557,-0.012486999260222124,0.045243936760222134,0.028865468010222127,0,45.22320359999867,raw/11-2020-10-14-hub-uniform-N40.npz,c1ae98d66f51d81059e1fc39f05142104ba1933a4e4a3ebd6fd16fd2611014d2
2020-10-14-hub-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,80,202607240103,31,33,936,870,20000,16304.1115,16250.2597,53.8518,0.0033139039617932995,0.008414343749999999,50.84837969289392,3.2795060748047757,-0.01764152657762897,0.03447021407762897,0.02605587032762897,10209.8,15723.5,23138.0,10217.8,15642.0,23012.100000000002,50092,500,40,0.00841434375,0.008318555637532971,3.5438667634871557,-0.021065509094071802,0.037894196594071804,0.029479852844071803,0,181.34132839999802,raw/12-2020-10-14-hub-uniform-N80.npz,94ca26a78dd76b0f39b0db9b815347b94f4d8df324de8274c72b1ccdfe034a85
2020-10-14-hub-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,10,202607240110,31,33,936,870,20000,248.68255,248.88715,-0.2046,-0.0008220593148340524,-0.002046,0.7862560854286558,3.2795060748047757,-0.027831316085154992,0.023739316085154994,0.025785316085154993,154.0,241.0,351.0,153.0,241.0,354.0,782,500,40,-0.0020459999999999966,0.008492216985766046,3.5438667634871557,-0.03214128552417736,0.02804928552417737,0.030095285524177364,0,2.866932500000985,raw/13-2020-10-14-hub-hotspot-N10.npz,9c541390af294990a7fdfd6ee2ca0b423711769cefb508a7ca9688cd79d8fb1c
2020-10-14-hub-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,20,202607240111,31,33,936,870,20000,922.84175,931.79385,-8.9521,-0.009607382577165539,-0.02238025,2.639485323773978,3.2795060748047757,-0.04402077038418703,-0.000739729615812975,0.021640520384187026,609.0,901.0,1262.0,604.0,906.0,1293.0,2494,500,40,-0.02238025,0.0058559924380325885,3.5438667634871557,-0.04313310696837581,-0.0016273930316241941,0.020752856968375807,0,10.295128699999623,raw/14-2020-10-14-hub-hotspot-N20.npz,1b4766b4c1e5156c030815d23e17f912a4010ed9d84249e5b7b473c5ab470335
2020-10-14-hub-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,40,202607240112,31,33,936,870,20000,3018.7946,3062.0907,-43.2961,-0.014139391756096579,-0.027060062500000003,7.29615430652496,3.2795060748047757,-0.042014926481851025,-0.012105198518148983,0.01495486398185102,2129.0,2988.0,3945.100000000002,2111.0,3012.0,4063.100000000002,6493,500,40,-0.0270600625,0.004755447673776343,3.5438667634871557,-0.043912735456598295,-0.010207389543401706,0.016852672956598293,0,33.172357999999804,raw/15-2020-10-14-hub-hotspot-N40.npz,8014378c9f60c2f2fd70a4f11be5c0be254ab502d74e2ed3771545f7b1238512
2020-10-14-hub-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,80,202607240113,31,33,936,870,20000,8727.3124,8803.9913,-76.6789,-0.008709561082823877,-0.011981078124999999,17.12947060136108,3.2795060748047757,-0.02075860982739898,-0.0032035464226010165,0.008777531702398983,6560.9,8707.0,10917.100000000002,6591.0,8723.5,11093.200000000004,16693,500,40,-0.011981078125,0.0027764891171499287,3.5438667634871557,-0.02182058562645143,-0.0021415706235485728,0.009839507501451428,0,94.51675359999717,raw/16-2020-10-14-hub-hotspot-N80.npz,c027fb18daa04af64fbd962dab7964fa66ba72c0c9600b7d074a4ab58773db45
2022-05-31-primary-uniform-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,10,202607241000,31,30,930,870,20000,234.81955,235.2969,-0.47735,-0.0020287135104627386,-0.0047735,0.7983443724582311,3.2795060748047757,-0.03095525219262975,0.02140825219262975,0.02618175219262975,139.0,227.0,340.0,140.0,227.0,340.0,811,500,40,-0.0047735000000000034,0.00808188567700347,3.5438667634871557,-0.03341462603703549,0.023867626037035482,0.028641126037035485,0,2.506856300002255,raw/17-2022-05-31-primary-uniform-N10.npz,9aeb36345c705be9f47899925087b98b58978b4b62df1a17546c25e807ee8356
2022-05-31-primary-uniform-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,20,202607241001,31,30,930,870,20000,959.5869,952.71365,6.87325,0.007214392278309437,0.017183125,3.1583220844526503,3.2795060748047757,-0.008711216155381372,0.04307746615538137,0.025894341155381372,582.9000000000001,925.0,1384.0,579.0,915.0,1374.0,3016,500,40,0.017183125,0.006576677395684469,3.5438667634871557,-0.006123743436743455,0.040489993436743456,0.023306868436743455,0,10.14298289999715,raw/18-2022-05-31-primary-uniform-N20.npz,3e1c037be5d11ab476398f5044a8a3e4f47cadc2511dda1b9cc1f0537e568ce4
2022-05-31-primary-uniform-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,40,202607241002,31,30,930,870,20000,3849.4779,3833.45855,16.01935,0.004178824367358817,0.01001209375,12.657745659083114,3.2795060748047757,-0.015932377363935532,0.03595656486393553,0.02594447111393553,2346.0,3716.0,5525.0,2338.0,3701.0,5502.100000000002,12511,500,40,0.010012093750000003,0.008087478671179656,3.5438667634871557,-0.018648853113204845,0.038673040613204854,0.028660946863204848,0,40.29037090000202,raw/19-2022-05-31-primary-uniform-N40.npz,7d6a52ef9935b5942e0741810e773dda3e3914828eb18c07133897b0401d2de9
2022-05-31-primary-uniform-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,80,202607241003,31,30,930,870,20000,15483.30395,15314.97605,168.3279,0.010991065180281494,0.026301234375,50.4209338893856,3.2795060748047757,0.00046439703319218,0.052138071716807816,0.02583683734180782,9426.8,14888.5,22257.100000000002,9417.0,14770.0,21904.100000000002,50529,500,40,0.026301234375,0.0069881331385240174,3.5438667634871557,0.0015362216065615518,0.05106624714343845,0.024765012768438448,0,161.18351569999868,raw/20-2022-05-31-primary-uniform-N80.npz,22b4965bee1ab4f34b46b62cb4666aae25473ec198ca131b66615ec9fb014d55
