cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,censored_count,runtime_seconds
2020-10-14-hub-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,80,202607220103,31,33,936,870,2000,16117.8635,16115.95,1.9135,0.00011873330458334755,0.000298984375,161.6965832199969,3.2838500376251365,-0.08266778607669419,0.0832657548266942,0.08296677045169419,9971.0,15485.5,22902.3,10201.2,15515.0,22578.500000000004,48344,0,20.32839469999999
2020-10-14-hub-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,10,202607220110,31,33,936,870,2000,243.291,245.822,-2.531,-0.010296067886519515,-0.025310000000000003,2.4605125645971144,3.2838500376251365,-0.10610954277829354,0.055489542778293544,0.08079954277829354,151.0,235.0,349.0,153.9,239.0,348.0,591,0,0.33290020000004006
2020-10-14-hub-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,20,202607220111,31,33,936,870,2000,919.7725,923.6765,-3.904,-0.004226587988327082,-0.00976,7.977562920282956,3.2838500376251365,-0.0752528007398202,0.0557328007398202,0.0654928007398202,606.0,896.0,1258.2000000000003,604.9,908.0,1262.0,2153,0,1.1543564999997216
2020-10-14-hub-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,40,202607220112,31,33,936,870,2000,3032.1705,3053.372,-21.2015,-0.006943634774930798,-0.013250937499999999,23.700177354868067,3.2838500376251365,-0.06189333018656619,0.035391455186566195,0.04864239268656619,2126.6,2999.5,3999.2000000000003,2148.9,2996.0,4060.800000000001,6074,0,3.92364839999982
2020-10-14-hub-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,hotspot,80,202607220113,31,33,936,870,2000,8799.473,8830.503,-31.03,-0.0035139561132587803,-0.0048484375,54.351830215494005,3.2838500376251365,-0.032736446827835164,0.02303957182783516,0.02788800932783516,6617.9,8813.0,11003.1,6620.9,8801.0,11133.6,15389,0,10.830644099999972
2022-05-31-primary-uniform-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,10,202607221000,31,30,930,870,2000,237.141,232.6075,4.5335,0.019489913265909313,0.045335,2.498554847714678,3.2838500376251365,-0.03671379430676312,0.1273837943067631,0.08204879430676312,135.0,230.0,348.0,139.0,224.0,335.0,621,0,0.30587530000002516
2022-05-31-primary-uniform-N20,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,20,202607221001,31,30,930,870,2000,960.1325,955.9055,4.227,0.0044219852276192574,0.0105675,10.008771952317463,3.2838500376251365,-0.07160076538049778,0.09273576538049777,0.08216826538049778,576.9,916.5,1392.0,572.9,922.5,1377.2000000000003,2421,0,1.1248964000001251
2022-05-31-primary-uniform-N40,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,40,202607221002,31,30,930,870,2000,3859.0655,3840.4745,18.591,0.004840808082438772,0.011619375000000001,40.28024428177167,3.2838500376251365,-0.0710520510626535,0.0942908010626535,0.0826714260626535,2346.5,3706.5,5510.800000000001,2340.1,3733.0,5494.500000000001,10376,0,4.486011200000121
2022-05-31-primary-uniform-N80,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,uniform,80,202607221003,31,30,930,870,2000,15717.794,15226.5735,491.2205,0.03226073811025179,0.076753203125,157.7954433369634,3.2838500376251365,-0.004211886334244103,0.1577182925842441,0.0809650894592441,9768.7,15181.0,22307.7,9311.9,14552.5,22112.500000000004,47065,0,18.147368899999947
2022-05-31-primary-hotspot-N10,20220531.gml.geo,1aee99d82a6f60791f17e4176d76d3cfa20cd5931397f46d627a89b6e646e7a4,2022-05-31,primary,hotspot,10,202607221010,31,30,930,870,2000,238.5765,237.2435,1.333,0.005618699774704049,0.01333,2.4773961736873455,3.2838500376251365,-0.0680239751817556,0.09468397518175559,0.08135397518175559,146.0,231.0,343.0,144.0,231.0,337.0,595,0,0.3252513000002182
