snapshot,mode,local_node_index,node_id,subgraph_degree
20201014.gml.geo,hub,15,02043b4834a867fd8787c9878bace14310318f8622ed1b195e8d2aca2e49499dd5,1
20201014.gml.geo,hub,16,0204594e04a25b0dcf3f09a904431f533ab21e6a046703c6225557eface7a5bb24,1
20201014.gml.geo,hub,17,02047d60de9a1073adf351b79ba6f20f5891ee9c587941e01be934fcfc505823e5,1
20201014.gml.geo,hub,18,020627cf52809eb66d6393bab80e1d723c147055f721cb0f84d52b0a9f8bba031e,1
20201014.gml.geo,hub,19,0206507b73025bae5bc781cbd11668fd6e4a977fabcaf1a1ecc6fc0546c75fa44f,1
20201014.gml.geo,hub,20,0206722d0f786ae2bf4779675b5b7d91ae334fc59992f98528f30a83b91e3c8b8f,1
20201014.gml.geo,hub,21,020675f1b6a63a748f8f674400e94472307d0204352238b17375777e6b89aef047,1
20201014.gml.geo,hub,22,0206ba1bccc9241fda43879095f54f276b41373ca236735c5357d55e385a8062e5,2
20201014.gml.geo,hub,23,0206eb072408ee1d7808a6c056bc324edbb56fdcc350d9f23ef094372792676561,1
20201014.gml.geo,hub,24,020815a33a54159aca81b4b88decce0b550f2cbe1aa55af7a050718a5a03941fa5,1
20201014.gml.geo,hub,25,02083e55c359ad6d423c0f63821f3230c64aa9089b81c6cf7702d3ba6272ff6c96,1
20201014.gml.geo,hub,26,0208d142e09411fca84c73174f88e88bc02c2710726427a8c8a7bb32ccb1c9d9c0,1
20201014.gml.geo,hub,27,0209ad56880f6f4544074bffdf14a775cd2de30cd61e2e785b67ff03826835df12,1
20201014.gml.geo,hub,28,0209bec6f15a4545a3ec1b29960b20c0d97ef86e27f9ab4e59a41139525a08b85b,1
20201014.gml.geo,hub,29,0209faa30755c89418d396f31e4395df51cc79b72890e1fc02de1fdde1448cebc4,2
20201014.gml.geo,hub,30,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,30
20220531.gml.geo,primary,0,0202a10e9dc29df67d6bff9f3e99e3bf7ccbd7cf3d73f3e3fcab761ac52f19a801,1
20220531.gml.geo,primary,1,020449065769190db5d94f9c9354da8be05642dbed834d7aaf3e02c32ce61f7127,1
20220531.gml.geo,primary,2,0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,1
20220531.gml.geo,primary,3,0205fe16bb484fdda40347afac284cd8c8a668277eb6cbf6c1483b4fc3028b0b51,1
20220531.gml.geo,primary,4,02085de2c96e7aa2d4d9390947262de00c572fb8edb8e24ff489236dab8ee21fa9,1
20220531.gml.geo,primary,5,0208a97d43dc2062d9c8ff4589d6f77202ba0e9f1c0c418d428442bf028345c80f,1
