k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
4,14,0.525,58.57514710027242,False,6000,58.6455,21.0790468819847,0.2721293250928404,-0.001199629975489698,0.001199629975489698,57.50753985269662,59.78346014730338,0.020211494016133202
4,14,0.725,97.41769522660192,False,6000,97.42466666666667,46.31574083970241,0.5979336431314205,-7.155723805140649e-05,7.155723805140649e-05,94.92429425592651,99.92503907740682,0.026267258452856268
4,14,0.94,196.50962129169505,False,6000,194.69933333333333,118.92169269896873,1.53527245108634,0.00929786418560786,0.00929786418560786,188.2793017399246,201.11936492674207,0.04371335285245115
4,14,1.0,209.20586260090778,False,6000,208.23416666666665,131.71684739351596,1.7004571879001038,0.0046663616725135205,0.0046663616725135205,201.12338391157135,215.34494942176195,0.04018666816430505
4,14,1.06,189.405560117167,True,66000,196.3944696969697,121.60858657070126,0.47336078123133046,-0.03558608137279206,0.03558608137279206,194.41502222597822,198.3739171679612,0.045209356042512305
4,14,1.275,117.31843275334285,False,6000,118.63566666666667,51.76111278448655,0.6682330926516007,-0.011103186337923825,0.011103186337923825,115.84132383614893,121.4300094971844,0.033859642775840304
4,14,1.675,67.45263442747489,False,6000,68.00483333333334,20.16178463245462,0.2602875203710579,-0.008119994988470623,0.008119994988470623,66.91639192805066,69.09327473861602,0.023745296736155108
4,14,1.875,56.47547310079028,False,6000,56.815333333333335,14.606304195195854,0.18856657632544357,-0.005981839982335515,0.005981839982335515,56.02680659554575,57.60386007112092,0.01958873882648604
4,28,0.325,81.31779568156493,False,6000,83.01833333333333,16.656077010282193,0.21502902957990386,-0.020483880890988737,0.020483880890988737,82.11914885150004,83.91751781516662,0.030979492736280978
4,28,0.525,116.68068176901289,False,6000,117.50666666666666,30.4996119091701,0.39374829663335065,-0.0070292598801807125,0.0070292598801807125,115.86013382980876,119.15319950352456,0.020750745635147894
