cell_id,mode,hotspot_weight,scale,seed,repetitions,maximum_absolute_drift,increment_sha256,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds
2026-07-22-primary-lambda0-N40,primary,0.0,40,202607280000,2000,1.984089975648473e-17,d1e05e94de9b469004f918a108097a4b9487c9e948988dece45dfc0ff27cf025,6084.769,6047.52,37.249,0.006159384342672699,0.023280625000000003,67.76422711680455,2.8101541558963232,-0.09573682778336914,0.14229807778336914,0.11901745278336914,3405.4,5805.5,9017.000000000002,3500.3,5761.0,8925.2,16816,50,40,0.023280625,0.043090913572608726,2.9756087577928896,-0.10494107480795101,0.151502324807951,0.128221699807951,0,21.287600499999826
2026-07-22-primary-lambda0.25-N40,primary,0.25,40,202607280001,2000,0.0013831674905959413,d1e05e94de9b469004f918a108097a4b9487c9e948988dece45dfc0ff27cf025,5785.1255,5829.149,-44.0235,-0.007552303089181628,-0.0275146875,63.386740844843416,2.8101541558963232,-0.13884375825866246,0.08381438325866246,0.11132907075866245,3353.9,5575.0,8552.900000000001,3427.6,5580.5,8621.5,15278,50,40,-0.027514687500000003,0.038725273109706713,2.9756087577928896,-0.14274594931316478,0.08771657431316479,0.11523126181316479,0,20.41389369999979
2026-07-22-primary-lambda0.5-N40,primary,0.5,40,202607280002,2000,0.002766334981191896,d1e05e94de9b469004f918a108097a4b9487c9e948988dece45dfc0ff27cf025,5130.382,5188.039,-57.657,-0.01111344768225528,-0.036035624999999995,50.97607104402067,2.8101541558963232,-0.12556726118476305,0.05349601118476307,0.08953163618476306,3117.0,4957.5,7321.0,3196.0,5060.0,7469.800000000001,12865,50,40,-0.036035625,0.03299338494046537,2.9756087577928896,-0.13421103017808078,0.06213978017808079,0.0981754051780808,0,18.10775939999985
2026-07-22-primary-lambda0.75-N40,primary,0.75,40,202607280003,2000,0.004149502471787841,d1e05e94de9b469004f918a108097a4b9487c9e948988dece45dfc0ff27cf025,4517.956,4489.919,28.037,0.00624443336282904,0.017523125,43.1473305533777,2.8101541558963232,-0.05825853141900422,0.09330478141900422,0.07578165641900422,2804.3,4361.0,6446.9000000000015,2774.0,4372.0,6380.700000000001,12076,50,40,0.017523124999999997,0.024561506327155393,2.9756087577928896,-0.05556230833166906,0.09060855833166906,0.07308543333166906,0,15.726932300000044
2026-07-22-primary-lambda1-N40,primary,1.0,40,202607280004,2000,0.0055326699623837825,d1e05e94de9b469004f918a108097a4b9487c9e948988dece45dfc0ff27cf025,3957.625,3911.077,46.548,0.011901581073448566,0.0290925,33.818837002713565,2.8101541558963232,-0.03030509084422242,0.08849009084422242,0.05939759084422242,2587.7,3867.5,5448.0,2509.8,3851.0,5418.400000000001,8807,50,40,0.02909250000000001,0.023922624063160536,2.9756087577928896,-0.0420918696717274,0.10027686967172741,0.07118436967172741,0,13.60845690000042
2026-07-22-hub-lambda0-N40,hub,0.0,40,202607280100,2000,1.214306433183765e-17,4e59c458d4901d29f27169896140e862af5afd89f8df6fb57a4671fe112eb818,4095.544,4038.247,57.297,0.01418858232297331,0.035810625,39.623702783897585,2.8101541558963232,-0.03378232065635657,0.10540357065635657,0.06959294565635657,2569.7,3939.0,5778.1,2563.2,3897.0,5740.1,9616,50,40,0.035810625,0.023617175594954885,2.9756087577928896,-0.03446484953468025,0.10608609953468025,0.07027547453468025,0,4.818268299999545
2026-07-22-hub-lambda0.25-N40,hub,0.25,40,202607280101,2000,0.0008693957049378598,4e59c458d4901d29f27169896140e862af5afd89f8df6fb57a4671fe112eb818,3969.0145,3949.245,19.7695,0.0050058935315484355,0.0123559375,37.62108291403488,2.8101541558963232,-0.05371971406262205,0.07843158906262204,0.06607565156262205,2544.7,3826.0,5616.1,2483.5,3822.5,5563.1,9889,50,40,0.012355937500000002,0.023369922101109344,2.9756087577928896,-0.05718380737299857,0.08189568237299857,0.06953974487299858,0,4.665632500000356
2026-07-22-hub-lambda0.5-N40,hub,0.5,40,202607280102,2000,0.001738791409875734,4e59c458d4901d29f27169896140e862af5afd89f8df6fb57a4671fe112eb818,3670.432,3700.327,-29.895,-0.008079015719421554,-0.018684375,33.10519886034959,2.8101541558963232,-0.07682857009949101,0.03945982009949102,0.058144195099491015,2427.0,3566.5,5052.3,2429.8,3598.0,5099.0,9040,50,40,-0.018684374999999993,0.020644563214912908,2.9756087577928896,-0.08011451810310377,0.04274576810310379,0.06143014310310378,0,4.3459154000001945
2026-07-22-hub-lambda0.75-N40,hub,0.75,40,202607280103,2000,0.0026081871148135915,4e59c458d4901d29f27169896140e862af5afd89f8df6fb57a4671fe112eb818,3340.7085,3393.2885,-52.58,-0.015495293135258024,-0.032862499999999996,28.11211364815679,2.8101541558963232,-0.08223710812462347,0.016512108124623476,0.04937460812462347,2286.7,3288.0,4498.9000000000015,2299.3,3308.5,4600.3,7455,50,40,-0.032862499999999996,0.013891106534225135,2.9756087577928896,-0.07419699825867435,0.008471998258674347,0.04133449825867434,0,3.939968900000167
2026-07-22-hub-lambda1-N40,hub,1.0,40,202607280104,2000,0.0034775828197514485,4e59c458d4901d29f27169896140e862af5afd89f8df6fb57a4671fe112eb818,3048.104,3091.843,-43.739,-0.014146578594061859,-0.027336874999999997,23.951740153226524,2.8101541558963232,-0.06940442633283647,0.014730676332836479,0.042067551332836475,2142.0,3011.0,4000.2000000000003,2146.8,3033.0,4142.3,6860,50,40,-0.027336875000000004,0.014768079152312203,2.9756087577928896,-0.07128090066139878,0.016607150661398777,0.04394402566139878,0,3.5884953000004316
