anchor_id,block_index,slope
2020-10-14-primary,0,-0.48850000000000005
2020-10-14-primary,1,-0.7472500000000001
2020-10-14-primary,2,0.62675
2020-10-14-primary,3,-0.21537500000000004
2020-10-14-primary,4,-0.7862500000000001
2020-10-14-primary,5,1.2137500000000003
2020-10-14-primary,6,-0.15687499999999996
2020-10-14-primary,7,0.26175000000000004
2020-10-14-primary,8,0.31125
2020-10-14-primary,9,1.6016249999999999
2020-10-14-primary,10,-0.30224999999999996
2020-10-14-primary,11,1.0281250000000002
2020-10-14-primary,12,-1.5582500000000001
2020-10-14-primary,13,0.33574999999999994
2020-10-14-primary,14,0.03912499999999997
2020-10-14-primary,15,-0.659125
2020-10-14-primary,16,0.4873750000000001
2020-10-14-primary,17,0.929625
2020-10-14-primary,18,-0.11099999999999996
2020-10-14-primary,19,-0.6876249999999999
2020-10-14-primary,20,0.9862500000000001
2020-10-14-primary,21,1.432
2020-10-14-primary,22,-0.998125
2020-10-14-primary,23,-1.014125
2020-10-14-primary,24,-0.3181250000000001
2020-10-14-primary,25,0.7610000000000001
2020-10-14-primary,26,-0.641
2020-10-14-primary,27,-0.7847500000000001
2020-10-14-primary,28,-0.6007499999999999
2020-10-14-primary,29,-1.1815
2020-10-14-primary,30,-1.785
2020-10-14-primary,31,1.2491250000000003
2020-10-14-primary,32,0.10687500000000003
2020-10-14-primary,33,-0.781625
2020-10-14-primary,34,1.1271250000000002
2020-10-14-primary,35,0.286
2020-10-14-primary,36,0.782375
2020-10-14-primary,37,-0.04949999999999999
2020-10-14-primary,38,0.2074999999999999
2020-10-14-primary,39,0.130625
2020-10-14-hub,0,0.43200000000000005
2020-10-14-hub,1,-0.28600000000000003
2020-10-14-hub,2,-1.8741250000000003
2020-10-14-hub,3,-0.92325
2020-10-14-hub,4,-1.7632500000000002
2020-10-14-hub,5,-2.3185000000000002
2020-10-14-hub,6,0.73075
2020-10-14-hub,7,0.705125
2020-10-14-hub,8,-1.5728750000000002
2020-10-14-hub,9,-0.059874999999999956
2020-10-14-hub,10,1.5728749999999998
2020-10-14-hub,11,-0.3937500000000001
2020-10-14-hub,12,-0.8435000000000001
2020-10-14-hub,13,0.3331250000000001
2020-10-14-hub,14,1.0093750000000001
2020-10-14-hub,15,-0.5442500000000001
2020-10-14-hub,16,-0.7721250000000001
2020-10-14-hub,17,1.0871250000000001
2020-10-14-hub,18,-0.8975000000000001
2020-10-14-hub,19,-0.28162500000000007
2020-10-14-hub,20,0.40475000000000005
2020-10-14-hub,21,0.23499999999999996
2020-10-14-hub,22,-0.2642500000000001
2020-10-14-hub,23,0.733125
2020-10-14-hub,24,-0.41000000000000003
2020-10-14-hub,25,1.49
2020-10-14-hub,26,-1.4275
2020-10-14-hub,27,0.015875000000000025
2020-10-14-hub,28,0.14925
2020-10-14-hub,29,-0.10850000000000011
2020-10-14-hub,30,0.051125000000000004
2020-10-14-hub,31,0.437875
2020-10-14-hub,32,1.491625
2020-10-14-hub,33,0.28075000000000006
2020-10-14-hub,34,-0.06362500000000004
2020-10-14-hub,35,1.651125
2020-10-14-hub,36,0.4292500000000001
2020-10-14-hub,37,0.15687500000000001
2020-10-14-hub,38,0.6483749999999999
2020-10-14-hub,39,0.15424999999999997
2022-05-31-primary,0,0.5623750000000001
2022-05-31-primary,1,-0.4127500000000002
2022-05-31-primary,2,-0.6225
2022-05-31-primary,3,0.9133750000000002
2022-05-31-primary,4,0.24762500000000004
2022-05-31-primary,5,0.5589999999999999
2022-05-31-primary,6,-0.5513750000000001
2022-05-31-primary,7,0.4331250000000001
2022-05-31-primary,8,-1.343375
2022-05-31-primary,9,0.48650000000000004
2022-05-31-primary,10,-1.6493749999999998
2022-05-31-primary,11,0.08275000000000002
2022-05-31-primary,12,0.44499999999999995
2022-05-31-primary,13,-0.608125
2022-05-31-primary,14,-0.8437500000000002
2022-05-31-primary,15,-0.48387499999999994
2022-05-31-primary,16,0.25462499999999993
2022-05-31-primary,17,0.7696250000000001
2022-05-31-primary,18,-0.39424999999999993
2022-05-31-primary,19,0.2669999999999999
2022-05-31-primary,20,0.43550000000000005
2022-05-31-primary,21,1.9085
2022-05-31-primary,22,1.346
2022-05-31-primary,23,1.3295
2022-05-31-primary,24,1.158125
2022-05-31-primary,25,1.3559999999999999
2022-05-31-primary,26,1.3787500000000001
2022-05-31-primary,27,1.4408750000000001
2022-05-31-primary,28,-0.3275000000000001
2022-05-31-primary,29,-0.26862499999999995
2022-05-31-primary,30,-1.5115000000000003
2022-05-31-primary,31,0.14950000000000002
2022-05-31-primary,32,-0.208125
2022-05-31-primary,33,0.695
2022-05-31-primary,34,-0.43825000000000003
2022-05-31-primary,35,0.1225
2022-05-31-primary,36,-1.1550000000000002
2022-05-31-primary,37,-0.36824999999999997
2022-05-31-primary,38,-1.0591249999999999
2022-05-31-primary,39,-0.5457500000000001
2022-05-31-hub,0,-0.3545000000000001
2022-05-31-hub,1,-1.1502500000000002
2022-05-31-hub,2,0.8563750000000001
2022-05-31-hub,3,-0.700625
2022-05-31-hub,4,-0.28525000000000006
2022-05-31-hub,5,0.9467500000000002
2022-05-31-hub,6,-0.67375
2022-05-31-hub,7,0.43562500000000004
2022-05-31-hub,8,0.19037500000000002
2022-05-31-hub,9,0.7414999999999999
2022-05-31-hub,10,0.7353750000000001
2022-05-31-hub,11,-1.2537500000000001
2022-05-31-hub,12,-0.6967500000000001
2022-05-31-hub,13,-0.2350000000000001
2022-05-31-hub,14,1.13875
2022-05-31-hub,15,1.0416250000000002
2022-05-31-hub,16,2.18075
2022-05-31-hub,17,0.511375
2022-05-31-hub,18,0.15962500000000002
2022-05-31-hub,19,-1.0005000000000002
2022-05-31-hub,20,0.017249999999999988
2022-05-31-hub,21,0.30225
2022-05-31-hub,22,-1.00075
2022-05-31-hub,23,-1.380375
2022-05-31-hub,24,1.163375
2022-05-31-hub,25,-0.37712500000000004
2022-05-31-hub,26,0.5515
2022-05-31-hub,27,-0.6618750000000001
2022-05-31-hub,28,-0.8652500000000001
2022-05-31-hub,29,-0.8083750000000001
2022-05-31-hub,30,2.7623749999999996
2022-05-31-hub,31,1.2355
2022-05-31-hub,32,-0.544125
2022-05-31-hub,33,0.205125
2022-05-31-hub,34,0.23400000000000004
2022-05-31-hub,35,-0.489
2022-05-31-hub,36,-0.11050000000000007
2022-05-31-hub,37,0.257
2022-05-31-hub,38,-0.12912500000000002
2022-05-31-hub,39,-0.252375
2023-07-16-primary,0,-0.5591250000000001
2023-07-16-primary,1,0.27737500000000004
2023-07-16-primary,2,0.6172500000000001
2023-07-16-primary,3,1.1900000000000002
2023-07-16-primary,4,-0.012750000000000039
2023-07-16-primary,5,0.230875
2023-07-16-primary,6,-0.571
2023-07-16-primary,7,-0.2935000000000001
2023-07-16-primary,8,-1.779125
2023-07-16-primary,9,0.344
2023-07-16-primary,10,-0.24287500000000004
2023-07-16-primary,11,-1.285375
2023-07-16-primary,12,-0.16562500000000008
2023-07-16-primary,13,-1.114
2023-07-16-primary,14,-0.11249999999999999
2023-07-16-primary,15,-0.8592500000000001
2023-07-16-primary,16,-1.32775
2023-07-16-primary,17,-0.5787500000000001
2023-07-16-primary,18,-0.08724999999999988
2023-07-16-primary,19,0.6434999999999998
2023-07-16-primary,20,-0.607625
2023-07-16-primary,21,1.1886250000000003
2023-07-16-primary,22,-0.009874999999999967
2023-07-16-primary,23,1.8007500000000003
2023-07-16-primary,24,-0.8260000000000001
2023-07-16-primary,25,0.19649999999999992
2023-07-16-primary,26,-0.9011250000000001
2023-07-16-primary,27,1.388875
2023-07-16-primary,28,0.575
2023-07-16-primary,29,-1.3525
2023-07-16-primary,30,1.02325
2023-07-16-primary,31,-0.6405000000000001
2023-07-16-primary,32,-0.02687499999999987
2023-07-16-primary,33,0.8187499999999999
2023-07-16-primary,34,0.47075000000000006
2023-07-16-primary,35,0.5143749999999999
2023-07-16-primary,36,1.493875
2023-07-16-primary,37,1.103625
2023-07-16-primary,38,0.033624999999999905
2023-07-16-primary,39,0.25237499999999996
2023-07-16-hub,0,-0.08274999999999999
2023-07-16-hub,1,-0.28537499999999993
2023-07-16-hub,2,-1.58225
2023-07-16-hub,3,-1.5726250000000002
2023-07-16-hub,4,-0.02862500000000001
2023-07-16-hub,5,-0.18937499999999996
2023-07-16-hub,6,-0.6013750000000001
2023-07-16-hub,7,0.905
2023-07-16-hub,8,-0.34500000000000003
2023-07-16-hub,9,-0.57325
2023-07-16-hub,10,-0.8425
2023-07-16-hub,11,-0.8696250000000001
2023-07-16-hub,12,-0.8273750000000001
2023-07-16-hub,13,0.693375
2023-07-16-hub,14,-0.17850000000000005
2023-07-16-hub,15,0.09474999999999995
2023-07-16-hub,16,0.5365000000000001
2023-07-16-hub,17,0.17324999999999993
2023-07-16-hub,18,0.263125
2023-07-16-hub,19,-1.2350000000000003
2023-07-16-hub,20,1.0366250000000001
2023-07-16-hub,21,1.330375
2023-07-16-hub,22,-0.11387499999999995
2023-07-16-hub,23,0.2798749999999999
2023-07-16-hub,24,-0.61475
2023-07-16-hub,25,1.18375
2023-07-16-hub,26,0.09362499999999999
2023-07-16-hub,27,-0.12312500000000012
2023-07-16-hub,28,-1.946625
2023-07-16-hub,29,-0.8667500000000001
2023-07-16-hub,30,1.0655000000000001
2023-07-16-hub,31,-1.342625
2023-07-16-hub,32,-1.327375
2023-07-16-hub,33,0.665
2023-07-16-hub,34,0.9330000000000002
2023-07-16-hub,35,0.8588750000000002
2023-07-16-hub,36,-0.23162499999999997
2023-07-16-hub,37,0.43737499999999996
2023-07-16-hub,38,-0.5088750000000001
2023-07-16-hub,39,1.046375
2026-07-22-primary,0,-0.5602500000000001
2026-07-22-primary,1,-0.24574999999999994
2026-07-22-primary,2,0.31650000000000006
2026-07-22-primary,3,1.2946250000000001
2026-07-22-primary,4,0.08812500000000001
2026-07-22-primary,5,1.01825
2026-07-22-primary,6,0.09512500000000007
2026-07-22-primary,7,-0.6996250000000003
2026-07-22-primary,8,0.7666249999999998
2026-07-22-primary,9,-1.095125
2026-07-22-primary,10,-1.1897499999999999
2026-07-22-primary,11,1.110375
2026-07-22-primary,12,-1.67075
