scale,repetitions,seed,correlated_mean,proxy_mean,normalized_correlated_mean,normalized_proxy_mean,mean_difference,paired_standard_error,ci_low,ci_high,sign,q10_difference,q50_difference,q90_difference,nonidentical_fraction
10,50000,2026073010,96.29726,92.18184,0.9629726000000001,0.9218184000000001,0.041154199999999995,0.0033830069895247074,0.0345236281410843,0.04778477185891569,positive,0.0,0.029999999999999916,0.09000000000000008,0.98394
20,50000,2026073020,385.70702,366.92196,0.9642675500000001,0.9173048999999999,0.046962649999999995,0.0033797104989126926,0.04033853914395922,0.05358676085604077,positive,0.007500000000000007,0.039999999999999925,0.09250000000000003,0.9948
40,50000,2026073040,1550.85068,1473.69232,0.9692816750000001,0.9210576999999999,0.048223975,0.003383468919624886,0.04159249777472458,0.05485545222527542,positive,0.00874999999999998,0.043749999999999956,0.09562499999999985,0.99828
