scale,repetitions,seed,exact_mean,mc_mean,mc_sd,standard_error,ci_low,ci_high,z_score,gate_pass
1,50000,2026071701,1.0,1.0,0.0,0.0,1.0,1.0,0.0,True
2,50000,2026071702,3.845405988723624,3.84254,2.049670795861479,0.009166406462084723,3.824574173466659,3.860505826533341,-0.3126621905190907,True
3,50000,2026071703,8.654869502436274,8.6347,4.989039358461146,0.022311662295882127,8.59096994546485,8.67843005453515,-0.9039892307797993,True
