cell_id,date,mode,demand_kind,scale,formal_seed,replication_seed,block_count,formal_mean,replication_mean,difference_replication_minus_formal,welch_standard_error,welch_degrees_of_freedom,simultaneous_critical,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_halfwidth,contains_zero,formal_block_ci_halfwidth,replication_block_ci_halfwidth,precision_gate_pass,direct_replication_gate_pass,combined_gate_pass
2020-10-14-hub-hotspot-N10,2020-10-14,hub,hotspot,10,202607230110,202607240110,40,-0.0182025,-0.0020459999999999966,0.016156500000000004,0.011639542183866168,77.67550560877828,3.407426549142883,-0.02350438505717411,0.05581738505717412,0.03966088505717411,True,0.028209088818550457,0.030095285524177364,False,True,False
2020-10-14-hub-hotspot-N20,2020-10-14,hub,hotspot,20,202607230111,202607240111,40,-0.015654375,-0.02238025,-0.006725874999999999,0.010374465471459704,68.92904030126371,3.4243640399901727,-0.042251821494586304,0.028800071494586306,0.035525946494586305,True,0.030348597048439674,0.020752856968375807,False,True,False
2020-10-14-hub-hotspot-N40,2020-10-14,hub,hotspot,40,202607230112,202607240112,40,-0.0287983125,-0.0270600625,0.0017382500000000002,0.0066160979053660795,77.91381764188019,3.4070201145319543,-0.020802928643294964,0.024279428643294965,0.022541178643294964,True,0.016301197323116207,0.016852672956598293,True,True,True
2020-10-14-hub-hotspot-N80,2020-10-14,hub,hotspot,80,202607230113,202607240113,40,-0.009748296874999998,-0.011981078125,-0.002232781250000003,0.003969785697766367,77.96340789614293,3.406935862827113,-0.015757586511458394,0.01129202401145839,0.013524805261458392,True,0.010055035262407993,0.009839507501451428,True,True,True
2020-10-14-hub-uniform-N10,2020-10-14,hub,uniform,10,202607230100,202607240100,40,0.0018205000000000014,-0.0007609999999999995,-0.002581500000000001,0.011324178635239754,77.51210487645035,3.4077067190532087,-0.041170979623065304,0.0360079796230653,0.038589479623065304,True,0.027228224831386934,0.02948137473811625,True,True,True
2020-10-14-hub-uniform-N20,2020-10-14,hub,uniform,20,202607230101,202607240101,40,0.0010463750000000004,0.00826125,0.007214874999999999,0.012571838390005141,77.31720592738066,3.4080424989825553,-0.035630484523477945,0.05006023452347795,0.04284535952347795,True,0.03295069947270498,0.02998689888848054,False,True,False
2020-10-14-hub-uniform-N40,2020-10-14,hub,uniform,40,202607230102,202607240102,40,0.005583062500000001,0.016378468750000003,0.010795406250000002,0.012261006011838946,76.94015063025712,3.4086971035006997,-0.03099864942856008,0.05258946192856008,0.04179405567856008,True,0.032477784076054825,0.028865468010222127,False,True,False
2020-10-14-hub-uniform-N80,2020-10-14,hub,uniform,80,202607230103,202607240103,40,0.0140733125,0.00841434375,-0.00565896875,0.012208337965761065,77.60400062103152,3.4075490026911526,-0.04725947860974565,0.03594154110974565,0.04160050985974565,True,0.031666615637107154,0.029479852844071803,False,True,False
2020-10-14-primary-hotspot-N10,2020-10-14,primary,hotspot,10,202607230010,202607240010,40,-0.017970499999999997,-0.007388499999999999,0.010581999999999998,0.012058257536132337,75.06088948880179,3.412061278183099,-0.030561513621396686,0.051725513621396685,0.041143513621396684,True,0.03307147264147536,0.02706242523114511,False,True,False
2020-10-14-primary-hotspot-N20,2020-10-14,primary,hotspot,20,202607230011,202607240011,40,-0.0041027500000000005,-0.018942375,-0.014839625,0.010025227059481029,76.37712374128998,3.4096870283382743,-0.049022511660858324,0.01934326166085832,0.03418288666085832,True,0.023219059315555537,0.026890871488591074,True,True,True
2020-10-14-primary-hotspot-N40,2020-10-14,primary,hotspot,40,202607230012,202607240012,40,-0.0016769375,0.00609815625,0.00777509375,0.006278889339047649,69.82249798089799,3.422431746381184,-0.013713976455971041,0.02926416395597104,0.02148907020597104,True,0.018228796397480245,0.01276096926118651,True,True,True
2020-10-14-primary-hotspot-N80,2020-10-14,primary,hotspot,80,202607230013,202607240013,40,0.0029811406250000003,-0.0013274453124999994,-0.0043085859375,0.0034764550997966495,77.74808158478272,3.4073024998163217,-0.016153920089536325,0.007536748214536324,0.011845334152036324,True,0.008956134666213552,0.008460044928763124,True,True,True
2020-10-14-primary-uniform-N10,2020-10-14,primary,uniform,10,202607230000,202607240000,40,0.0149725,0.008458500000000002,-0.006513999999999997,0.012277419967733554,76.1550078446578,3.410081725578116,-0.04838100546921606,0.03535300546921606,0.04186700546921606,True,0.03307368513515046,0.02827032846927037,False,True,False
2020-10-14-primary-uniform-N20,2020-10-14,primary,uniform,20,202607230001,202607240001,40,0.0101375,0.0007665000000000005,-0.009371,0.012258974969959868,75.68887819282848,3.4109178323383262,-0.05118535633122531,0.03244335633122532,0.041814356331225315,True,0.027906901580768004,0.03329566179548479,False,True,False
2020-10-14-primary-uniform-N40,2020-10-14,primary,uniform,40,202607230002,202607240002,40,0.0005722187500000004,-0.0006215937499999998,-0.0011938125,0.010841771675323445,75.25159633036773,3.4117119478970936,-0.038182814461073286,0.03579518946107328,0.036989001961073284,True,0.024434727349050153,0.029650942251750047,True,True,True
2020-10-14-primary-uniform-N80,2020-10-14,primary,uniform,80,202607230003,202607240003,40,0.0206935703125,0.008068515625,-0.0126250546875,0.012701209164381139,77.73835512404281,3.4073191107072978,-0.05590212740238652,0.030652018027386527,0.043277072714886525,True,0.03273808843636363,0.03089082495776031,False,True,False
2022-05-31-hub-hotspot-N10,2022-05-31,hub,hotspot,10,202607231110,202607241110,40,-0.006336999999999995,-0.016661000000000002,-0.010324000000000007,0.010227516040514157,77.73307232948552,3.407328134488689,-0.045172503150778254,0.02452450315077824,0.03484850315077825,True,0.024866792494088803,0.026369287699320867,True,True,True
2022-05-31-hub-hotspot-N20,2022-05-31,hub,hotspot,20,202607231111,202607241111,40,-0.0225835,-0.00030037499999999856,0.022283125,0.009849121017965127,77.05014692537225,3.4085054542427247,-0.011287657709230792,0.05585390770923079,0.03357078270923079,True,0.026014938976232787,0.023270372903730317,True,True,True
2022-05-31-hub-hotspot-N40,2022-05-31,hub,hotspot,40,202607231112,202607241112,40,-0.018596812499999997,-0.01375196875,0.004844843749999998,0.006775919347400687,74.44817391670676,3.4131961802890918,-0.018282698284494983,0.02797238578449498,0.02312754203449498,True,0.015011235480367984,0.018742594132776333,True,True,True
2022-05-31-hub-hotspot-N80,2022-05-31,hub,hotspot,80,202607231113,202607241113,40,-0.0067132890625,-0.0045626953125,0.0021505937499999997,0.0033294833096005495,73.18708110912232,3.4155940472642943,-0.009221569622737458,0.013522757122737459,0.011372163372737458,True,0.009352123615361975,0.007194440362387183,True,True,True
2022-05-31-hub-uniform-N10,2022-05-31,hub,uniform,10,202607231100,202607241100,40,0.0065780000000000005,0.011222,0.004643999999999999,0.01248751061394277,77.99247138158977,3.406886536734158,-0.037899531787966526,0.04718753178796653,0.04254353178796653,True,0.031138252995452104,0.03144570320985247,False,True,False
2022-05-31-hub-uniform-N20,2022-05-31,hub,uniform,20,202607231101,202607241101,40,-0.004451250000000002,0.019400875000000005,0.02385212500000001,0.01243843802368893,77.46701792156358,3.4077842412707398,-0.018535388083149897,0.06623963808314992,0.042387513083149905,True,0.032436331363005944,0.029848710850486473,False,True,False
2022-05-31-hub-uniform-N40,2022-05-31,hub,uniform,40,202607231102,202607241102,40,0.002363031250000001,-0.005768437499999999,-0.00813146875,0.011393282018695359,77.93924925708112,3.4069768934579674,-0.04694811732834524,0.030685179828345233,0.038816648578345235,True,0.028148969074964475,0.028946139631917608,True,True,True
2022-05-31-hub-uniform-N80,2022-05-31,hub,uniform,80,202607231103,202607241103,40,-0.007960828124999998,0.007063984374999999,0.015024812499999997,0.010886062722034925,77.8692401910918,3.4070959444553552,-0.02206504765133182,0.052114672651331816,0.03708986015133182,True,0.026714523498362293,0.02783261824573415,True,True,True
2022-05-31-primary-hotspot-N10,2022-05-31,primary,hotspot,10,202607231010,202607241010,40,-0.007339499999999999,4.800000000000082e-05,0.0073875,0.011019700733232277,77.46485129393349,3.4077879689076798,-0.030165303579672093,0.04494030357967209,0.03755280357967209,True,0.026441699995666555,0.028738869730843344,True,True,True
2022-05-31-primary-hotspot-N20,2022-05-31,primary,hotspot,20,202607231011,202607241011,40,-0.021845125,-0.010325375000000001,0.011519749999999999,0.010495028532893561,77.93583235319122,3.406982698795006,-0.024236630634928296,0.04727613063492829,0.035756380634928295,True,0.025919347912037087,0.026674058059169628,True,True,True
