k,N,p_bias,source,signed_relative_error_percent,absolute_relative_error_percent,uncertainty_aware_error_upper_percent,top20_conservative_bound
9,128,0.3,boundary_confirmation,0.10170272170838747,0.10170272170838747,0.5815139129841107,False
9,128,0.975,boundary_confirmation,0.1701124591045686,0.1701124591045686,2.3086451378803163,False
9,128,1.025,boundary_confirmation,-0.9036932431464639,0.9036932431464639,2.9094863741969457,False
9,128,1.9,boundary_confirmation,-0.01608140638732569,0.01608140638732569,0.6376435401534208,False
10,10,0.3,boundary_confirmation,0.3087122580404852,0.3087122580404852,1.967404004830775,False
10,10,0.975,boundary_confirmation,-0.34066200843972405,0.34066200843972405,2.5311445669427446,False
10,10,1.025,boundary_confirmation,-0.6730730149955501,0.6730730149955501,2.84421359626269,False
10,10,1.9,boundary_confirmation,1.5433119607349746,1.5433119607349746,3.258215135655118,False
10,14,0.325,blind2,0.05454759532294505,0.05454759532294505,1.7555335645934367,False
10,14,0.525,blind2,-0.45253634523577235,0.45253634523577235,2.3700849514433853,False
10,14,0.725,blind2,-0.878023010582495,0.878023010582495,3.0975190927707175,False
10,14,0.94,blind2,0.3233424783780745,0.3233424783780745,2.996087773253464,False
10,14,1.0,blind2,-0.8002893652145678,0.8002893652145678,3.3296688801778385,False
10,14,1.06,blind2,-1.3459492748855562,1.3459492748855562,3.747906982451432,False
10,14,1.275,blind2,0.48028511342657193,0.48028511342657193,2.792299566777001,False
10,14,1.675,blind2,0.619034122527063,0.619034122527063,2.546947122339893,False
10,14,1.875,blind2,1.1647481616463502,1.1647481616463502,2.9712522404669706,False
10,28,0.325,blind2,-1.2849561069505946,1.2849561069505946,2.467195803081035,False
10,28,0.525,blind2,0.6103276452036515,0.6103276452036515,2.1007267836331778,False
10,28,0.725,blind2,0.2530147422718655,0.2530147422718655,2.1577948440414385,False
