panel,k,N,p_bias,mc_mean,formula_mean
N=14,22,14,0.94,472.0085,470.098472991015
N=14,23,14,0.94,484.578,483.5281378427439
N=14,24,14,0.94,500.293,496.84552168309875
N=14,25,14,0.94,508.9146666666667,510.052500245151
N=14,26,14,0.94,527.7526666666666,523.15068205871
N=14,27,14,0.94,532.5826666666667,536.1414565548046
N=14,28,14,0.94,543.1785,549.0260319272423
N=14,29,14,0.94,561.827,561.8054652362454
N=14,30,14,0.94,573.0996666666666,574.4806865693419
N=14,31,14,0.94,588.6721666666666,587.0525186019303
N=14,32,14,0.94,604.6078333333334,599.5216925617847
N=14,33,14,0.94,616.0576666666667,611.8888613568713
N=14,34,14,0.94,628.4938333333333,624.1546104464405
N=14,35,14,0.94,635.9826666666667,636.3194669024898
N=14,36,14,0.94,645.5185,648.3839070092911
N=14,37,14,0.94,658.741,660.3483626736087
N=14,38,14,0.94,674.8048333333334,672.2132268610258
N=14,39,14,0.94,685.7135,683.9788582298436
N=14,40,14,0.94,695.7276666666667,695.6455850999565
N=14,41,14,0.94,709.5553333333334,707.2137088675529
N=14,42,14,0.94,723.1721666666666,718.683506955591
N=14,43,14,0.94,731.9966666666667,730.055235373489
N=14,44,14,0.94,741.0791666666667,741.3291309462996
N=14,45,14,0.94,756.401,752.505413263113
N=14,46,14,0.94,767.9045,763.5842863859274
N=14,47,14,0.94,781.146,774.5659403533504
