k,N,p_bias,absolute_relative_error_percent
46,10,1.9,0.4423218654692874
47,10,1.9,0.5447416107076964
48,10,1.9,0.733258122170909
49,10,1.9,1.0851376324250148
50,10,1.9,0.2063691491572664
3,14,0.325,0.14382462334583573
4,14,0.325,1.1247350655226633
5,14,0.325,1.1356477402021983
6,14,0.325,0.27658072068190875
7,14,0.325,0.6019266154989984
8,14,0.325,0.009371268144486784
9,14,0.325,0.09898636659069633
10,14,0.325,0.05454759532294505
11,14,0.325,1.0970838907212592
12,14,0.325,0.6989721102952754
13,14,0.325,0.2707316881623243
14,14,0.325,0.27562854953964727
15,14,0.325,0.634153346303071
16,14,0.325,0.2863244788941351
17,14,0.325,0.8398583386153455
18,14,0.325,0.44706393520830495
19,14,0.325,0.7276533596034837
20,14,0.325,1.284736284808592
21,14,0.325,0.4153213981570001
22,14,0.325,1.300636926067432
23,14,0.325,0.5467209261147281
24,14,0.325,0.5941697240603455
25,14,0.325,1.3311812970671588
26,14,0.325,0.38073896748220803
27,14,0.325,0.97528287795824
28,14,0.325,1.3354571848435817
29,14,0.325,0.819731731552783
30,14,0.325,0.6556460335523007
31,14,0.325,0.010774378639318937
32,14,0.325,0.5565815241704148
33,14,0.325,1.1804712297657485
34,14,0.325,0.5087038840641115
35,14,0.325,0.38089962442327474
36,14,0.325,0.3817428125816444
37,14,0.325,0.7111367967667115
38,14,0.325,0.8291860179686373
39,14,0.325,1.0552950556892553
40,14,0.325,0.7711026595983794
41,14,0.325,0.19274939631171098
42,14,0.325,0.3657230859368563
43,14,0.325,0.9484504638171123
44,14,0.325,0.2762671381734622
45,14,0.325,0.49181315855464214
46,14,0.325,0.27476365685722964
47,14,0.325,0.11741005602370135
48,14,0.325,0.6371601151083478
49,14,0.325,0.8554642537869716
50,14,0.325,0.7637733817561856
3,14,0.525,0.5494871448297346
4,14,0.525,0.11996299754896979
5,14,0.525,0.18688917844932235
6,14,0.525,0.2175818499516544
7,14,0.525,0.5119971522769104
8,14,0.525,0.8177051665089893
9,14,0.525,0.27560811542584013
10,14,0.525,0.45253634523577235
11,14,0.525,0.12627982333767238
12,14,0.525,0.6224572649717294
13,14,0.525,0.2099895239588783
14,14,0.525,0.518506294790207
15,14,0.525,0.716770768921847
16,14,0.525,0.6731591511838316
17,14,0.525,0.29129842183777593
18,14,0.525,0.03447916533807537
19,14,0.525,0.5950683131215733
20,14,0.525,0.3228420816905711
21,14,0.525,0.5391123817395359
22,14,0.525,0.10792097216686454
23,14,0.525,0.4409382109234249
24,14,0.525,0.7181360524137115
25,14,0.525,0.2178011527863833
26,14,0.525,1.275683490678847
27,14,0.525,0.6625391409441617
28,14,0.525,1.0326009994535963
29,14,0.525,0.09983845469172255
30,14,0.525,1.360926391331316
31,14,0.525,0.563904101326101
32,14,0.525,0.7109181359763717
33,14,0.525,0.459710299279408
34,14,0.525,1.5188494525855323
35,14,0.525,1.5121731562189984
36,14,0.525,1.1035218536789833
37,14,0.525,0.10135941426646158
38,14,0.525,1.031055045468709
39,14,0.525,1.0820014809180338
40,14,0.525,0.9149750420505339
41,14,0.525,0.5704951780231949
42,14,0.525,1.775557884466007
43,14,0.525,1.3780724680231773
44,14,0.525,1.1969072880535474
45,14,0.525,1.2290147916207756
46,14,0.525,1.7902992933315371
47,14,0.525,2.402219640858736
48,14,0.525,1.438992920344253
49,14,0.525,1.2161789824637723
50,14,0.525,1.3921300249505286
3,14,0.725,0.7604963582820106
4,14,0.725,0.007155723805140649
5,14,0.725,1.660643508664398
6,14,0.725,0.5804485068039413
7,14,0.725,0.18350183593560868
8,14,0.725,0.41210438841334224
9,14,0.725,0.9821721853087235
10,14,0.725,0.878023010582495
11,14,0.725,0.11405238919633034
12,14,0.725,1.4057195220887957
13,14,0.725,0.889768279651266
14,14,0.725,0.5751324067844932
