snapshot,mode,edge_index,left_node_index,right_node_index,left_node_id,right_node_id,scid,htlc_maximum_msat
20201014.gml.geo,primary,23,13,18,0234e53380c64bb0369154280a8b926034cbbc7537884dfcab20096152910f1742,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,647628x1938x0/0,89100000
20201014.gml.geo,primary,24,14,18,0236b79638b8f133eca00765786da784bd3db4187dd6e1f28be85d4a0f547150d8,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,651697x2566x1/0,990000000
20201014.gml.geo,primary,25,15,18,023831c19f4a120d4f7a47641550976a770f844d05be98c96976247afa7cc889b9,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,651685x2418x0/0,99000000
20201014.gml.geo,primary,26,16,18,023b63e55e8c7fca898db3c86c5bfa756b5e642142b75183f31f10f102978f4059,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,649712x999x0/1,99000000
20201014.gml.geo,primary,27,17,18,023d4788782a6c36c9e872ff7d20fe76b943fa1f0269a2321efff238cc45da7f4f,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,647549x1057x0/0,89100000
20201014.gml.geo,primary,28,18,19,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,648306x2340x0/0,990000000
20201014.gml.geo,primary,29,18,20,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,02439112f98b6f4828e1a7426bfbece166bd36837d7dea4225a75ebd1d96864a07,651174x309x15/1,990000000
20201014.gml.geo,primary,30,18,21,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,024676acdbb9018fdd90114c55bf3397af98fa84a809b4c65467953008be92dc83,649675x1567x1/0,99000000
20201014.gml.geo,primary,31,18,22,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0247eba5275bcdf4825197a7557061bd4b0a015e00590e697191bc9dfbe6bf409a,651697x2560x1/1,990000000
20201014.gml.geo,primary,32,18,23,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,024a9811aad3b9ff6e80c1352239f7b27ddd5f8d49acbb82752f558236974d7092,650603x676x1/1,99000000
20201014.gml.geo,primary,33,18,24,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0255ecd216b6abf3f91adaa3c7fcabbc477f7ffcec58d99f823720581c2ea9cacd,649975x1960x1/1,99000000
20201014.gml.geo,primary,34,18,25,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,025c292529c8ff4e8b0f75ed5d17f99b74d2a06ca8237bdfc0b55d04686e3e776b,649644x57x1/0,99000000
20201014.gml.geo,primary,35,18,26,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0261145a5efa26a79e008996c6f9bff276eb2a75294b2c7013cf90ee77dd9005ac,641862x1728x1/0,89100000
20201014.gml.geo,primary,36,18,27,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0264329b15c7cc240b772ffa43f573625a524b1914acd547b741c54d95d0b6bd35,649676x2534x1/0,99000000
20201014.gml.geo,primary,37,18,28,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0268fb5ff483d584b81832b025b8ed122596d4b642171d71ab8b5893aa24eccece,652233x2074x0/0,3414403000
20201014.gml.geo,primary,38,18,29,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,0268fce75a7e44d5c692074ce415c188440416ec0461c43431cb1ce3d902a51ce9,649450x1387x0/0,99000000
20201014.gml.geo,primary,39,18,30,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,02f409397bebb11adc00bb5f52ab4a5a911c393ebf1fb0677c1ac63a316a2deb96,651685x2421x0/1,99000000
20201014.gml.geo,primary,40,19,20,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,02439112f98b6f4828e1a7426bfbece166bd36837d7dea4225a75ebd1d96864a07,649259x1394x10/1,990000000
20201014.gml.geo,primary,41,19,28,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,0268fb5ff483d584b81832b025b8ed122596d4b642171d71ab8b5893aa24eccece,606631x1333x0/1,2970000000
20201014.gml.geo,hub,0,0,30,02001828ca7eb8e44d4d78b5c1ea609cd3744be823c22cd69d895eff2f9345892d,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651303x2741x0/0,60724000
20201014.gml.geo,hub,1,1,30,02003e8f41444fbddbfce965eaeb45b362b5c1b0e52b16cc249807ba7f78877928,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651194x1360x0/0,60724000
20201014.gml.geo,hub,2,2,4,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,0201bbc44301ec1bdf3da081e19e960adf133806d19e439eb116bb84a8a62e7408,635118x1536x0/1,247500000
20201014.gml.geo,hub,3,2,22,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,0206ba1bccc9241fda43879095f54f276b41373ca236735c5357d55e385a8062e5,635532x1684x0/1,1005840000
20201014.gml.geo,hub,4,2,29,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,0209faa30755c89418d396f31e4395df51cc79b72890e1fc02de1fdde1448cebc4,646022x1705x1/1,1980000000
20201014.gml.geo,hub,5,2,30,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,628455x1070x1/1,4022120000
20201014.gml.geo,hub,6,3,30,0200da31ae309a42f955de9383c150a4167246bb22d5380898cd70aecc59136c50,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651206x1350x0/0,2167887000
20201014.gml.geo,hub,7,4,30,0201bbc44301ec1bdf3da081e19e960adf133806d19e439eb116bb84a8a62e7408,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,635227x921x0/0,31024000
20201014.gml.geo,hub,8,5,30,0201be5b63e839fc57c66c7ab21dcea3aa79001de132f29ade96a0c2d6680c8eaf,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,644969x1556x0/0,31024000
20201014.gml.geo,hub,9,6,30,0202bbe57827ab092d56a0623d965a92d2f111aade31d1b6b6b0983fcb79836b9d,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,645024x1696x0/0,60724000
20201014.gml.geo,hub,10,7,30,0202e6bffec1e453d3cd93917d65544a7a87c88f1a6c52ed827a3cb7157bb06e93,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651211x1496x0/0,60724000
20201014.gml.geo,hub,11,8,30,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,646683x1772x0/0,346500000
20201014.gml.geo,hub,12,9,30,0202f05149350a1c68578238eab17c594d1f5bd5235864c413c50484b98b2f32e5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,646027x1115x0/0,346500000
20201014.gml.geo,hub,13,10,30,020323d8f47d10ed146cc630c6b79accc9540213f907454f7731c337dc5ae9a7c5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,608286x2077x0/0,31024000
20201014.gml.geo,hub,14,11,30,020328dfec863a339a91f16e50082768b97f87abbbe7b7b9dd2a150d0b0409b49f,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651212x919x0/0,60724000
20201014.gml.geo,hub,15,12,30,02036e0f538728a26a9e2ebb42890a9845c6dc9f46a09047ff3e382b5bf9282c17,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,610592x2442x0/0,31024000
20201014.gml.geo,hub,16,13,30,0203c69eaaf21dfc53c01df09684d9b8ae3a52324b58d86a96fbe0f0fafffcaa19,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651304x1361x0/0,60724000
20201014.gml.geo,hub,17,14,30,020425b428e51b983880a8450d01596fb161b3f78f3fc66285c8ead01bfc897556,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,644958x1492x0/1,53072000
20201014.gml.geo,hub,18,15,30,02043b4834a867fd8787c9878bace14310318f8622ed1b195e8d2aca2e49499dd5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,644054x1411x0/0,3465000000
20201014.gml.geo,hub,19,16,30,0204594e04a25b0dcf3f09a904431f533ab21e6a046703c6225557eface7a5bb24,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,595622x1761x1/0,637474000
20201014.gml.geo,hub,20,17,30,02047d60de9a1073adf351b79ba6f20f5891ee9c587941e01be934fcfc505823e5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,632677x1632x0/0,31024000
20201014.gml.geo,hub,21,18,30,020627cf52809eb66d6393bab80e1d723c147055f721cb0f84d52b0a9f8bba031e,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651174x324x0/0,60724000
20201014.gml.geo,hub,22,19,30,0206507b73025bae5bc781cbd11668fd6e4a977fabcaf1a1ecc6fc0546c75fa44f,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,644966x532x0/0,31024000
20201014.gml.geo,hub,23,20,30,0206722d0f786ae2bf4779675b5b7d91ae334fc59992f98528f30a83b91e3c8b8f,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,608317x873x0/0,31024000
20201014.gml.geo,hub,24,21,30,020675f1b6a63a748f8f674400e94472307d0204352238b17375777e6b89aef047,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,645423x1046x0/1,49867000
20201014.gml.geo,hub,25,22,30,0206ba1bccc9241fda43879095f54f276b41373ca236735c5357d55e385a8062e5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,646027x1121x0/0,346500000
20201014.gml.geo,hub,26,23,30,0206eb072408ee1d7808a6c056bc324edbb56fdcc350d9f23ef094372792676561,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,632668x1858x0/0,31024000
20201014.gml.geo,hub,27,24,30,020815a33a54159aca81b4b88decce0b550f2cbe1aa55af7a050718a5a03941fa5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,634725x2208x0/0,263920000
20201014.gml.geo,hub,28,25,30,02083e55c359ad6d423c0f63821f3230c64aa9089b81c6cf7702d3ba6272ff6c96,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,608286x2007x0/0,31024000
20201014.gml.geo,hub,29,26,30,0208d142e09411fca84c73174f88e88bc02c2710726427a8c8a7bb32ccb1c9d9c0,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,651241x2606x0/0,60724000
