experiment_id,stage,regime,regime_label_cn,regime_id,alpha,scale,amplitude,seed,repetitions,block_count,block_size,mean_tau,sd_tau,se_tau,q10_tau,q50_tau,q90_tau,normalizer,normalizer_type,normalized_mean,normalized_se_blocks,simultaneous_multiplier,normalized_ci_low,normalized_ci_high,normalized_ci_half_width,relative_interdecile_width,relative_deviation_probability_30pct,maximum_stopping_time,minimum_stopping_time,censored_count,nan_count,excluded_count,boundary_counts_json,theoretical_exponent,raw_artifact,raw_result_sha256,reused_existing_raw,simulation_elapsed_seconds
network-phase-closure-20260728,replication,critical,临界扩散,2,1.0,25,0.4,202608300025,8000,40,200,443.48525,237.81690623786417,2.65887384273279,195.0,392.0,760.0,625.0,N^2,0.7095764,0.005080739134195299,3.2321617945675514,0.6931546290822898,0.7259981709177102,0.016421770917710264,0.7206632653061225,nan,2123,59,0,0,0,"[2819,450,294,3482,79,876]",2.0,raw/replication__critical__N25.npz,e8e2a005fa26a6f3d62fe92e55449ccbf9c3b5a0a7c4f64f70d7f4f61f3a5139,False,0.317133599999579
network-phase-closure-20260728,replication,critical,临界扩散,2,1.0,50,0.4,202608300050,8000,40,200,1783.928125,968.4590491214445,10.82770133630179,770.0,1578.0,3039.300000000001,2500.0,N^2,0.71357125,0.004600548177865218,3.2321617945675514,0.6987015339454367,0.7284409660545633,0.01486971605456332,0.7190430925221803,nan,9163,192,0,0,0,"[2696,441,285,3633,73,872]",2.0,raw/replication__critical__N50.npz,a71f58b75785f5a2d1b893a32000df992af300fd37f2015690e9ea8a590dc86e,False,1.2541760000003705
network-phase-closure-20260728,replication,critical,临界扩散,2,1.0,100,0.4,202608300100,8000,40,200,7146.924125,3823.861137301884,42.752067197633345,3165.9,6336.5,12289.200000000004,10000.0,N^2,0.7146924124999999,0.0038396216669714686,3.2321617945675514,0.702282134042421,0.7271026909575788,0.012410278457578954,0.7199005760277759,nan,31479,750,0,0,0,"[2698,461,261,3598,81,901]",2.0,raw/replication__critical__N100.npz,9ced832210ce876e75d145abde47dcda50822129b0da3009a39beb6f9efa7b37,False,4.979304000000411
network-phase-closure-20260728,replication,critical,临界扩散,2,1.0,200,0.4,202608300200,8000,40,200,28372.8315,15059.326886182227,168.36839306446848,12560.7,25220.5,48413.100000000006,40000.0,N^2,0.7093207875,0.004179346838444691,3.2321617945675514,0.6958124623225325,0.7228291126774676,0.013508325177467613,0.7107789298388217,nan,191706,3100,0,0,0,"[2792,410,325,3481,76,916]",2.0,raw/replication__critical__N200.npz,d29258839202be347fd69a59f8481353d301b35f1f158b84d5b708e66ce00503,False,17.70047930000146
network-phase-closure-20260728,replication,critical,临界扩散,2,1.0,400,0.4,202608300400,8000,40,200,112464.00325,60062.73320860907,671.5217718444196,49156.0,100464.5,191389.30000000002,160000.0,N^2,0.7029000203125,0.0035198447884580326,3.2321617945675514,0.6915233124644382,0.7142767281605618,0.011376707848061758,0.7078784048096592,nan,500183,11749,0,0,0,"[2781,416,279,3580,69,875]",2.0,raw/replication__critical__N400.npz,c4a03272b34b30693ea8de0e356d5f2f2df0f2fb19ee05c7a24106731258f045,False,71.13190140000006
network-phase-closure-20260728,replication,fair,公平扩散,3,2.0,25,0.4,202608310025,8000,40,200,602.21275,367.47865013797184,4.108536209941837,229.0,512.0,1102.1000000000004,625.0,N^2,0.9635404000000001,0.007490689211109744,3.2321617945675514,0.9393292805168718,0.9877515194831283,0.024211119483128266,0.8526367187500004,nan,3424,68,0,0,0,"[1134,1026,1724,1969,1023,1124]",2.0,raw/replication__fair__N25.npz,a1a18a8fb48886232c3e430f3383793447835fe65357f10a69604f979aeb8f17,False,0.4123751999995875
network-phase-closure-20260728,replication,fair,公平扩散,3,2.0,50,0.4,202608310050,8000,40,200,2394.30425,1462.2739494772698,16.34871976379134,912.0,2058.0,4311.300000000001,2500.0,N^2,0.9577217,0.007464376063213649,3.2321617945675514,0.9335956288681964,0.9818477711318037,0.024126071131803702,0.8258746355685134,nan,13236,256,0,0,0,"[1128,1085,1804,1863,1062,1058]",2.0,raw/replication__fair__N50.npz,d75493971a68abaf05fa09f87eae0bd7cbbb456f8138bc471adadb8b8ef6b68e,False,1.6309843999988516
network-phase-closure-20260728,replication,fair,公平扩散,3,2.0,100,0.4,202608310100,8000,40,200,9708.242875,5919.182521924182,66.17847245125554,3689.8,8308.0,17548.700000000004,10000.0,N^2,0.9708242874999999,0.006835600660303634,3.2321617945675514,0.9487305202028458,0.9929180547971541,0.02209376729715413,0.8340695714973523,nan,51922,871,0,0,0,"[1101,1080,1746,1875,1090,1108]",2.0,raw/replication__fair__N100.npz,21967fb5ab899193918e63784b81e381e0ee4e91af6d0a5cf0e6c574f361588f,False,6.630970600001092
network-phase-closure-20260728,replication,fair,公平扩散,3,2.0,200,0.4,202608310200,8000,40,200,38923.321875,24018.306694047515,268.5328323616424,14921.400000000001,33241.0,70193.1,40000.0,N^2,0.973083046875,0.007275779459531722,3.2321617945675514,0.9495665504802022,0.9965995432697978,0.02351649639479778,0.8313784182184653,nan,236470,3528,0,0,0,"[1099,1099,1841,1827,1003,1131]",2.0,raw/replication__fair__N200.npz,0efac4399fd1b260684688fb6a5b91ce0b40a4400a934516a8e3bbccf32fd72d,False,26.855175700000473
network-phase-closure-20260728,replication,fair,公平扩散,3,2.0,400,0.4,202608310400,8000,40,200,155548.138625,95770.86171864958,1070.750785333164,59933.9,131941.5,281789.8,160000.0,N^2,0.97217586640625,0.005397349386148731,3.2321617945675514,0.9547307599284074,0.9896209728840926,0.017445106477842556,0.840735856421217,nan,890794,16243,0,0,0,"[1126,1077,1809,1819,1049,1120]",2.0,raw/replication__fair__N400.npz,b405c9cccba10f91561747afc0dac8fa3407ddf4cc388051faafc216763ddbe5,False,100.9248504999996
