experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,replication,zero,,50,202608280050,27,200,2470.77,0.988308
network-phase-closure-20260728,replication,zero,,50,202608280050,28,200,2547.115,1.018846
network-phase-closure-20260728,replication,zero,,50,202608280050,29,200,2367.74,0.9470959999999999
network-phase-closure-20260728,replication,zero,,50,202608280050,30,200,2364.32,0.945728
network-phase-closure-20260728,replication,zero,,50,202608280050,31,200,2483.13,0.993252
network-phase-closure-20260728,replication,zero,,50,202608280050,32,200,2408.93,0.963572
network-phase-closure-20260728,replication,zero,,50,202608280050,33,200,2534.7,1.01388
network-phase-closure-20260728,replication,zero,,50,202608280050,34,200,2333.195,0.933278
network-phase-closure-20260728,replication,zero,,50,202608280050,35,200,2474.86,0.989944
network-phase-closure-20260728,replication,zero,,50,202608280050,36,200,2420.015,0.9680059999999999
network-phase-closure-20260728,replication,zero,,50,202608280050,37,200,2519.875,1.00795
network-phase-closure-20260728,replication,zero,,50,202608280050,38,200,2465.92,0.986368
network-phase-closure-20260728,replication,zero,,50,202608280050,39,200,2274.585,0.909834
network-phase-closure-20260728,replication,zero,,100,202608280100,0,200,9337.13,0.9337129999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,1,200,10467.565,1.0467565
network-phase-closure-20260728,replication,zero,,100,202608280100,2,200,9769.86,0.976986
network-phase-closure-20260728,replication,zero,,100,202608280100,3,200,9276.22,0.927622
network-phase-closure-20260728,replication,zero,,100,202608280100,4,200,9711.29,0.9711290000000001
network-phase-closure-20260728,replication,zero,,100,202608280100,5,200,10258.79,1.025879
network-phase-closure-20260728,replication,zero,,100,202608280100,6,200,9964.61,0.996461
network-phase-closure-20260728,replication,zero,,100,202608280100,7,200,9548.815,0.9548815
network-phase-closure-20260728,replication,zero,,100,202608280100,8,200,9297.72,0.9297719999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,9,200,9290.715,0.9290715
network-phase-closure-20260728,replication,zero,,100,202608280100,10,200,9584.65,0.958465
network-phase-closure-20260728,replication,zero,,100,202608280100,11,200,9037.7,0.9037700000000001
network-phase-closure-20260728,replication,zero,,100,202608280100,12,200,9690.355,0.9690354999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,13,200,10200.83,1.020083
network-phase-closure-20260728,replication,zero,,100,202608280100,14,200,9349.575,0.9349575000000001
network-phase-closure-20260728,replication,zero,,100,202608280100,15,200,9519.275,0.9519274999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,16,200,10299.44,1.029944
network-phase-closure-20260728,replication,zero,,100,202608280100,17,200,9628.64,0.9628639999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,18,200,9415.825,0.9415825000000001
network-phase-closure-20260728,replication,zero,,100,202608280100,19,200,10098.31,1.009831
network-phase-closure-20260728,replication,zero,,100,202608280100,20,200,10278.005,1.0278005
network-phase-closure-20260728,replication,zero,,100,202608280100,21,200,9657.795,0.9657795
network-phase-closure-20260728,replication,zero,,100,202608280100,22,200,10090.675,1.0090675
network-phase-closure-20260728,replication,zero,,100,202608280100,23,200,10244.98,1.024498
network-phase-closure-20260728,replication,zero,,100,202608280100,24,200,10165.505,1.0165505
network-phase-closure-20260728,replication,zero,,100,202608280100,25,200,10093.515,1.0093515
network-phase-closure-20260728,replication,zero,,100,202608280100,26,200,10016.055,1.0016055
network-phase-closure-20260728,replication,zero,,100,202608280100,27,200,9390.56,0.939056
network-phase-closure-20260728,replication,zero,,100,202608280100,28,200,9715.955,0.9715955
network-phase-closure-20260728,replication,zero,,100,202608280100,29,200,10145.965,1.0145965000000001
network-phase-closure-20260728,replication,zero,,100,202608280100,30,200,9500.4,0.95004
network-phase-closure-20260728,replication,zero,,100,202608280100,31,200,9774.73,0.9774729999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,32,200,9940.655,0.9940655
network-phase-closure-20260728,replication,zero,,100,202608280100,33,200,9164.945,0.9164945
network-phase-closure-20260728,replication,zero,,100,202608280100,34,200,9566.485,0.9566485
network-phase-closure-20260728,replication,zero,,100,202608280100,35,200,8849.8,0.8849799999999999
network-phase-closure-20260728,replication,zero,,100,202608280100,36,200,10238.06,1.023806
network-phase-closure-20260728,replication,zero,,100,202608280100,37,200,10077.59,1.007759
network-phase-closure-20260728,replication,zero,,100,202608280100,38,200,10283.405,1.0283405
network-phase-closure-20260728,replication,zero,,100,202608280100,39,200,9323.005,0.9323004999999999
network-phase-closure-20260728,replication,zero,,200,202608280200,0,200,38840.1,0.9710025
network-phase-closure-20260728,replication,zero,,200,202608280200,1,200,38461.9,0.9615475
network-phase-closure-20260728,replication,zero,,200,202608280200,2,200,34962.615,0.8740653749999999
network-phase-closure-20260728,replication,zero,,200,202608280200,3,200,39235.25,0.98088125
