experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,primary,zero,,50,202607280050,27,200,2243.97,0.8975879999999999
network-phase-closure-20260728,primary,zero,,50,202607280050,28,200,2616.21,1.046484
network-phase-closure-20260728,primary,zero,,50,202607280050,29,200,2302.665,0.9210659999999999
network-phase-closure-20260728,primary,zero,,50,202607280050,30,200,2327.13,0.930852
network-phase-closure-20260728,primary,zero,,50,202607280050,31,200,2453.815,0.981526
network-phase-closure-20260728,primary,zero,,50,202607280050,32,200,2545.86,1.0183440000000001
network-phase-closure-20260728,primary,zero,,50,202607280050,33,200,2470.59,0.988236
network-phase-closure-20260728,primary,zero,,50,202607280050,34,200,2436.68,0.974672
network-phase-closure-20260728,primary,zero,,50,202607280050,35,200,2523.17,1.009268
network-phase-closure-20260728,primary,zero,,50,202607280050,36,200,2331.475,0.9325899999999999
network-phase-closure-20260728,primary,zero,,50,202607280050,37,200,2388.83,0.9555319999999999
network-phase-closure-20260728,primary,zero,,50,202607280050,38,200,2170.255,0.868102
network-phase-closure-20260728,primary,zero,,50,202607280050,39,200,2465.11,0.986044
network-phase-closure-20260728,primary,zero,,100,202607280100,0,200,10425.845,1.0425845
network-phase-closure-20260728,primary,zero,,100,202607280100,1,200,9620.915,0.9620915000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,2,200,10371.55,1.0371549999999998
network-phase-closure-20260728,primary,zero,,100,202607280100,3,200,9491.695,0.9491695
network-phase-closure-20260728,primary,zero,,100,202607280100,4,200,9392.265,0.9392265
network-phase-closure-20260728,primary,zero,,100,202607280100,5,200,9090.945,0.9090944999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,6,200,9682.915,0.9682915000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,7,200,9684.015,0.9684014999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,8,200,9402.24,0.940224
network-phase-closure-20260728,primary,zero,,100,202607280100,9,200,9960.21,0.9960209999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,10,200,9514.38,0.9514379999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,11,200,10034.465,1.0034465
network-phase-closure-20260728,primary,zero,,100,202607280100,12,200,9671.21,0.9671209999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,13,200,9341.325,0.9341325
network-phase-closure-20260728,primary,zero,,100,202607280100,14,200,9246.375,0.9246375
network-phase-closure-20260728,primary,zero,,100,202607280100,15,200,10016.57,1.001657
network-phase-closure-20260728,primary,zero,,100,202607280100,16,200,9439.37,0.943937
network-phase-closure-20260728,primary,zero,,100,202607280100,17,200,9753.355,0.9753354999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,18,200,9028.675,0.9028674999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,19,200,9006.91,0.900691
network-phase-closure-20260728,primary,zero,,100,202607280100,20,200,9596.79,0.9596790000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,21,200,9167.55,0.9167549999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,22,200,9262.355,0.9262355
network-phase-closure-20260728,primary,zero,,100,202607280100,23,200,9275.695,0.9275694999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,24,200,9680.405,0.9680405000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,25,200,9550.405,0.9550405000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,26,200,9259.525,0.9259525
network-phase-closure-20260728,primary,zero,,100,202607280100,27,200,9342.665,0.9342665000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,28,200,9801.14,0.9801139999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,29,200,9282.965,0.9282965
network-phase-closure-20260728,primary,zero,,100,202607280100,30,200,8697.745,0.8697745000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,31,200,9379.655,0.9379655000000001
network-phase-closure-20260728,primary,zero,,100,202607280100,32,200,9252.28,0.925228
network-phase-closure-20260728,primary,zero,,100,202607280100,33,200,9253.66,0.925366
network-phase-closure-20260728,primary,zero,,100,202607280100,34,200,9564.095,0.9564094999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,35,200,9406.755,0.9406754999999999
network-phase-closure-20260728,primary,zero,,100,202607280100,36,200,9371.3,0.9371299999999999
