experiment_id,regime,alpha,scale,normalized_difference_replication_minus_primary,standard_error_blocks,degrees_freedom,simultaneous_multiplier,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_contains_zero,family_size
network-phase-closure-20260728,zero,,25,0.0021727999999999748,0.008441500132450028,75.40157443874493,3.1282079810030186,-0.02423396808596824,0.02857956808596819,True,20
network-phase-closure-20260728,zero,,50,0.0013868500000000505,0.009708812388458995,67.93754504749587,3.140131746405243,-0.029100100000892554,0.031873800000892655,True,20
network-phase-closure-20260728,zero,,100,0.02426169999999994,0.008583537434942033,76.43010541814456,3.1267530821162635,-0.0025769021301653844,0.05110030213016527,True,20
network-phase-closure-20260728,zero,,200,-0.010513800000000018,0.009279912754266545,77.72933024934575,3.1249719749285516,-0.039513267286864995,0.01848566728686496,True,20
network-phase-closure-20260728,zero,,400,0.0024648671875001638,0.009173087213371985,77.52756284730184,3.1252445437128906,-0.026203273575093118,0.031133007950093446,True,20
network-phase-closure-20260728,drift,0.5,100,0.0045050999999997066,0.0033637238224309926,77.16561735968708,3.1257371786911543,-0.006009016610621969,0.015019216610621382,True,20
network-phase-closure-20260728,drift,0.5,200,0.0032734094221469334,0.0028723190392889054,77.58381399219192,3.125168406864558,-0.005703071293874313,0.01224989013816818,True,20
network-phase-closure-20260728,drift,0.5,400,-4.112500000097441e-06,0.002242138803950794,68.42931698861248,3.1392633446025004,-0.007042776660753716,0.007034551660753521,True,20
network-phase-closure-20260728,drift,0.5,800,-0.0008003874238773356,0.002150916354630947,77.63279646196678,3.1251022008760923,-0.00752222085763489,0.0059214460098802185,True,20
network-phase-closure-20260728,drift,0.5,1600,0.003428154687499907,0.001830810387596906,74.03862807691141,3.1302001744578263,-0.0023026483071551286,0.009158957682154942,True,20
network-phase-closure-20260728,critical,1.0,25,-0.007171999999999845,0.006432020429231494,73.4831743439323,3.1310339447740048,-0.027310874297403517,0.012966874297403827,True,20
network-phase-closure-20260728,critical,1.0,50,0.010395849999999873,0.006029369334238353,75.94713586739675,3.1274312027994964,-0.008460587789099576,0.029252287789099322,True,20
network-phase-closure-20260728,critical,1.0,100,0.010034100000000046,0.005689212153068312,77.38656521106336,3.125435887528062,-0.007747167834960451,0.027815367834960542,True,20
network-phase-closure-20260728,critical,1.0,200,-0.001470290625000037,0.006021508883245741,77.89602665963581,3.124747881071663,-0.020285987748776362,0.01734540649877629,True,20
network-phase-closure-20260728,critical,1.0,400,-0.007014240625000001,0.005045621022778087,77.94444392047998,3.124682977669225,-0.022780206746644674,0.008751725496644672,True,20
network-phase-closure-20260728,fair,2.0,25,-0.010109000000000035,0.0098089053952688,75.89944417206803,3.1274986477110858,-0.04078633835922918,0.02056833835922911,True,20
network-phase-closure-20260728,fair,2.0,50,0.00013305000000018996,0.00998429385583575,76.93158329903498,3.1260582596422095,-0.03107843427473012,0.031344534274730496,True,20
network-phase-closure-20260728,fair,2.0,100,0.011712562499999968,0.009745113101030232,77.98011896284993,3.124635208351668,-0.018737361004848203,0.042162486004848135,True,20
network-phase-closure-20260728,fair,2.0,200,-0.0044554624999999515,0.011167765445186582,76.25891432679076,3.126992432572188,-0.039376980535839566,0.030466055535839663,True,20
network-phase-closure-20260728,fair,2.0,400,0.00209642343750005,0.008490289995802654,75.2338144086755,3.1284491755915065,-0.024465017300401577,0.028657864175401677,True,20
