topology,scale,state_count,repetitions,seed,exact_mean,mc_mean,mc_sd,standard_error,z_score,max_abs_residual,all_states_reach_boundary,gate_pass
chain,2,10000,100000,202607180100,3.6912343406957424,3.68928,1.77402495846184,0.005609959494725013,-0.34836984074126426,2.708944180085382e-14,True,True
star,2,10000,100000,202607180101,4.027388865492699,4.02829,1.96176659192209,0.006203650668099882,0.1452587444897384,3.186340080674199e-14,True,True
random,2,10000,100000,202607180102,3.727123711150874,3.73504,1.8082502304960342,0.005718189307891931,1.3844048216802791,2.7755575615628914e-14,True,True
