k,p_bias,probability_sum_error,mean_max_abs_error,raw_second_max_abs_error,covariance_max_abs_error,difference_variance_error,maximum_error,gate_pass
3,1.25,1.1102230246251565e-16,1.3877787807814457e-17,0.0,0.0,0.0,1.1102230246251565e-16,True
3,1.5,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,1.1102230246251565e-16,True
3,2.0,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,True
4,1.25,0.0,6.938893903907228e-18,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,True
4,1.5,0.0,1.3877787807814457e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,True
4,2.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,True
5,1.25,2.220446049250313e-16,6.938893903907228e-18,5.551115123125783e-17,5.551115123125783e-17,0.0,2.220446049250313e-16,True
5,1.5,2.220446049250313e-16,6.938893903907228e-18,5.551115123125783e-17,5.551115123125783e-17,0.0,2.220446049250313e-16,True
5,2.0,2.220446049250313e-16,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,2.220446049250313e-16,True
