date,mode,uniform,hotspot,contrast
2020-10-14,hub,0.00685203906249995,-0.016983859374999976,-0.023835898437499926
2020-10-14,primary,0.007880963867187476,-0.005291151367187525,-0.013172115234375
2022-05-31,hub,0.00355592187500005,-0.011188330078124975,-0.014744251953125025
2022-05-31,primary,0.013374795898437476,-0.01718704785156245,-0.030561843749999925
2023-07-16,hub,0.00624482421875,-0.0263417294921875,-0.0325865537109375
2023-07-16,primary,0.003097099609375,-0.027058435546875,-0.03015553515625
2026-07-22,hub,0.002794251019021725,-0.0233481130406476,-0.026142364059669326
2026-07-22,primary,0.0384219510728034,-0.00015925151437952466,-0.03858120258718292
