scale,repetitions,seed,correlated_mean,proxy_mean,normalized_correlated_mean,normalized_proxy_mean,mean_difference,paired_standard_error,ci_low,ci_high,sign,q10_difference,q50_difference,q90_difference,nonidentical_fraction
10,2000,2026073010,98.504,92.9195,0.9850399999999999,0.9291949999999999,0.055845,0.01681056187290423,0.02289690416922551,0.0887930958307745,positive,0.0,0.029999999999999916,0.10000000000000009,0.9845
20,2000,2026073020,386.367,369.2465,0.9659175,0.9231162500000001,0.042801250000000006,0.017741044054220303,0.00802944260558975,0.07757305739441026,positive,0.025000000000000022,0.05500000000000005,0.05249999999999999,0.995
40,2000,2026073040,1574.4495,1515.821,0.9840309374999999,0.9473881249999999,0.036642812500000004,0.017765749419254104,0.0018225834798985749,0.07146304152010144,positive,0.005062499999999914,0.043749999999999956,0.034187499999999815,0.9995
