scale,repetitions,seed,exact_mean,mc_mean,mc_sd,standard_error,ci_low,ci_high,z_score,gate_pass
1,5000,2026071701,1.0,1.0,0.0,0.0,1.0,1.0,0.0,True
2,5000,2026071702,3.845405988723624,3.8656,2.017312705088138,0.028529109870832004,3.8096839721421834,3.921516027857817,0.7078388133315916,True
3,5000,2026071703,8.654869502436274,8.6732,5.0119682486170065,0.07087993471377499,8.53427788073445,8.812122119265549,0.25861335281624576,True
