scale,normalized_time,correlated_survival,proxy_survival,difference
20,2.0,0.0575,0.059,-0.0014999999999999944
20,2.05,0.05,0.0525,-0.0024999999999999953
20,2.1,0.0465,0.0465,0.0
20,2.15,0.042,0.0415,0.0005000000000000004
20,2.2,0.039,0.0385,0.0005000000000000004
20,2.25,0.0385,0.0345,0.003999999999999997
20,2.3,0.037,0.0305,0.006499999999999999
20,2.35,0.0325,0.0285,0.004
20,2.4,0.031,0.026,0.005000000000000001
20,2.45,0.0265,0.0245,0.0019999999999999983
20,2.5,0.0255,0.0225,0.002999999999999999
20,2.55,0.024,0.0215,0.0025000000000000022
20,2.6,0.0235,0.02,0.0034999999999999996
20,2.65,0.0205,0.0195,0.0010000000000000009
20,2.7,0.0175,0.019,-0.0014999999999999979
20,2.75,0.015,0.0175,-0.0025000000000000022
20,2.8,0.0125,0.016,-0.0034999999999999996
20,2.85,0.0125,0.0145,-0.002
20,2.9,0.0125,0.0125,0.0
20,2.95,0.0125,0.0115,0.0010000000000000009
20,3.0,0.0115,0.01,0.0014999999999999996
20,3.05,0.01,0.009,0.0010000000000000009
20,3.1,0.0095,0.0065,0.003
20,3.15,0.008,0.006,0.002
20,3.2,0.007,0.0045,0.0025000000000000005
20,3.25,0.007,0.0045,0.0025000000000000005
20,3.3,0.006,0.0045,0.0015000000000000005
20,3.35,0.006,0.004,0.002
20,3.4,0.0055,0.004,0.0014999999999999996
20,3.45,0.005,0.004,0.001
20,3.5,0.004,0.004,0.0
20,3.55,0.004,0.0035,0.0005
20,3.6,0.0035,0.003,0.0005
20,3.65,0.0035,0.002,0.0015
20,3.7,0.0035,0.0015,0.002
20,3.75,0.003,0.0015,0.0015
20,3.8,0.0025,0.0015,0.001
20,3.85,0.0025,0.0015,0.001
20,3.9,0.0025,0.0015,0.001
20,3.95,0.0025,0.0015,0.001
20,4.0,0.0025,0.0015,0.001
40,0.0,1.0,1.0,0.0
40,0.05,1.0,1.0,0.0
40,0.1,0.9995,1.0,-0.0004999999999999449
40,0.15,0.996,0.9985,-0.0025000000000000577
40,0.2,0.9885,0.99,-0.0014999999999999458
40,0.25,0.976,0.9745,0.0014999999999999458
40,0.3,0.952,0.9505,0.0014999999999999458
40,0.35,0.9195,0.917,0.0024999999999999467
40,0.4,0.8845,0.876,0.008499999999999952
40,0.45,0.844,0.8235,0.020499999999999963
40,0.5,0.794,0.7795,0.014500000000000068
40,0.55,0.7535,0.7285,0.02499999999999991
40,0.6,0.717,0.6785,0.03849999999999998
40,0.65,0.675,0.636,0.039000000000000035
40,0.7,0.621,0.594,0.027000000000000024
40,0.75,0.5745,0.55,0.024499999999999966
40,0.8,0.537,0.508,0.029000000000000026
40,0.85,0.501,0.47,0.031000000000000028
40,0.9,0.4525,0.4315,0.02100000000000002
40,0.95,0.412,0.39,0.021999999999999964
40,1.0,0.381,0.3635,0.017500000000000016
40,1.05,0.3505,0.3345,0.01599999999999996
40,1.1,0.327,0.308,0.019000000000000017
40,1.15,0.3045,0.2895,0.015000000000000013
40,1.2,0.279,0.2605,0.018500000000000016
40,1.25,0.2615,0.236,0.025500000000000023
40,1.3,0.2335,0.212,0.02150000000000002
40,1.35,0.216,0.1935,0.022499999999999992
40,1.4,0.1985,0.177,0.02150000000000002
40,1.45,0.178,0.1645,0.013499999999999984
40,1.5,0.16,0.1465,0.013500000000000012
40,1.55,0.1465,0.135,0.011499999999999982
40,1.6,0.132,0.1165,0.0155
40,1.65,0.118,0.108,0.009999999999999995
40,1.7,0.108,0.1,0.007999999999999993
40,1.75,0.096,0.0905,0.005500000000000005
40,1.8,0.0875,0.0865,0.0010000000000000009
40,1.85,0.081,0.08,0.0010000000000000009
40,1.9,0.073,0.0705,0.0025000000000000022
40,1.95,0.068,0.065,0.0030000000000000027
40,2.0,0.0635,0.0595,0.0040000000000000036
40,2.05,0.059,0.052,0.006999999999999999
40,2.1,0.054,0.0485,0.005499999999999998
40,2.15,0.0505,0.045,0.005500000000000005
40,2.2,0.048,0.04,0.008
40,2.25,0.043,0.035,0.007999999999999993
40,2.3,0.04,0.0295,0.010500000000000002
40,2.35,0.036,0.027,0.008999999999999998
40,2.4,0.0345,0.024,0.010500000000000002
40,2.45,0.032,0.022,0.010000000000000002
40,2.5,0.03,0.02,0.009999999999999998
40,2.55,0.0285,0.017,0.0115
40,2.6,0.0275,0.015,0.0125
40,2.65,0.0275,0.0135,0.014
40,2.7,0.025,0.013,0.012000000000000002
40,2.75,0.0225,0.0125,0.009999999999999998
40,2.8,0.019,0.011,0.008
40,2.85,0.015,0.01,0.004999999999999999
40,2.9,0.0125,0.009,0.0035000000000000014
40,2.95,0.012,0.0085,0.0034999999999999996
40,3.0,0.011,0.0075,0.0034999999999999996
40,3.05,0.0085,0.007,0.0015000000000000005
40,3.1,0.0075,0.0065,0.001
40,3.15,0.007,0.006,0.001
40,3.2,0.0065,0.006,0.0004999999999999996
40,3.25,0.0065,0.006,0.0004999999999999996
40,3.3,0.006,0.004,0.002
40,3.35,0.0055,0.0035,0.0019999999999999996
40,3.4,0.0055,0.0035,0.0019999999999999996
40,3.45,0.005,0.003,0.002
40,3.5,0.0045,0.003,0.0014999999999999996
40,3.55,0.0045,0.0025,0.0019999999999999996
40,3.6,0.0045,0.0025,0.0019999999999999996
40,3.65,0.003,0.0025,0.0005
40,3.7,0.0025,0.0025,0.0
40,3.75,0.0015,0.0025,-0.001
40,3.8,0.0015,0.0025,-0.001
40,3.85,0.0015,0.002,-0.0005
40,3.9,0.0015,0.002,-0.0005
40,3.95,0.0015,0.002,-0.0005
40,4.0,0.0015,0.002,-0.0005
