scale,state_count,exact_mean,max_abs_residual,all_states_reach_boundary,survival_horizon,survival_json
1,1,1.0,0.0,True,50,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
2,100,3.845405988723624,2.4424906541753444e-15,True,50,"[1.0,1.0,0.7000000000000002,0.4520000000000003,0.2776,0.1675900000000001,0.10032750000000007,0.05985222500000004,0.03564843750000003,0.021217924812500018,0.012625210121875011,0.007511509737031258,0.00446892080154688,0.0026587594275996125,0.0015818356400431853,0.0009411322947707911,0.0005599464543857024,0.0003331561312520243,0.00019822276730978753,0.00011794043145118957,7.017372745403437e-05,4.175306883115339e-05,2.484298549476009e-05,1.4781561703306699e-05,8.795037967896688e-06,5.2330605875392536e-06,3.113682247226475e-06,1.8526491395874782e-06,1.1023318025089418e-06,6.558910370094604e-07,3.9025745243714515e-07,2.3220460383116148e-07,1.3816261049643395e-07,8.220728339246553e-08,4.891365427899297e-08,2.910381740606019e-08,1.7316887285040585e-08,1.0303617368078984e-08,6.130693849279548e-09,3.6477876317012353e-09,2.1704484315846857e-09,1.2914256349632654e-09,7.684035074698662e-10,4.572032169607669e-10,2.72037778002219e-10,1.6186358762791384e-10,9.630949522708133e-11,5.7304542847147024e-11,3.409643700146122e-11,2.0287519277630753e-11,1.2071156843214848e-11]"
3,784,8.654869502436274,6.8833827526759706e-15,True,50,"[1.0,1.0,1.0000000000000002,0.9180000000000004,0.8112000000000005,0.6978600000000004,0.5894040000000003,0.4912122000000003,0.4054432462500002,0.3322999590000002,0.2709509367890627,0.22009281197437514,0.17828247747263687,0.14411697184136849,0.11632070057731413,0.09377884082390325,0.07554133411376707,0.0608120609918531,0.04893160354690392,0.039358226823221265,0.031649479003440534,0.025445528498474666,0.020454644144923435,0.016440847428944937,0.013213580749703711,0.010619158558921371,0.008533749184824564,0.006857645700663517,0.005510608205642461,0.0044280885109629926,0.003558176838639224,0.0028591365133269373,0.002297415855099706,0.0018460463736938537,0.0014833530907435465,0.0011919167045677378,0.000957738742538476,0.0007695701947208449,0.0006183717335809125,0.0004968798002927704,0.0003992578368157692,0.0003208159813526515,0.00025778580299039327,0.00020713927730162766,0.00016644331947779733,0.00013374289369079444,0.00010746708676177713,8.635363553749277e-05,6.938828288970692e-05,5.575604911766919e-05,4.480207772077014e-05]"
