cell_id,k,N,p_bias,state_count,repetitions,blocks,paths_per_block,comparisons,seed,exact_mean,mc_mean,mc_sd,block_standard_error,simultaneous_critical,simultaneous_half_width,simultaneous_ci_low,simultaneous_ci_high,contains_exact_mean,max_abs_residual,censored_count,gate_pass
k3-p1.25-N6,3,6,1.25,72,100000,100,1000,9,18234646344,27.741092635232135,27.837110000000003,17.08016259194981,0.05322454984366337,2.835027356370719,0.15089305483730253,27.686216945162702,27.988003054837304,True,7.105427357601002e-15,0,True
k3-p1.5-N6,3,6,1.5,72,100000,100,1000,9,18234646345,18.976524645694713,18.915029999999998,8.896647773319794,0.026845846715247895,2.835027356370719,0.07610870984266278,18.838921290157334,18.991138709842662,True,4.884981308350689e-15,0,True
k3-p2-N6,3,6,2.0,72,100000,100,1000,9,18234646346,11.489569344749736,11.473490000000004,3.103583983435187,0.00894561000624543,2.835027356370719,0.02536104908712943,11.448128950912874,11.498851049087133,True,2.6645352591003757e-15,0,True
k4-p1.25-N6,4,6,1.25,358,100000,100,1000,9,18234646347,32.39420366270883,32.37258,18.53151743152684,0.055239780681108505,2.835027356370719,0.15660628939086135,32.21597371060914,32.52918628939086,True,1.3766765505351941e-14,0,True
k4-p1.5-N6,4,6,1.5,358,100000,100,1000,9,18234646348,24.804865541316783,24.80586,11.61162167649203,0.03691255574621151,2.835027356370719,0.1046481053340688,24.70121189466593,24.910508105334067,True,1.199040866595169e-14,0,True
k4-p2-N6,4,6,2.0,358,100000,100,1000,9,18234646349,16.770412385862475,16.73811,5.462197541641993,0.019160575553869873,2.835027356370719,0.05432075585902913,16.68378924414097,16.792430755859026,True,7.105427357601002e-15,0,True
k5-p1.25-N6,5,6,1.25,1477,100000,100,1000,9,18234646350,36.421521655068396,36.38413,19.921229447424345,0.06196228024150881,2.835027356370719,0.17566475954778635,36.20846524045221,36.559794759547785,True,3.197442310920451e-14,0,True
k5-p1.5-N6,5,6,1.5,1477,100000,100,1000,9,18234646351,29.80324765885002,29.835880000000003,13.824527326500462,0.0461741483490229,2.835027356370719,0.1309049737265998,29.704975026273402,29.966784973726604,True,2.6645352591003757e-14,0,True
k5-p2-N6,5,6,2.0,1477,100000,100,1000,9,18234646352,21.703377813139365,21.68956,7.618195808423,0.021811151443074432,2.835027356370719,0.0618352110150607,21.62772478898494,21.751395211015062,True,1.865174681370263e-14,0,True
